gara,regime,circuito,rho_SOFT,rho_MEDIUM,rho_HARD,beta,n_giri,n_stint,sigma
2023 Abu Dhabi,2022-25,Abu Dhabi,,0.07954,0.05231,0.00129,213,31,0.286
2023 Austrian,2022-25,Austrian,,0.05738,0.05559,-0.00099,401,33,0.387
2023 Bahrain,2022-25,Bahrain,0.11665,,0.09017,0.01638,319,43,0.436
2023 Canadian,2022-25,Canadian,,0.03313,0.03703,0.00961,225,21,0.286
2023 Hungarian,2022-25,Hungarian,,0.06985,0.06424,0.00374,424,35,0.583
2023 Italian,2022-25,Italian,,0.06144,0.07601,0.02325,241,28,0.497
2023 Japanese,2022-25,Japanese,,0.09946,0.11198,0.00302,264,30,0.449
2023 Mexico City,2022-25,Mexico City,,0.02732,0.04055,0.00960,208,23,0.368
2023 Miami,2022-25,Miami,,0.01877,0.02105,0.01235,321,22,0.414
2023 Qatar,2022-25,Qatar,,0.02939,0.06097,-0.00946,241,39,0.648
2023 Saudi Arabian,2022-25,Saudi Arabian,,-0.02479,0.0076,0.02634,172,22,0.384
2023 Spanish,2022-25,Spanish,0.08376,0.04731,0.05013,0.00426,369,38,0.493
2023 São Paulo,2022-25,São Paulo,0.04786,0.05989,,0.00320,417,41,0.458
2023 United States,2022-25,United States,,0.10699,0.07549,-0.00274,259,35,0.511
2024 Abu Dhabi,2022-25,Abu Dhabi,,0.07694,0.05592,-0.00182,341,27,0.427
2024 Australian,2022-25,Australian,,0.04842,0.04825,0.00551,277,33,0.455
2024 Austrian,2022-25,Austrian,,0.07664,0.05168,0.00491,363,38,0.531
2024 Azerbaijan,2022-25,Azerbaijan,,0.11741,0.03671,-0.00356,255,24,0.595
2024 Bahrain,2022-25,Bahrain,0.1305,,0.10207,0.00208,338,37,0.547
2024 Chinese,2022-25,Chinese,,0.15778,0.11035,-0.01899,175,22,0.315
2024 Dutch,2022-25,Dutch,0.05173,0.04344,0.04731,0.00117,461,33,0.526
2024 Emilia Romagna,2022-25,Emilia Romagna,,0.06628,0.04548,0.01743,393,36,0.535
2024 Hungarian,2022-25,Hungarian,,0.09841,0.07817,0.00596,378,34,0.791
2024 Italian,2022-25,Italian,,0.03453,0.04516,0.00367,312,32,0.528
2024 Japanese,2022-25,Japanese,,0.0995,0.09182,-0.02972,243,30,0.594
2024 Mexico City,2022-25,Mexico City,,0.08758,0.02379,0.00825,369,30,0.532
2024 Monaco,2022-25,Monaco,,0.05335,0.0619,-0.08536,337,16,0.892
2024 Saudi Arabian,2022-25,Saudi Arabian,,0.0404,0.04462,-0.01976,213,16,0.418
2024 Singapore,2022-25,Singapore,-0.03923,0.07644,0.0523,0.01017,373,29,0.654
2024 United States,2022-25,United States,,0.04299,0.03917,0.00335,299,28,0.487
2025 Abu Dhabi,2022-25,Abu Dhabi,,0.09503,0.04623,0.00582,210,21,0.380
2025 Austrian,2022-25,Austrian,,0.05791,0.04785,0.00096,303,34,0.464
2025 Azerbaijan,2022-25,Azerbaijan,,0.02301,0.00815,0.00680,235,24,0.415
2025 Canadian,2022-25,Canadian,,0.10013,0.0186,0.00459,248,32,0.348
2025 Emilia Romagna,2022-25,Emilia Romagna,,0.05563,0.03906,-0.01389,188,24,0.316
2025 Hungarian,2022-25,Hungarian,,0.05461,0.05091,0.01062,325,30,0.599
2025 Italian,2022-25,Italian,,0.02663,0.00483,0.00797,255,24,0.253
2025 Japanese,2022-25,Japanese,,0.04682,0.03949,-0.01386,194,14,0.453
2025 Las Vegas,2022-25,Las Vegas,,0.0346,0.0299,-0.00493,261,22,0.559
2025 Mexico City,2022-25,Mexico City,0.06217,0.03947,,0.00256,327,26,0.374
2025 Monaco,2022-25,Monaco,,0.0699,0.03946,-0.00458,379,36,1.064
2025 Qatar,2022-25,Qatar,,-0.00689,0.0155,0.00253,158,19,0.434
2025 Saudi Arabian,2022-25,Saudi Arabian,,0.07719,0.02246,0.03511,206,22,0.752
2025 Singapore,2022-25,Singapore,0.06131,0.0629,0.08018,-0.00583,300,32,0.725
2025 Spanish,2022-25,Spanish,0.08061,0.05035,,-0.00608,291,42,0.530
2025 United States,2022-25,United States,0.03696,0.06892,,0.00296,260,27,0.356
2026 Australia,2026,Australia,0.05407,-0.01408,0.0398,0.00216,388,34,0.664
2026 Austria,2026,Austria,0.07764,0.08062,0.08218,-0.00812,449,43,0.581
2026 Belgian,2026,Belgian,0.2393,,0.03912,0.01304,218,22,0.755
2026 British,2026,British,,0.04408,0.06266,-0.01273,320,39,0.548
2026 Canada,2026,Canada,-0.01233,-0.00926,,0.00609,499,42,0.829
2026 Cina,2026,Cina,,0.12203,0.03799,-0.02692,268,22,0.490
2026 Giappone,2026,Giappone,,0.09484,0.08768,-0.05858,202,21,0.451
2026 Miami,2026,Miami,,0.00499,-0.00201,0.05851,304,27,0.583
2026 Monaco,2026,Monaco,-0.02327,0.01146,0.00961,0.02897,489,35,0.953
2026 Spagna,2026,Spagna,,0.17236,0.11953,-0.02600,403,43,0.659
