circuito,anno,valore,ci_lo,ci_hi,n_giri,curvatura_giro2,bucket
Abu Dhabi,2023,3.31,3.1533,3.4668,540,9.1e-05,INSTABILE
Abu Dhabi,2024,3.2037,3.1176,3.2898,569,-4.8e-05,INSTABILE
Abu Dhabi,2025,3.0105,2.8571,3.164,467,0.000373,INSTABILE
Australian,2023,3.4561,2.8344,4.0777,339,0.000626,INDECIDIBILE
Australian,2024,2.7796,2.5199,3.0392,538,-8.6e-05,INDECIDIBILE
Australian,2026,1.7131,1.2147,2.2115,544,-0.000181,INDECIDIBILE
Austrian,2023,2.1957,2.0553,2.336,682,-2e-06,INSTABILE
Austrian,2024,1.7916,1.6448,1.9383,743,-0.000123,INSTABILE
Austrian,2025,2.0609,1.894,2.2278,592,0.000109,INSTABILE
Austrian,2026,2.3385,2.0837,2.5932,743,0.000342,INSTABILE
Azerbaijan,2023,4.0056,3.5219,4.4893,324,-0.000413,INSTABILE
Azerbaijan,2024,3.6608,3.1276,4.194,460,0.000554,INSTABILE
Azerbaijan,2025,2.9677,2.6717,3.2637,443,0.001117,INSTABILE
Bahrain,2023,3.8462,3.3632,4.3292,523,0.000733,INSTABILE
Bahrain,2024,3.9364,3.7132,4.1597,626,0.000476,INSTABILE
Bahrain,2025,4.5223,4.2363,4.8084,363,0.000241,INSTABILE
Belgian,2024,4.1051,3.7463,4.4638,315,-0.000165,INDECIDIBILE
Belgian,2026,2.0206,1.0261,3.0151,379,-0.000226,INDECIDIBILE
British,2023,2.5791,2.2673,2.8909,342,0.000756,INDECIDIBILE
British,2026,3.0099,2.6854,3.3343,525,-0.000901,INDECIDIBILE
Canadian,2023,2.4428,2.2505,2.6351,512,3.6e-05,INDECIDIBILE
Canadian,2025,2.7807,2.502,3.0593,551,4.6e-05,INDECIDIBILE
Canadian,2026,2.0493,1.704,2.3947,630,0.000555,INDECIDIBILE
Chinese,2024,4.2667,3.6674,4.866,369,0.000515,INDECIDIBILE
Chinese,2025,3.8777,3.4788,4.2767,607,0.000378,INDECIDIBILE
Chinese,2026,3.4235,3.0641,3.7828,400,2.2e-05,INDECIDIBILE
Dutch,2024,2.682,2.3907,2.9732,829,-0.000403,INDECIDIBILE
Dutch,2025,3.5498,3.3481,3.7515,364,7e-06,INDECIDIBILE
Emilia Romagna,2024,1.9958,1.6759,2.3157,737,-0.000559,INDECIDIBILE
Emilia Romagna,2025,3.396,3.0002,3.7918,403,-0.0006,INDECIDIBILE
Hungarian,2023,3.0483,2.7969,3.2996,752,0.00017,STABILE
Hungarian,2024,2.823,2.5916,3.0544,734,0.000304,STABILE
Hungarian,2025,2.6037,2.0774,3.1301,637,8.1e-05,STABILE
Italian,2023,1.843,1.6638,2.0221,427,0.000152,INSTABILE
Italian,2024,3.1795,2.9492,3.4099,539,-0.000376,INSTABILE
Italian,2025,2.8798,2.7507,3.0089,449,0.000389,INSTABILE
Japanese,2023,3.2546,2.947,3.5623,436,-0.000197,INSTABILE
Japanese,2024,4.7924,4.4649,5.12,433,-0.001064,INSTABILE
Japanese,2025,3.7159,3.6242,3.8076,485,0.0002,INSTABILE
Japanese,2026,4.3918,3.467,5.3166,394,0.000191,INSTABILE
Las Vegas,2023,4.1622,3.408,4.9165,234,-0.001105,STABILE
Las Vegas,2024,4.0977,3.6593,4.5361,398,-3e-05,STABILE
Las Vegas,2025,3.5738,3.2285,3.9191,458,0.001045,STABILE
Mexico City,2023,2.7398,2.4014,3.0782,478,-0.000383,STABILE
Mexico City,2024,2.7806,2.5635,2.9978,669,0.000216,STABILE
Mexico City,2025,2.9189,2.7482,3.0895,624,-9.3e-05,STABILE
Miami,2023,2.6111,2.3969,2.8253,577,-3.2e-05,INDECIDIBILE
Miami,2024,3.2912,3.0884,3.494,365,0.00045,INDECIDIBILE
Miami,2026,0.0026,-1.3021,1.3074,498,0.000511,INDECIDIBILE
Monaco,2024,8.709,8.3421,9.0759,520,-0.00016,INDECIDIBILE
Monaco,2025,2.3461,1.3596,3.3327,563,2.2e-05,INDECIDIBILE
Monaco,2026,1.288,-0.0249,2.6008,756,-0.000777,INDECIDIBILE
Qatar,2023,4.0669,3.7148,4.419,444,0.001301,INSTABILE
Qatar,2024,3.6313,2.6759,4.5867,311,0.001773,INSTABILE
Qatar,2025,3.1182,2.5404,3.696,336,0.000763,INSTABILE
Saudi Arabian,2023,3.151,1.9549,4.3472,420,-0.000118,INSTABILE
Saudi Arabian,2024,5.0794,3.8081,6.3508,369,0.000507,INSTABILE
Saudi Arabian,2025,2.5244,2.0993,2.9495,456,0.00048,INSTABILE
Singapore,2023,3.1061,2.3822,3.83,289,0.000776,STABILE
Singapore,2024,2.5446,2.3724,2.7168,686,-1.8e-05,STABILE
Singapore,2025,2.8856,2.1467,3.6245,592,-7.1e-05,STABILE
Spanish,2023,3.3585,3.1513,3.5657,741,5.6e-05,INDECIDIBILE
Spanish,2025,3.6062,3.1445,4.068,561,-9.4e-05,INDECIDIBILE
Spanish,2026,3.9133,3.696,4.1306,631,-0.000127,INDECIDIBILE
São Paulo,2023,2.9594,2.7388,3.1799,655,-0.000169,INDECIDIBILE
São Paulo,2025,2.1125,1.8786,2.3464,544,-0.000147,INDECIDIBILE
United States,2023,3.3246,3.0788,3.5704,560,-9.5e-05,INSTABILE
United States,2024,3.581,3.2573,3.9046,578,0.000302,INSTABILE
United States,2025,2.7184,2.5868,2.8499,532,-0.000119,INSTABILE
