blocco,regime,data,valore,ci_lo,ci_hi,kernel,gamma_s_per_giro,se_gamma,n_laps_gara,n_giri,n_piloti,n_stint,corr_giro_eta,sigma_residuo,degrado_medio_s_giro
2023 Abu Dhabi,2023-25,2023-11-26,3.31,3.1533,3.4668,2.9483,-0.05807,0.0014,58,540,20,50,0.45,0.298,0.075
2023 Australian,2023-25,2023-04-02,3.4561,2.8344,4.0777,2.9483,-0.06063,0.00556,58,339,18,20,0.88,0.416,0.0321
2023 Austrian,2023-25,2023-07-02,2.1957,2.0553,2.336,2.9577,-0.03137,0.00102,71,682,19,46,0.45,0.41,0.0573
2023 Azerbaijan,2023-25,2023-04-30,4.0056,3.5219,4.4893,2.9412,-0.08011,0.00494,51,324,18,26,0.83,0.342,0.0437
2023 Bahrain,2023-25,2023-03-05,3.8462,3.3632,4.3292,2.9474,-0.06868,0.0044,57,523,20,58,0.512,0.45,0.1198
2023 British,2023-25,2023-07-09,2.5791,2.2673,2.8909,2.9423,-0.05057,0.00312,52,342,19,36,0.223,0.263,0.0284
2023 Canadian,2023-25,2023-06-18,2.4428,2.2505,2.6351,2.9571,-0.0354,0.00142,70,512,19,38,0.373,0.285,0.0376
2023 Hungarian,2023-25,2023-07-23,3.0483,2.7969,3.2996,2.9571,-0.04418,0.00186,70,752,18,47,0.43,0.564,0.0642
2023 Italian,2023-25,2023-09-03,1.843,1.6638,2.0221,2.9412,-0.03686,0.00183,51,427,19,38,0.539,0.491,0.0623
2023 Japanese,2023-25,2023-09-24,3.2546,2.947,3.5623,2.9434,-0.06259,0.00302,53,436,17,38,0.424,0.536,0.1138
2023 Las Vegas,2023-25,2023-11-19,4.1622,3.408,4.9165,2.94,-0.08494,0.00785,50,234,19,40,0.608,0.725,0.0257
2023 Mexico City,2023-25,2023-10-29,2.7398,2.4014,3.0782,2.9577,-0.03914,0.00247,71,478,19,43,0.642,0.401,0.0417
2023 Miami,2023-25,2023-05-07,2.6111,2.3969,2.8253,2.9474,-0.04663,0.00195,57,577,20,35,0.642,0.4,0.0175
2023 Qatar,2023-25,2023-10-08,4.0669,3.7148,4.419,2.9474,-0.07262,0.00321,57,444,18,58,0.131,0.596,0.0447
2023 Saudi Arabian,2023-25,2023-03-19,3.151,1.9549,4.3472,2.94,-0.06431,0.01245,50,420,20,35,0.889,0.419,0.0133
2023 Singapore,2023-25,2023-09-17,3.1061,2.3822,3.83,2.9516,-0.05092,0.00605,62,289,18,30,0.562,0.766,0.0749
2023 Spanish,2023-25,2023-06-04,3.3585,3.1513,3.5657,2.9545,-0.05167,0.00163,66,741,20,57,0.327,0.531,0.065
2023 São Paulo,2023-25,2023-11-05,2.9594,2.7388,3.1799,2.9577,-0.04228,0.00161,71,655,17,47,0.174,0.473,0.0575
2023 United States,2023-25,2023-10-22,3.3246,3.0788,3.5704,2.9464,-0.06045,0.00228,56,560,19,49,0.401,0.467,0.087
2024 Abu Dhabi,2023-25,2024-12-08,3.2037,3.1176,3.2898,2.9483,-0.0562,0.00077,58,569,19,38,0.592,0.384,0.0623
2024 Australian,2023-25,2024-03-24,2.7796,2.5199,3.0392,2.9483,-0.04876,0.00232,58,538,17,41,0.267,0.538,0.0652
2024 Austrian,2023-25,2024-06-30,1.7916,1.6448,1.9383,2.9577,-0.02559,0.00107,71,743,20,55,0.367,0.443,0.0691
2024 Azerbaijan,2023-25,2024-09-15,3.6608,3.1276,4.194,2.9412,-0.07322,0.00544,51,460,20,33,0.752,0.645,0.0614
2024 Bahrain,2023-25,2024-03-02,3.9364,3.7132,4.1597,2.9474,-0.07029,0.00203,57,626,20,54,0.462,0.445,0.1199
2024 Belgian,2023-25,2024-07-28,4.1051,3.7463,4.4638,2.9318,-0.09547,0.00426,44,315,20,41,0.533,0.388,0.0548
2024 Chinese,2023-25,2024-04-21,4.2667,3.6674,4.866,2.9464,-0.07758,0.00556,56,369,20,46,0.773,0.401,0.1222
2024 Dutch,2023-25,2024-08-25,2.682,2.3907,2.9732,2.9583,-0.03777,0.00209,72,829,20,41,0.558,0.486,0.0539
2024 Emilia Romagna,2023-25,2024-05-19,1.9958,1.6759,2.3157,2.9524,-0.03219,0.00263,63,737,20,38,0.569,0.56,0.0544
2024 Hungarian,2023-25,2024-07-21,2.823,2.5916,3.0544,2.9571,-0.04091,0.00171,70,734,20,45,0.484,0.703,0.0852
2024 Italian,2023-25,2024-09-01,3.1795,2.9492,3.4099,2.9434,-0.06114,0.00226,53,539,20,43,0.492,0.52,0.0525
