gara,gare,p_SC,p_VSC,periodi_medi,pit_ratio_sc
Lusail,3,1.0,0.33,1.33,0.42
Jeddah,3,1.0,0.0,1.0,0.42
Sao Paulo,3,1.0,0.67,1.33,0.42
Montreal,4,0.75,0.5,1.0,0.42
Mexico City,3,0.67,0.67,0.67,0.42
Shanghai,3,0.67,0.33,0.67,0.42
Baku,3,0.67,0.33,0.67,0.42
Spielberg,3,0.67,0.67,0.67,0.42
Zandvoort,3,0.67,0.67,1.67,0.42
Silverstone,3,0.67,0.67,0.67,0.42
Melbourne,4,0.5,0.75,1.75,0.42
Miami,4,0.5,0.5,0.5,0.42
Imola,2,0.5,0.5,0.5,0.42
Suzuka,4,0.5,0.25,0.5,0.42
Monte Carlo,4,0.5,0.25,0.5,0.42
Austin,3,0.33,0.33,0.33,0.42
Spa,3,0.33,0.0,0.33,0.42
Sakhir,3,0.33,0.33,0.33,0.42
Las Vegas,3,0.33,0.67,0.67,0.42
Marina Bay,3,0.33,0.33,0.33,0.42
Barcelona,4,0.25,0.25,0.25,0.42
Budapest,3,0.0,0.0,0.0,0.42
Monza,3,0.0,0.0,0.0,0.42
Yas Island,3,0.0,0.33,0.0,0.42
