gara,pilota,team,pos_finale,classificato,tipo_arrivo,giri,sesT_fin,partenza,soste,n_soste
Australia,ALB,Williams,12.0,True,pieno_giro,57,8782.855,MEDIUM,12:HARD;33:SOFT,2
Australia,ALO,Aston Martin,18.0,False,RIT,22,6747.116,SOFT,11:SOFT;13:SOFT,3
Australia,ANT,Mercedes,2.0,True,pieno_giro,58,8729.754,MEDIUM,12:HARD,1
Australia,BEA,Haas F1 Team,7.0,True,pieno_giro,57,8731.439,MEDIUM,18:HARD,1
Australia,BOR,Audi,9.0,True,pieno_giro,57,8739.555,MEDIUM,18:HARD;33:HARD,2
Australia,BOT,Cadillac,19.0,False,RIT,16,5361.898,HARD,12:HARD,1
Australia,COL,Alpine,14.0,True,doppiato,56,8735.267,HARD,9:HARD;46:SOFT,2
Australia,GAS,Alpine,10.0,True,pieno_giro,57,8755.807,MEDIUM,11:HARD,1
Australia,HAD,Red Bull Racing,20.0,False,RIT,11,4755.504,MEDIUM,,0
Australia,HAM,Ferrari,4.0,True,pieno_giro,58,8742.924,MEDIUM,28:HARD,1
Australia,HUL,Audi,,False,NP,1,3831.908,HARD,,0
Australia,LAW,Racing Bulls,13.0,True,pieno_giro,57,8783.953,MEDIUM,11:HARD;33:SOFT,2
Australia,LEC,Ferrari,3.0,True,pieno_giro,58,8742.299,MEDIUM,25:HARD,1
Australia,LIN,Racing Bulls,8.0,True,pieno_giro,57,8738.596,MEDIUM,18:HARD,1
Australia,NOR,McLaren,5.0,True,pieno_giro,58,8778.521,MEDIUM,11:HARD;34:MEDIUM,2
Australia,OCO,Haas F1 Team,11.0,True,pieno_giro,57,8756.63,MEDIUM,11:HARD,1
Australia,PER,Cadillac,16.0,True,doppiato,55,8734.63,MEDIUM,18:HARD;43:SOFT,2
Australia,RUS,Mercedes,1.0,True,pieno_giro,58,8726.78,MEDIUM,12:HARD,1
Australia,SAI,Williams,15.0,True,doppiato,56,8763.666,SOFT,11:HARD;33:MEDIUM;45:SOFT,3
Australia,STR,Aston Martin,17.0,False,RIT,43,8807.915,MEDIUM,11:HARD;26:SOFT;34:SOFT;39:SOFT,4
Australia,VER,Red Bull Racing,6.0,True,pieno_giro,58,8781.397,HARD,18:MEDIUM;41:HARD,2
Cina,ALB,Williams,,False,NP,1,3483.76,HARD,,0
Cina,ALO,Aston Martin,17.0,False,RIT,32,6783.895,HARD,31:MEDIUM,2
Cina,ANT,Mercedes,1.0,True,pieno_giro,56,8979.883,MEDIUM,10:HARD,1
Cina,BEA,Haas F1 Team,5.0,True,pieno_giro,56,9037.176,MEDIUM,10:HARD,1
Cina,BOR,Audi,,False,NP,1,3483.76,HARD,,0
Cina,BOT,Cadillac,13.0,True,pieno_giro,55,9036.076,MEDIUM,10:HARD,1
Cina,COL,Alpine,10.0,True,pieno_giro,55,8992.382,HARD,32:MEDIUM,1
Cina,GAS,Alpine,6.0,True,pieno_giro,56,9039.589,MEDIUM,10:HARD,1
Cina,HAD,Red Bull Racing,8.0,True,pieno_giro,56,9067.209,SOFT,1:HARD;10:HARD,2
Cina,HAM,Ferrari,3.0,True,pieno_giro,56,9005.171,MEDIUM,10:HARD,1
Cina,HUL,Audi,11.0,True,pieno_giro,55,9001.089,HARD,35:MEDIUM,1
Cina,LAW,Racing Bulls,7.0,True,pieno_giro,56,9060.507,MEDIUM,9:HARD,1
Cina,LEC,Ferrari,4.0,True,pieno_giro,56,9008.797,MEDIUM,10:HARD,1
Cina,LIN,Racing Bulls,12.0,True,pieno_giro,55,9002.747,HARD,42:MEDIUM,1
Cina,NOR,McLaren,,False,NP,1,3483.76,HARD,,0
Cina,OCO,Haas F1 Team,14.0,True,pieno_giro,55,9046.175,HARD,29:MEDIUM;46:SOFT,2
Cina,PER,Cadillac,15.0,True,pieno_giro,55,9054.56,MEDIUM,11:HARD,1
Cina,PIA,McLaren,,False,NP,1,3483.76,MEDIUM,,0
Cina,RUS,Mercedes,2.0,True,pieno_giro,56,8985.487,MEDIUM,10:HARD,1
Cina,SAI,Williams,9.0,True,pieno_giro,55,8991.592,MEDIUM,9:HARD,1
Cina,STR,Aston Martin,18.0,False,RIT,10,4454.241,HARD,,0
Cina,VER,Red Bull Racing,16.0,False,RIT,45,8030.686,SOFT,9:HARD,2
Giappone,ALB,Williams,20.0,True,doppiato,51,9113.434,MEDIUM,22:HARD;45:SOFT;46:SOFT;47:SOFT;48:SOFT;49:MEDIUM,6
Giappone,ALO,Aston Martin,18.0,True,pieno_giro,52,9134.915,MEDIUM,21:HARD;23:MEDIUM,2
Giappone,ANT,Mercedes,1.0,True,pieno_giro,53,9108.406,MEDIUM,22:HARD,1
Giappone,BEA,Haas F1 Team,22.0,False,RIT,21,5939.334,MEDIUM,16:HARD,1
Giappone,BOR,Audi,13.0,True,pieno_giro,53,9167.487,MEDIUM,22:HARD,1
Giappone,BOT,Cadillac,19.0,True,pieno_giro,52,9151.031,HARD,19:MEDIUM,1
Giappone,COL,Alpine,16.0,True,pieno_giro,53,9174.127,MEDIUM,17:HARD,1
Giappone,GAS,Alpine,7.0,True,pieno_giro,53,9140.7,MEDIUM,22:HARD,1
Giappone,HAD,Red Bull Racing,12.0,True,pieno_giro,53,9164.497,MEDIUM,19:HARD,1
Giappone,HAM,Ferrari,6.0,True,pieno_giro,53,9133.436,MEDIUM,22:HARD,1
Giappone,HUL,Audi,11.0,True,pieno_giro,53,9160.657,MEDIUM,23:HARD,1
Giappone,LAW,Racing Bulls,9.0,True,pieno_giro,53,9158.522,MEDIUM,22:HARD,1
Giappone,LEC,Ferrari,3.0,True,pieno_giro,53,9123.613,MEDIUM,17:HARD,1
Giappone,LIN,Racing Bulls,14.0,True,pieno_giro,53,9168.208,MEDIUM,18:HARD,1
Giappone,NOR,McLaren,5.0,True,pieno_giro,53,9131.842,MEDIUM,16:HARD,1
Giappone,OCO,Haas F1 Team,10.0,True,pieno_giro,53,9159.601,MEDIUM,19:HARD,1
Giappone,PER,Cadillac,17.0,True,pieno_giro,53,9200.82,MEDIUM,21:HARD,1
Giappone,PIA,McLaren,2.0,True,pieno_giro,53,9122.086,MEDIUM,18:HARD,1
Giappone,RUS,Mercedes,4.0,True,pieno_giro,53,9124.104,MEDIUM,21:HARD,1
Giappone,SAI,Williams,15.0,True,pieno_giro,53,9173.37,MEDIUM,22:HARD,1
Giappone,STR,Aston Martin,21.0,False,RIT,30,6994.394,MEDIUM,21:HARD;24:MEDIUM,3
Giappone,VER,Red Bull Racing,8.0,True,pieno_giro,53,9141.04,MEDIUM,22:HARD,1
Miami,ALB,Williams,10.0,True,pieno_giro,57,9132.238,MEDIUM,27:HARD,1
Miami,ALO,Aston Martin,15.0,True,pieno_giro,56,9116.23,MEDIUM,41:SOFT,1
Miami,ANT,Mercedes,1.0,True,pieno_giro,57,9041.262,MEDIUM,26:HARD,1
Miami,BEA,Haas F1 Team,11.0,True,pieno_giro,56,9047.666,MEDIUM,26:HARD,1
Miami,BOR,Audi,12.0,True,pieno_giro,56,9050.619,MEDIUM,32:HARD,1
Miami,BOT,Cadillac,18.0,True,doppiato,55,9109.521,MEDIUM,6:SOFT;21:MEDIUM;30:MEDIUM,3
Miami,COL,Alpine,8.0,True,pieno_giro,57,9103.137,MEDIUM,31:HARD,1
Miami,GAS,Alpine,21.0,False,RIT,5,3982.714,MEDIUM,,0
Miami,HAD,Red Bull Racing,22.0,False,RIT,5,3987.709,HARD,,0
Miami,HAM,Ferrari,7.0,True,pieno_giro,57,9095.019,MEDIUM,27:HARD,1
Miami,HUL,Audi,19.0,False,RIT,7,4282.019,MEDIUM,1:MEDIUM,2
Miami,LAW,Racing Bulls,20.0,False,RIT,6,4117.851,MEDIUM,,1
Miami,LEC,Ferrari,6.0,True,pieno_giro,57,9085.48,MEDIUM,21:HARD,1
Miami,LIN,Racing Bulls,14.0,True,pieno_giro,56,9086.047,MEDIUM,28:HARD,1
Miami,NOR,McLaren,2.0,True,pieno_giro,57,9044.499,MEDIUM,27:HARD,1
Miami,OCO,Haas F1 Team,13.0,True,pieno_giro,56,9055.139,MEDIUM,31:HARD,1
Miami,PER,Cadillac,16.0,True,pieno_giro,56,9118.779,MEDIUM,29:HARD,1
Miami,PIA,McLaren,3.0,True,pieno_giro,57,9068.358,MEDIUM,28:HARD,1
Miami,RUS,Mercedes,4.0,True,pieno_giro,57,9084.317,MEDIUM,20:HARD,1
Miami,SAI,Williams,9.0,True,pieno_giro,57,9123.338,MEDIUM,28:HARD,1
Miami,STR,Aston Martin,17.0,True,pieno_giro,56,9123.897,MEDIUM,21:SOFT;37:SOFT,2
Miami,VER,Red Bull Racing,5.0,True,pieno_giro,57,9085.215,MEDIUM,6:HARD,1
Canada,ALB,Williams,21.0,False,RIT,12,4799.197,SOFT,,0
Canada,ALO,Aston Martin,20.0,False,RIT,24,5718.616,SOFT,20:SOFT,2
