gara,cid,compound,n_stint,bersaglio,prior_M0,stima_M1,stima_M2,stima_M3,err_M0,err_M1,err_M2,err_M3,vittoria_M1
2026 Australian,melbourne,HARD,21,0.0523,0.0436,0.0624,0.0688,0.0662,0.0087,0.0101,0.0165,0.0139,0.0000
2026 Australian,melbourne,MEDIUM,18,-0.0432,0.0687,0.0875,0.0816,0.0746,0.1119,0.1307,0.1248,0.1179,0.0000
2026 Austrian,spielberg,HARD,24,0.0891,0.0744,0.0802,0.0966,0.0679,0.0147,0.0089,0.0075,0.0212,1.0000
2026 Austrian,spielberg,MEDIUM,29,0.1047,0.0818,0.0876,0.0676,0.0701,0.0229,0.0171,0.0371,0.0346,1.0000
2026 Barcelona,catalunya,HARD,35,0.1222,0.0601,0.0629,0.0718,0.0612,0.0621,0.0593,0.0504,0.0609,1.0000
2026 Barcelona,catalunya,MEDIUM,18,0.1713,0.0619,0.0647,0.0477,0.0617,0.1094,0.1066,0.1237,0.1096,1.0000
2026 Barcelona,catalunya,SOFT,9,0.2375,0.0884,0.0912,0.0379,0.0688,0.1491,0.1462,0.1995,0.1687,1.0000
2026 Belgian,spa-francorchamps,MEDIUM,13,0.0827,0.1191,0.1379,0.1320,0.1083,0.0364,0.0552,0.0492,0.0256,0.0000
2026 Belgian,spa-francorchamps,SOFT,5,0.0561,0.1066,0.1254,0.2557,0.1014,0.0505,0.0693,0.1995,0.0452,0.0000
2026 Canadian,montreal,MEDIUM,22,-0.0018,0.1001,0.1148,0.1130,0.0863,0.1019,0.1166,0.1148,0.0881,0.0000
2026 Chinese,shanghai,MEDIUM,14,0.0905,0.1218,0.1365,0.1347,0.0840,0.0313,0.0460,0.0441,0.0065,0.0000
2026 Japanese,suzuka,MEDIUM,23,0.0478,0.0450,0.0597,0.0408,0.0648,0.0028,0.0119,0.0070,0.0170,0.0000
2026 Miami,miami,HARD,15,0.0625,0.0268,0.0326,0.0385,0.0460,0.0357,0.0299,0.0240,0.0164,1.0000
2026 Miami,miami,MEDIUM,18,0.0531,0.0297,0.0355,0.0155,0.0474,0.0234,0.0177,0.0377,0.0058,1.0000
2026 Monaco,monaco,HARD,12,-0.0019,0.0077,0.0194,0.0329,0.0533,0.0096,0.0213,0.0348,0.0553,0.0000
2026 Monaco,monaco,MEDIUM,18,0.0548,-0.0280,-0.0163,-0.0422,0.0428,0.0828,0.0711,0.0970,0.0120,1.0000
