ramo,anno,gara,cid,compound,bersaglio,prior,gamma_live,ic_lo,ic_hi,scatto,combo,err_prior,err_combo,vittoria_combo
primario,2026,2026 Australian,melbourne,HARD,0.0541,0.0436,0.0418,0.0035,0.0801,False,0.0436,0.0105,0.0105,0.5000
primario,2026,2026 Austrian,spielberg,HARD,0.0968,0.0744,0.0708,0.0502,0.0914,False,0.0744,0.0224,0.0224,0.5000
primario,2026,2026 Austrian,spielberg,MEDIUM,0.0732,0.0818,0.0962,0.0779,0.1146,False,0.0818,0.0086,0.0086,0.5000
primario,2026,2026 Barcelona,catalunya,HARD,0.1374,0.0601,0.1535,0.1246,0.1823,True,0.1535,0.0773,0.0161,1.0000
primario,2026,2026 Barcelona,catalunya,MEDIUM,0.1602,0.0619,0.1293,0.0837,0.1749,True,0.1293,0.0983,0.0309,1.0000
primario,2026,2026 Canadian,montreal,MEDIUM,0.0181,0.1001,-0.0208,-0.0401,-0.0015,True,-0.0208,0.0820,0.0389,1.0000
primario,2026,2026 Chinese,shanghai,MEDIUM,0.1886,0.1218,-0.1325,-0.2111,-0.0539,True,-0.1325,0.0668,0.3211,0.0000
primario,2026,2026 Monaco,monaco,HARD,0.0120,0.0077,0.0270,-0.0408,0.0947,False,0.0077,0.0043,0.0043,0.5000
primario,2026,2026 Monaco,monaco,MEDIUM,-0.0560,-0.0280,0.0564,-0.0100,0.1227,True,0.0564,0.0280,0.1123,0.0000
secondario,2025,2025 Abu Dhabi Grand Prix,yas-marina,HARD,0.0259,0.0448,0.0844,0.0370,0.1319,False,0.0448,0.0189,0.0189,0.5000
secondario,2025,2025 Abu Dhabi Grand Prix,yas-marina,MEDIUM,0.1222,0.1132,0.1110,0.0558,0.1662,False,0.1132,0.0090,0.0090,0.5000
secondario,2025,2025 Austrian Grand Prix,spielberg,HARD,0.0776,0.0721,0.0604,0.0233,0.0976,False,0.0721,0.0055,0.0055,0.5000
secondario,2025,2025 Austrian Grand Prix,spielberg,MEDIUM,0.0686,0.0898,0.0710,0.0502,0.0918,False,0.0898,0.0212,0.0212,0.5000
secondario,2025,2025 Azerbaijan Grand Prix,baku,HARD,0.0075,0.0149,-0.1195,-0.1845,-0.0546,True,-0.1195,0.0075,0.1270,0.0000
secondario,2025,2025 Hungarian Grand Prix,hungaroring,HARD,0.0498,0.0823,0.0675,0.0442,0.0908,False,0.0823,0.0325,0.0325,0.5000
secondario,2025,2025 Hungarian Grand Prix,hungaroring,MEDIUM,0.0768,0.0490,0.0601,0.0453,0.0750,False,0.0490,0.0278,0.0278,0.5000
secondario,2025,2025 Italian Grand Prix,monza,HARD,0.0163,0.0616,0.0896,0.0167,0.1626,False,0.0616,0.0452,0.0452,0.5000
secondario,2025,2025 Japanese Grand Prix,suzuka,HARD,0.0237,0.1029,0.0849,-0.1128,0.2825,False,0.1029,0.0792,0.0792,0.5000
secondario,2025,2025 Japanese Grand Prix,suzuka,MEDIUM,0.0462,0.1211,0.1080,-0.0901,0.3060,False,0.1211,0.0749,0.0749,0.5000
secondario,2025,2025 Las Vegas Grand Prix,las-vegas,HARD,0.0348,0.0115,0.0778,0.0432,0.1125,True,0.0778,0.0234,0.0430,0.0000
secondario,2025,2025 Las Vegas Grand Prix,las-vegas,MEDIUM,0.0301,0.1549,0.1058,0.0827,0.1290,True,0.1058,0.1248,0.0757,1.0000
secondario,2025,2025 Mexico City Grand Prix,mexico-city,MEDIUM,0.0430,0.0673,0.0709,0.0589,0.0829,False,0.0673,0.0243,0.0243,0.5000
secondario,2025,2025 Qatar Grand Prix,lusail,MEDIUM,0.0513,-0.0351,0.0049,-0.0174,0.0271,True,0.0049,0.0863,0.0464,1.0000
secondario,2025,2025 Singapore Grand Prix,marina-bay,HARD,0.0010,0.0525,0.0710,0.0244,0.1175,False,0.0525,0.0515,0.0515,0.5000
secondario,2025,2025 Spanish Grand Prix,catalunya,MEDIUM,0.0888,0.0616,0.0658,0.0334,0.0981,False,0.0616,0.0272,0.0272,0.5000
secondario,2025,2025 Spanish Grand Prix,catalunya,SOFT,0.0353,0.0786,0.1194,0.0981,0.1408,True,0.1194,0.0433,0.0841,0.0000
secondario,2025,2025 United States Grand Prix,austin,MEDIUM,0.0656,0.0390,0.0743,0.0477,0.1010,True,0.0743,0.0266,0.0087,1.0000
