ramo,anno,gara,cid,compound,n_calib,stima_live,n_target,bersaglio,prior_centrale,err_live,err_prior,vittoria_live
primario,2026,2026 Australian,melbourne,HARD,3,-0.1468,12,0.0541,0.0436,0.2008,0.0105,0.0000
primario,2026,2026 Austrian,spielberg,MEDIUM,18,0.1480,5,0.0732,0.0818,0.0748,0.0086,0.0000
primario,2026,2026 Barcelona,catalunya,MEDIUM,13,0.2023,3,0.1602,0.0619,0.0421,0.0983,1.0000
primario,2026,2026 Canadian,montreal,MEDIUM,6,-0.2100,12,0.0181,0.1001,0.2282,0.0820,0.0000
primario,2026,2026 Chinese,shanghai,MEDIUM,10,0.0192,4,0.1886,0.1218,0.1694,0.0668,0.0000
primario,2026,2026 Monaco,monaco,HARD,3,0.0914,10,0.0120,0.0077,0.0795,0.0043,0.0000
primario,2026,2026 Monaco,monaco,MEDIUM,17,-0.0663,3,-0.0560,-0.0280,0.0103,0.0280,1.0000
secondario,2025,2025 Abu Dhabi Grand Prix,yas-marina,HARD,7,0.0982,12,0.0259,0.0448,0.0723,0.0189,0.0000
secondario,2025,2025 Abu Dhabi Grand Prix,yas-marina,MEDIUM,13,0.0859,10,0.1222,0.1132,0.0363,0.0090,0.0000
secondario,2025,2025 Austrian Grand Prix,spielberg,MEDIUM,13,0.0805,8,0.0686,0.0898,0.0119,0.0212,1.0000
secondario,2025,2025 Azerbaijan Grand Prix,baku,HARD,9,-0.2624,14,0.0075,0.0149,0.2698,0.0075,0.0000
secondario,2025,2025 Hungarian Grand Prix,hungaroring,MEDIUM,16,-0.0207,4,0.0768,0.0490,0.0975,0.0278,0.0000
secondario,2025,2025 Italian Grand Prix,monza,HARD,6,-0.0232,15,0.0163,0.0616,0.0396,0.0452,1.0000
secondario,2025,2025 Japanese Grand Prix,suzuka,HARD,4,-0.0238,14,0.0237,0.1029,0.0475,0.0792,1.0000
secondario,2025,2025 Japanese Grand Prix,suzuka,MEDIUM,15,0.0131,4,0.0462,0.1211,0.0330,0.0749,1.0000
secondario,2025,2025 Las Vegas Grand Prix,las-vegas,HARD,8,-0.0827,13,0.0348,0.0115,0.1175,0.0234,0.0000
secondario,2025,2025 Las Vegas Grand Prix,las-vegas,MEDIUM,10,-0.0173,4,0.0301,0.1549,0.0474,0.1248,1.0000
secondario,2025,2025 Mexico City Grand Prix,mexico-city,MEDIUM,6,0.0843,3,0.0430,0.0673,0.0413,0.0243,0.0000
secondario,2025,2025 Qatar Grand Prix,lusail,HARD,3,-0.1340,12,0.0107,-0.0021,0.1447,0.0128,0.0000
secondario,2025,2025 Qatar Grand Prix,lusail,MEDIUM,32,-0.0997,7,0.0513,-0.0351,0.1510,0.0863,0.0000
secondario,2025,2025 Spanish Grand Prix,catalunya,MEDIUM,3,0.0620,11,0.0888,0.0616,0.0269,0.0272,1.0000
secondario,2025,2025 Spanish Grand Prix,catalunya,SOFT,21,0.1121,23,0.0353,0.0786,0.0767,0.0433,0.0000
secondario,2025,2025 United States Grand Prix,austin,MEDIUM,14,0.0338,3,0.0656,0.0390,0.0318,0.0266,0.0000
