circuito,stagione,gara,condizione,pilota,giro,pit_lane_time,settori_usati,delta_inlap,delta_outlap,pit_loss
miami,2023,2023-r5,DRY,ALB,22,22.4370,in_S3+out_S1,5.2855,15.1805,20.4660
miami,2023,2023-r5,DRY,ALO,24,22.6880,in_S3+out_S1,4.6835,14.9750,19.6585
miami,2023,2023-r5,DRY,BOT,15,23.2340,in_S3+out_S1,4.6760,15.8910,20.5670
miami,2023,2023-r5,DRY,DEV,15,23.5940,in_S3+out_S1,4.9840,16.9735,21.9575
miami,2023,2023-r5,DRY,GAS,15,22.4530,in_S3+out_S1,4.9350,15.5240,20.4590
miami,2023,2023-r5,DRY,HAM,37,22.1870,in_S3+out_S1,5.1330,14.6370,19.7700
miami,2023,2023-r5,DRY,HUL,33,23.2190,in_S3+out_S1,5.0230,16.2225,21.2455
miami,2023,2023-r5,DRY,LEC,17,22.0470,in_S3+out_S1,4.5640,15.2485,19.8125
miami,2023,2023-r5,DRY,MAG,14,22.5780,in_S3+out_S1,4.9035,15.0345,19.9380
miami,2023,2023-r5,DRY,OCO,39,21.9370,in_S3+out_S1,4.8850,14.2895,19.1745
miami,2023,2023-r5,DRY,PER,20,21.9060,in_S3+out_S1,5.2875,15.1765,20.4640
miami,2023,2023-r5,DRY,RUS,17,22.3290,in_S3+out_S1,4.9250,14.8440,19.7690
miami,2023,2023-r5,DRY,SAI,18,22.2810,in_S3+out_S1,4.5535,14.6825,19.2360
miami,2023,2023-r5,DRY,STR,42,22.5940,in_S3+out_S1,4.9770,15.2645,20.2415
miami,2023,2023-r5,DRY,TSU,36,22.2500,in_S3+out_S1,4.4785,14.8980,19.3765
miami,2023,2023-r5,DRY,VER,45,22.6870,in_S3+out_S1,4.4650,15.4710,19.9360
miami,2023,2023-r5,DRY,ZHO,31,22.7500,in_S3+out_S1,4.8740,16.0295,20.9035
miami,2024,2024-r6,DRY,ALB,10,22.6800,in_S3+out_S1,5.3165,14.7290,20.0455
miami,2024,2024-r6,DRY,BOT,11,23.6960,in_S3+out_S1,5.0650,16.0395,21.1045
miami,2024,2024-r6,DRY,GAS,12,22.5220,in_S3+out_S1,4.9365,14.9465,19.8830
miami,2024,2024-r6,DRY,HUL,12,23.0800,in_S3+out_S1,4.9060,15.2970,20.2030
miami,2024,2024-r6,DRY,LEC,19,21.7950,in_S3+out_S1,5.0790,14.2880,19.3670
miami,2024,2024-r6,DRY,PER,17,21.7420,in_S3+out_S1,5.5310,13.7660,19.2970
miami,2024,2024-r6,DRY,PIA,40,30.2500,in_S3+out_S1,5.4770,22.7745,28.2515
miami,2024,2024-r6,DRY,RUS,24,22.8480,in_S3+out_S1,4.8205,15.2320,20.0525
miami,2024,2024-r6,DRY,SAR,11,22.5290,in_S3+out_S1,4.9730,15.0475,20.0205
miami,2024,2024-r6,DRY,STR,11,23.0150,in_S3+out_S1,5.1740,15.4260,20.6000
miami,2025,2025-r6,DRY,BOR,19,22.1990,in_S3+out_S1,4.9700,14.5415,19.5115
miami,2025,2025-r6,DRY,HAD,22,22.1990,in_S3+out_S1,5.2275,14.2400,19.4675
miami,2025,2025-r6,DRY,HUL,36,22.1600,in_S3+out_S1,4.7545,14.2485,19.0030
miami,2025,2025-r6,DRY,OCO,23,23.0740,in_S3+out_S1,5.0130,15.2460,20.2590
miami,2025,2025-r6,DRY,STR,20,22.2830,in_S3+out_S1,4.9660,13.9700,18.9360
miami,2026,2026-r4,DRY,ALB,27,22.8280,in_S3+out_S1,4.9470,14.2470,19.1940
miami,2026,2026-r4,DRY,ALO,41,23.3020,in_S3+out_S1,5.1730,14.7930,19.9660
miami,2026,2026-r4,DRY,ANT,26,22.0500,in_S3+out_S1,4.9975,14.0750,19.0725
miami,2026,2026-r4,DRY,BEA,26,23.4100,in_S3+out_S1,4.9115,14.9490,19.8605
miami,2026,2026-r4,DRY,BOR,32,23.9260,in_S3+out_S1,5.5925,16.0115,21.6040
miami,2026,2026-r4,DRY,BOT,21,23.8000,in_S3+out_S1,5.3715,15.6295,21.0010
miami,2026,2026-r4,DRY,COL,31,23.1200,in_S3+out_S1,5.4310,15.6460,21.0770
miami,2026,2026-r4,DRY,HAM,27,23.7670,in_S3+out_S1,5.2450,15.4400,20.6850
miami,2026,2026-r4,DRY,LEC,21,23.3620,in_S3+out_S1,5.0170,15.6390,20.6560
miami,2026,2026-r4,DRY,LIN,28,22.6980,in_S3+out_S1,5.4930,14.9585,20.4515
miami,2026,2026-r4,DRY,NOR,27,22.5520,in_S3+out_S1,5.1170,14.5865,19.7035
miami,2026,2026-r4,DRY,OCO,31,24.0670,in_S3+out_S1,5.5270,15.9595,21.4865
miami,2026,2026-r4,DRY,PER,29,23.1840,in_S3+out_S1,5.7980,15.4855,21.2835
miami,2026,2026-r4,DRY,PIA,28,23.0340,in_S3+out_S1,5.3745,15.1695,20.5440
miami,2026,2026-r4,DRY,RUS,20,21.9520,in_S3+out_S1,5.2400,13.3640,18.6040
miami,2026,2026-r4,DRY,SAI,28,23.6980,in_S3+out_S1,5.0090,15.4250,20.4340
miami,2026,2026-r4,DRY,STR,21,22.6620,in_S3+out_S1,4.7620,15.1050,19.8670
miami,2026,2026-r4,DRY,STR,37,22.0570,in_S3+out_S1,5.0490,14.6035,19.6525
monaco,2018,2018-r6,DRY,ALO,19,24.2680,in_S3+out_S1,16.7270,2.5350,19.2620
monaco,2018,2018-r6,DRY,BOT,17,23.9070,in_S3+out_S1,17.1955,2.5580,19.7535
monaco,2018,2018-r6,DRY,ERI,17,24.2540,in_S3+out_S1,17.6250,2.7175,20.3425
monaco,2018,2018-r6,DRY,GAS,37,24.1880,in_S3+out_S1,16.8730,2.4465,19.3195
