gara,giro,pilota,team,pos,compound,stint,life,pit,tempo_giro,sesT,gap_leader,status
Australia,1,ALB,Williams,12.0,MEDIUM,1,1,False,99.376,3839.355,7.447,1
Australia,2,ALB,Williams,13.0,MEDIUM,1,2,False,87.78,3927.135,9.455,1
Australia,3,ALB,Williams,13.0,MEDIUM,1,3,False,87.512,4014.647,11.074,1
Australia,4,ALB,Williams,14.0,MEDIUM,1,4,False,87.911,4102.558,14.432,1
Australia,5,ALB,Williams,13.0,MEDIUM,1,5,False,87.176,4189.734,17.627,1
Australia,6,ALB,Williams,13.0,MEDIUM,1,6,False,86.436,4276.17,19.241,1
Australia,7,ALB,Williams,13.0,MEDIUM,1,7,False,85.688,4361.858,20.895,1
Australia,8,ALB,Williams,13.0,MEDIUM,1,8,False,85.558,4447.416,20.89,1
Australia,9,ALB,Williams,13.0,MEDIUM,1,9,False,85.728,4533.144,21.016,1
Australia,10,ALB,Williams,13.0,MEDIUM,1,10,False,86.03,4619.174,23.069,1
Australia,11,ALB,Williams,10.0,MEDIUM,1,11,False,93.98,4713.154,33.251,16
Australia,12,ALB,Williams,12.0,MEDIUM,1,12,True,125.578,4838.732,44.821,6
Australia,13,ALB,Williams,12.0,HARD,2,1,True,112.348,4951.08,41.991,671
Australia,14,ALB,Williams,12.0,HARD,2,2,False,85.379,5036.459,36.881,1
Australia,15,ALB,Williams,12.0,HARD,2,3,False,85.035,5121.494,38.151,1
Australia,16,ALB,Williams,13.0,HARD,2,4,False,88.434,5209.928,43.074,1
Australia,17,ALB,Williams,13.0,HARD,2,5,False,85.662,5295.59,44.38,1
Australia,18,ALB,Williams,13.0,HARD,2,6,False,104.028,5399.618,58.806,126
Australia,19,ALB,Williams,13.0,HARD,2,7,False,109.476,5509.094,54.629,671
Australia,20,ALB,Williams,13.0,HARD,2,8,False,85.041,5594.135,46.487,1
Australia,21,ALB,Williams,13.0,HARD,2,9,False,85.065,5679.2,48.23,1
Australia,22,ALB,Williams,13.0,HARD,2,10,False,85.297,5764.497,50.111,1
Australia,23,ALB,Williams,13.0,HARD,2,11,False,85.258,5849.755,51.893,1
Australia,24,ALB,Williams,13.0,HARD,2,12,False,85.334,5935.089,53.567,1
Australia,25,ALB,Williams,13.0,HARD,2,13,False,85.569,6020.658,53.111,1
Australia,26,ALB,Williams,13.0,HARD,2,14,False,85.782,6106.44,54.808,1
Australia,27,ALB,Williams,13.0,HARD,2,15,False,85.734,6192.174,56.782,1
Australia,28,ALB,Williams,13.0,HARD,2,16,False,86.642,6278.816,59.117,1
Australia,29,ALB,Williams,12.0,HARD,2,17,False,86.614,6365.43,62.245,1
Australia,30,ALB,Williams,12.0,HARD,2,18,False,86.472,6451.902,65.445,1
Australia,31,ALB,Williams,12.0,HARD,2,19,False,86.523,6538.425,68.821,1
Australia,32,ALB,Williams,12.0,HARD,2,20,False,86.459,6624.884,71.74,1
Australia,33,ALB,Williams,12.0,HARD,2,21,True,110.03,6734.914,97.932,167
Australia,34,ALB,Williams,12.0,SOFT,3,1,True,90.918,6825.832,91.258,1
Australia,35,ALB,Williams,12.0,SOFT,3,2,False,84.446,6910.278,92.687,1
Australia,36,ALB,Williams,12.0,SOFT,3,3,False,84.375,6994.653,94.333,1
Australia,37,ALB,Williams,12.0,SOFT,3,4,False,85.052,7079.705,96.546,1
Australia,38,ALB,Williams,12.0,SOFT,3,5,False,86.338,7166.043,100.021,1
Australia,39,ALB,Williams,12.0,SOFT,3,6,False,84.858,7250.901,102.141,1
Australia,40,ALB,Williams,12.0,SOFT,3,7,False,86.672,7337.573,105.898,1
Australia,41,ALB,Williams,12.0,SOFT,3,8,False,84.876,7422.449,107.701,1
Australia,42,ALB,Williams,12.0,SOFT,3,9,False,84.858,7507.307,109.505,1
Australia,43,ALB,Williams,12.0,SOFT,3,10,False,84.956,7592.263,111.568,1
Australia,44,ALB,Williams,12.0,SOFT,3,11,False,84.841,7677.104,113.553,1
Australia,45,ALB,Williams,12.0,SOFT,3,12,False,84.702,7761.806,114.778,1
Australia,46,ALB,Williams,12.0,SOFT,3,13,False,84.777,7846.583,115.804,1
Australia,47,ALB,Williams,12.0,SOFT,3,14,False,84.815,7931.398,117.586,1
Australia,48,ALB,Williams,12.0,SOFT,3,15,False,84.773,8016.171,119.325,1
Australia,49,ALB,Williams,12.0,SOFT,3,16,False,84.785,8100.956,121.266,1
Australia,50,ALB,Williams,12.0,SOFT,3,17,False,84.856,8185.812,123.035,1
Australia,51,ALB,Williams,12.0,SOFT,3,18,False,84.749,8270.561,125.022,1
Australia,52,ALB,Williams,12.0,SOFT,3,19,False,84.764,8355.325,126.68,1
Australia,53,ALB,Williams,12.0,SOFT,3,20,False,85.019,8440.344,128.63,1
Australia,54,ALB,Williams,12.0,SOFT,3,21,False,84.861,8525.205,130.391,1
Australia,55,ALB,Williams,12.0,SOFT,3,22,False,84.995,8610.2,132.716,1
Australia,56,ALB,Williams,12.0,SOFT,3,23,False,86.387,8696.587,136.346,1
Australia,57,ALB,Williams,12.0,SOFT,3,24,False,86.268,8782.855,139.426,1
Australia,1,ALO,Aston Martin,10.0,SOFT,1,1,False,98.271,3838.25,6.342,1
Australia,2,ALO,Aston Martin,10.0,SOFT,1,2,False,87.598,3925.848,8.168,1
Australia,3,ALO,Aston Martin,12.0,SOFT,1,3,False,88.035,4013.883,10.31,1
Australia,4,ALO,Aston Martin,12.0,SOFT,1,4,False,87.424,4101.307,13.181,1
Australia,5,ALO,Aston Martin,14.0,SOFT,1,5,False,88.835,4190.142,18.035,1
Australia,6,ALO,Aston Martin,16.0,SOFT,1,6,False,88.763,4278.905,21.976,1
Australia,7,ALO,Aston Martin,17.0,SOFT,1,7,False,87.876,4366.781,25.818,1
Australia,8,ALO,Aston Martin,17.0,SOFT,1,8,False,86.792,4453.573,27.047,1
Australia,9,ALO,Aston Martin,16.0,SOFT,1,9,False,87.04,4540.613,28.485,1
Australia,10,ALO,Aston Martin,16.0,SOFT,1,10,False,87.475,4628.088,31.983,1
Australia,11,ALO,Aston Martin,17.0,SOFT,1,11,True,119.99,4748.078,68.175,16
Australia,12,ALO,Aston Martin,16.0,SOFT,2,1,True,122.34,4870.418,76.507,6
Australia,13,ALO,Aston Martin,19.0,SOFT,2,2,True,1069.531,5939.952,1030.863,6712
Australia,14,ALO,Aston Martin,19.0,SOFT,3,3,True,98.828,6038.78,1039.202,1
Australia,15,ALO,Aston Martin,19.0,SOFT,3,4,False,85.713,6124.493,1041.15,1
Australia,16,ALO,Aston Martin,18.0,SOFT,3,5,False,86.131,6210.624,1043.77,1
Australia,17,ALO,Aston Martin,18.0,SOFT,3,6,False,86.376,6297.0,1045.79,1
Australia,18,ALO,Aston Martin,18.0,SOFT,3,7,False,85.908,6382.908,1042.096,1
Australia,19,ALO,Aston Martin,18.0,SOFT,3,8,False,88.14,6471.048,1016.583,1
Australia,20,ALO,Aston Martin,18.0,SOFT,3,9,False,86.641,6557.689,1010.041,1
Australia,21,ALO,Aston Martin,18.0,SOFT,3,10,False,88.082,6645.771,1014.801,1
Australia,22,ALO,Aston Martin,18.0,SOFT,3,11,True,,6747.116,1032.73,167
Australia,1,ANT,Mercedes,7.0,MEDIUM,1,1,False,96.966,3836.945,5.037,1
Australia,2,ANT,Mercedes,7.0,MEDIUM,1,2,False,87.129,3924.074,6.394,1
Australia,3,ANT,Mercedes,6.0,MEDIUM,1,3,False,85.463,4009.537,5.964,1
Australia,4,ANT,Mercedes,6.0,MEDIUM,1,4,False,85.411,4094.948,6.822,1
Australia,5,ANT,Mercedes,5.0,MEDIUM,1,5,False,84.499,4179.447,7.34,1
Australia,6,ANT,Mercedes,4.0,MEDIUM,1,6,False,84.024,4263.471,6.542,1
Australia,7,ANT,Mercedes,4.0,MEDIUM,1,7,False,83.835,4347.306,6.343,1
Australia,8,ANT,Mercedes,4.0,MEDIUM,1,8,False,83.683,4430.989,4.463,1
Australia,9,ANT,Mercedes,4.0,MEDIUM,1,9,False,83.908,4514.897,2.769,1
Australia,10,ANT,Mercedes,4.0,MEDIUM,1,10,False,84.037,4598.934,2.829,1
Australia,11,ANT,Mercedes,4.0,MEDIUM,1,11,False,83.89,4682.824,2.921,16
Australia,12,ANT,Mercedes,5.0,MEDIUM,1,12,True,129.682,4812.506,18.595,6
Australia,13,ANT,Mercedes,5.0,HARD,2,1,True,117.691,4930.197,21.108,67
Australia,14,ANT,Mercedes,5.0,HARD,2,2,False,86.679,5016.876,17.298,71
Australia,15,ANT,Mercedes,5.0,HARD,2,3,False,83.287,5100.163,16.82,1
Australia,16,ANT,Mercedes,4.0,HARD,2,4,False,83.618,5183.781,16.927,1
Australia,17,ANT,Mercedes,4.0,HARD,2,5,False,83.26,5267.041,15.831,1
Australia,18,ANT,Mercedes,4.0,HARD,2,6,False,90.982,5358.023,17.211,126
