compound,cid,banda_min_q25,banda_centrale_med,banda_max_q75,n_stint,n_gare,peso_recenza_eff,quota_peso_2026,warmin_life2_med,n_giri_life2,flag_k1,include_2026
HARD,austin,-0.0042,0.0364,0.0626,41,3,0.2012,0.0000,-0.0843,36,INFORMATIVA,True
MEDIUM,austin,0.0302,0.0494,0.0683,71,3,0.2570,0.0000,0.1036,50,INFORMATIVA,True
SOFT,austin,0.0262,0.0398,0.0680,20,2,0.4813,0.0000,,8,INFORMATIVA,True
HARD,baku,-0.0181,0.0056,0.0264,60,3,0.2854,0.0000,0.3541,24,INFORMATIVA,True
MEDIUM,baku,-0.0919,0.0227,0.0827,50,3,0.3000,0.0000,0.3769,32,INFORMATIVA,True
HARD,catalunya,0.0891,0.1189,0.1543,71,4,0.5845,0.8434,-0.3634,59,INFORMATIVA,True
MEDIUM,catalunya,0.0620,0.1317,0.1810,75,4,0.4717,0.5088,-0.3584,71,INFORMATIVA,True
SOFT,catalunya,0.0370,0.1060,0.2069,107,4,0.3949,0.2130,-0.2336,48,INFORMATIVA,True
HARD,hungaroring,0.0373,0.0638,0.0973,82,3,0.2805,0.0000,-0.2611,56,INFORMATIVA,True
MEDIUM,hungaroring,0.0098,0.0378,0.0675,65,3,0.2865,0.0000,0.3824,41,INFORMATIVA,True
SOFT,hungaroring,-0.0911,-0.0157,0.0218,9,3,0.2917,0.0000,,7,NON-INFORMATIVA,True
HARD,interlagos,0.0977,0.1045,0.3397,3,1,0.5000,0.0000,,0,NON-INFORMATIVA,True
MEDIUM,interlagos,0.0583,0.0743,0.0896,49,2,0.3852,0.0000,-0.5995,31,INFORMATIVA,True
SOFT,interlagos,0.0624,0.1065,0.1651,48,2,0.2266,0.0000,0.0022,13,INFORMATIVA,True
HARD,las-vegas,-0.0136,0.0124,0.0504,84,3,0.2664,0.0000,0.1160,44,INFORMATIVA,True
MEDIUM,las-vegas,-0.0264,0.0227,0.1394,47,3,0.2872,0.0000,0.4970,21,INFORMATIVA,True
HARD,lusail,-0.0394,0.0118,0.0690,55,3,0.2659,0.0000,0.1445,39,INFORMATIVA,True
