gara,compound,gamma,ic_lo,ic_hi,significativo
Australia,SOFT,0.049,0.029,0.070,True
Australia,MEDIUM,0.016,-0.015,0.048,False
Australia,HARD,0.034,0.023,0.046,True
Cina,MEDIUM,0.141,0.107,0.174,True
Cina,HARD,0.023,0.009,0.037,True
Giappone,MEDIUM,0.051,0.028,0.073,True
Giappone,HARD,0.037,0.013,0.060,True
Miami,SOFT,0.002,-0.053,0.056,False
Miami,MEDIUM,0.026,-0.009,0.061,False
Miami,HARD,0.009,-0.014,0.032,False
Monaco,SOFT,0.027,0.005,0.048,True
Monaco,MEDIUM,0.050,0.030,0.071,True
Monaco,HARD,0.040,-0.011,0.092,False
Spagna,SOFT,0.196,0.162,0.230,True
Spagna,MEDIUM,0.169,0.139,0.198,True
Spagna,HARD,0.132,0.117,0.147,True
Austria,SOFT,0.085,0.053,0.118,True
Austria,MEDIUM,0.092,0.080,0.104,True
Austria,HARD,0.086,0.074,0.099,True
Gran Bretagna,MEDIUM,0.033,0.012,0.053,True
Gran Bretagna,HARD,0.070,0.056,0.084,True
