anno,circuito,compound,gamma_lin,gamma_log,gamma_scalar,se,ic95_low,ic95_high,n_stint,n_giri,identificabile
2023,Abu Dhabi,SOFT,,,,,,,0,0,False
2023,Abu Dhabi,MEDIUM,-0.0222,0.0198,0.0953,0.0115,0.0727,0.1179,20,251,True
2023,Abu Dhabi,HARD,-0.0222,0.0198,0.0600,0.0047,0.0508,0.0693,36,762,True
2024,Abu Dhabi,SOFT,,,,,,,2,23,False
2024,Abu Dhabi,MEDIUM,-0.0374,0.4549,0.0603,0.0114,0.0378,0.0827,17,243,True
2024,Abu Dhabi,HARD,-0.0374,0.4549,0.0566,0.0039,0.0489,0.0642,24,598,True
2025,Abu Dhabi,SOFT,,,,,,,3,14,False
2025,Abu Dhabi,MEDIUM,-0.0209,0.0214,0.0994,0.0063,0.0870,0.1118,23,365,True
2025,Abu Dhabi,HARD,-0.0209,0.0214,0.0464,0.0049,0.0368,0.0560,21,662,True
2023,Austria,SOFT,,,,,,,1,1,False
2023,Austria,MEDIUM,0.0111,-0.5270,0.0625,0.0051,0.0525,0.0724,30,491,True
2023,Austria,HARD,0.0111,-0.5270,0.0592,0.0045,0.0504,0.0680,29,641,True
2024,Austria,SOFT,,,,,,,1,5,False
2024,Austria,MEDIUM,-0.0061,0.2502,0.0744,0.0034,0.0677,0.0810,34,559,True
2024,Austria,HARD,-0.0061,0.2502,0.0619,0.0042,0.0537,0.0702,27,635,True
2025,Austria,SOFT,0.0009,-0.0580,-0.0450,0.0434,-0.1302,0.0402,6,52,True
2025,Austria,MEDIUM,0.0009,-0.0580,0.0620,0.0073,0.0477,0.0763,25,520,True
2025,Austria,HARD,0.0009,-0.0580,0.0507,0.0066,0.0378,0.0637,16,395,True
2023,Bahrain,SOFT,-0.0181,-0.5290,0.1497,0.0143,0.1216,0.1777,34,366,True
2023,Bahrain,MEDIUM,,,,,,,1,7,False
2023,Bahrain,HARD,-0.0181,-0.5290,0.1118,0.0092,0.0937,0.1299,33,476,True
2024,Bahrain,SOFT,-0.0284,-0.1409,0.1352,0.0187,0.0986,0.1718,25,263,True
2024,Bahrain,MEDIUM,,,,,,,0,0,False
2024,Bahrain,HARD,-0.0284,-0.1409,0.1081,0.0048,0.0988,0.1175,37,692,True
2025,Bahrain,SOFT,-0.0361,0.2275,0.1234,0.0098,0.1043,0.1426,21,240,True
2025,Bahrain,MEDIUM,-0.0361,0.2275,0.1015,0.0073,0.0873,0.1158,26,433,True
2025,Bahrain,HARD,-0.0361,0.2275,0.1179,0.0128,0.0928,0.1430,14,261,True
2023,Ungheria,SOFT,,,,,,,3,24,False
2023,Ungheria,MEDIUM,0.0035,-0.5665,0.0555,0.0065,0.0427,0.0682,23,393,True
2023,Ungheria,HARD,0.0035,-0.5665,0.0633,0.0069,0.0498,0.0768,28,703,True
2024,Ungheria,SOFT,0.0080,-0.6717,0.0074,0.0346,-0.0605,0.0753,6,30,True
2024,Ungheria,MEDIUM,0.0080,-0.6717,0.0838,0.0130,0.0583,0.1093,23,376,True
2024,Ungheria,HARD,0.0080,-0.6717,0.0780,0.0063,0.0657,0.0903,30,779,True
2025,Ungheria,SOFT,0.0081,-0.7676,0.1187,0.0464,0.0277,0.2097,4,39,True
2025,Ungheria,MEDIUM,0.0081,-0.7676,0.0721,0.0067,0.0590,0.0851,21,503,True
2025,Ungheria,HARD,0.0081,-0.7676,0.0396,0.0059,0.0280,0.0513,24,704,True
2023,Spagna,SOFT,-0.0191,-0.1217,0.0563,0.0113,0.0340,0.0785,23,315,True
2023,Spagna,MEDIUM,-0.0191,-0.1217,0.0557,0.0098,0.0365,0.0748,17,357,True
2023,Spagna,HARD,-0.0191,-0.1217,0.0453,0.0109,0.0240,0.0665,22,488,True
2024,Spagna,SOFT,-0.0280,-0.0030,0.0934,0.0138,0.0664,0.1203,30,442,True
2024,Spagna,MEDIUM,-0.0280,-0.0030,0.0815,0.0065,0.0688,0.0943,19,384,True
2024,Spagna,HARD,-0.0280,-0.0030,0.0833,0.0089,0.0658,0.1007,13,335,True
2025,Spagna,SOFT,-0.0234,-0.0265,0.0959,0.0106,0.0751,0.1167,50,507,True
2025,Spagna,MEDIUM,-0.0234,-0.0265,0.0649,0.0089,0.0474,0.0824,21,437,True
2025,Spagna,HARD,,,,,,,1,6,False
