gara,passi_giro,difficolta_0_1
Monte Carlo,0.1235,1.0
Budapest,0.377,0.737
Spielberg,0.459,0.652
Melbourne,0.4665,0.644
Lusail,0.488,0.622
Marina Bay,0.5133333333333333,0.596
Monza,0.5186666666666667,0.59
Silverstone,0.536,0.572
Montreal,0.5435,0.565
Suzuka,0.54325,0.565
Sakhir,0.5536666666666666,0.554
Baku,0.5599999999999999,0.547
Barcelona,0.57325,0.534
Jeddah,0.5783333333333333,0.528
Imola,0.5805,0.526
Sao Paulo,0.6213333333333333,0.484
Zandvoort,0.6336666666666667,0.471
Mexico City,0.6476666666666667,0.457
Miami,0.6965,0.406
Spa,0.698,0.404
Austin,0.7636666666666666,0.336
Shanghai,0.8303333333333333,0.267
Yas Island,0.848,0.249
Las Vegas,1.088,0.0
