circuito,stagione,gara,condizione,pilota,giro,pit_lane_time,delta_inlap,delta_outlap,pit_loss
silverstone,2018,2018-r10,DRY,ALO,13,28.6380,-0.4750,19.4280,18.9530
silverstone,2018,2018-r10,DRY,ERI,24,28.2050,-0.9560,18.0875,17.1315
silverstone,2018,2018-r10,DRY,GRO,26,29.2670,-0.8475,20.7175,19.8700
silverstone,2018,2018-r10,DRY,HAM,25,28.9290,0.1645,21.2860,21.4505
silverstone,2018,2018-r10,DRY,MAG,25,28.4250,-1.7130,19.5185,17.8055
silverstone,2018,2018-r10,DRY,PER,13,28.6740,-0.4300,19.4305,19.0005
silverstone,2018,2018-r10,DRY,RAI,13,38.5190,-0.0130,29.9045,29.8915
silverstone,2018,2018-r10,DRY,SAI,17,29.0350,-0.2750,19.5570,19.2820
silverstone,2018,2018-r10,DRY,SIR,21,28.2200,-0.8760,19.1965,18.3205
silverstone,2018,2018-r10,DRY,VAN,21,28.2680,0.3660,19.1900,19.5560
silverstone,2019,2019-r10,DRY,ALB,13,28.9850,0.2510,21.0415,21.2925
silverstone,2019,2019-r10,DRY,BOT,16,28.3920,-0.2895,19.5560,19.2665
silverstone,2019,2019-r10,DRY,BOT,45,28.1580,-0.8655,20.3245,19.4590
silverstone,2019,2019-r10,DRY,GAS,12,27.8930,-0.2735,19.2970,19.0235
silverstone,2019,2019-r10,DRY,HUL,13,28.6420,0.2720,22.2190,22.4910
silverstone,2019,2019-r10,DRY,KVY,12,29.4370,-0.9700,20.5290,19.5590
silverstone,2019,2019-r10,DRY,LEC,13,29.4060,-0.4150,20.4170,20.0020
silverstone,2019,2019-r10,DRY,NOR,13,28.2830,-0.7620,20.8450,20.0830
silverstone,2019,2019-r10,DRY,NOR,35,27.7990,-1.1580,20.9930,19.8350
silverstone,2019,2019-r10,DRY,PER,46,28.6720,-0.4660,21.4195,20.9535
silverstone,2019,2019-r10,DRY,RIC,12,28.3920,-0.7685,19.7885,19.0200
silverstone,2019,2019-r10,DRY,STR,13,30.4200,-0.8220,22.4685,21.6465
silverstone,2019,2019-r10,DRY,STR,39,29.0780,-0.1830,22.5320,22.3490
silverstone,2019,2019-r10,DRY,VER,13,27.8460,-0.5200,20.4625,19.9425
silverstone,2019,2019-r10,DRY,VET,38,38.4850,34.4920,34.4720,68.9640
silverstone,2020,2020-r4,DRY,ALB,30,33.2920,-1.0040,27.7100,26.7060
silverstone,2020,2020-r4,DRY,GRO,36,33.8010,0.6860,28.3195,29.0055
silverstone,2020,2020-r5,DRY,ALB,6,28.3700,-0.7035,18.7780,18.0745
silverstone,2020,2020-r5,DRY,BOT,13,28.4380,-0.5560,19.7655,19.2095
silverstone,2020,2020-r5,DRY,BOT,32,28.1300,-1.9025,20.0200,18.1175
silverstone,2020,2020-r5,DRY,GAS,7,28.3600,-1.1100,19.3490,18.2390
silverstone,2020,2020-r5,DRY,GAS,23,30.4720,-1.1755,21.9955,20.8200
silverstone,2020,2020-r5,DRY,GIO,7,26.9870,-1.0620,19.4575,18.3955
silverstone,2020,2020-r5,DRY,GIO,33,27.6440,-0.0540,20.0085,19.9545
silverstone,2020,2020-r5,DRY,GRO,17,29.0450,0.2280,20.5325,20.7605
silverstone,2020,2020-r5,DRY,GRO,38,29.7950,-1.2410,23.7285,22.4875
silverstone,2020,2020-r5,DRY,HAM,14,28.3780,-0.6600,18.9730,18.3130
silverstone,2020,2020-r5,DRY,HAM,41,29.5870,-0.2820,20.4310,20.1490
