gara,cid,drv,stint,compound,freezeL,A0,n_fut,obs_cum,ott_cum,cen_cum,pess_cum,coperto,obs_cum_live,ott_live,pess_live,coperto_live
Australia,melbourne,ALB,1,MEDIUM,3,2.0000,6,-6.7864,-2.0142,-0.8289,0.8424,0,-6.7864,-159.9527,-157.0961,0
Australia,melbourne,ALB,1,MEDIUM,4,2.5000,6,-9.0604,-2.2380,-0.9210,0.9360,0,-9.0604,-103.7543,-100.5803,0
Australia,melbourne,ALB,1,MEDIUM,5,3.0000,5,-7.9083,-1.8650,-0.7675,0.7800,0,-7.9083,-60.4769,-57.8319,0
Australia,melbourne,ALB,1,MEDIUM,6,3.5000,4,-6.3386,-1.4920,-0.6140,0.6240,0,-6.3386,-37.6224,-35.5064,0
Australia,melbourne,ALB,1,MEDIUM,7,4.0000,3,-4.2890,-1.1190,-0.4605,0.4680,0,-4.2890,-23.5012,-21.9142,0
Australia,melbourne,ALB,2,HARD,16,3.0000,4,0.7904,0.2500,1.0440,1.5860,1,0.7904,30.7905,32.1265,0
Australia,melbourne,ALB,2,HARD,17,3.5000,4,-0.1796,0.3000,1.2528,1.9032,0,-0.1796,10.4838,12.0870,0
Australia,melbourne,ALB,2,HARD,18,3.5000,5,0.0735,0.4062,1.6965,2.5772,0,0.0735,14.1968,16.3678,0
Australia,melbourne,ALB,2,HARD,19,3.5000,6,0.6134,0.5250,2.1924,3.3306,1,0.6134,18.3466,21.1522,0
Australia,melbourne,ALB,2,HARD,20,4.0000,6,2.9793,0.5625,2.3490,3.5685,1,2.9793,-3.2529,-0.2469,0
Australia,melbourne,ALB,2,HARD,21,4.5000,6,3.8144,0.6000,2.5056,3.8064,0,3.8144,-5.6369,-2.4305,0
Australia,melbourne,ALB,2,HARD,22,5.0000,6,5.3256,0.6375,2.6622,4.0443,0,5.3256,-5.4386,-2.0318,0
Australia,melbourne,ALB,2,HARD,23,6.5000,6,6.1407,0.6000,2.5056,3.8064,0,6.1407,-4.6803,-1.4739,0
Australia,melbourne,ALB,2,HARD,24,8.0000,6,6.7379,0.5625,2.3490,3.5685,0,6.7379,-3.8018,-0.7958,0
Australia,melbourne,ALB,2,HARD,25,8.5000,6,7.9641,0.6000,2.5056,3.8064,0,7.9641,-3.1007,0.1057,0
Australia,melbourne,ALB,2,HARD,26,9.0000,6,8.9132,0.6375,2.6622,4.0443,0,8.9132,-2.2047,1.2021,0
Australia,melbourne,ALB,2,HARD,27,9.5000,5,7.9962,0.5312,2.2185,3.3702,0,7.9962,-1.2564,1.5826,0
Australia,melbourne,ALB,2,HARD,28,10.0000,4,6.2131,0.4250,1.7748,2.6962,0,6.2131,0.1043,2.3755,0
Australia,melbourne,ALB,2,HARD,29,10.5000,3,4.5893,0.3188,1.3311,2.0221,0,4.5893,0.6279,2.3313,0
Australia,melbourne,ANT,1,MEDIUM,3,2.0000,6,-16.0174,-2.0142,-0.8289,0.8424,0,-16.0174,-155.0792,-152.2226,0
Australia,melbourne,ANT,1,MEDIUM,4,2.5000,6,-12.2383,-2.2380,-0.9210,0.9360,0,-12.2383,-108.7583,-105.5843,0
Australia,melbourne,ANT,1,MEDIUM,5,3.0000,5,-6.5349,-1.8650,-0.7675,0.7800,0,-6.5349,-66.4344,-63.7894,0
Australia,melbourne,ANT,1,MEDIUM,6,3.5000,4,-5.2505,-1.4920,-0.6140,0.6240,0,-5.2505,-41.3589,-39.2429,0
Australia,melbourne,ANT,1,MEDIUM,7,4.0000,3,-3.8291,-1.1190,-0.4605,0.4680,0,-3.8291,-24.8292,-23.2422,0
Australia,melbourne,ANT,2,HARD,16,3.0000,3,-1.3303,0.1875,0.7830,1.1895,0,-1.3303,-22.7771,-21.7751,0
Australia,melbourne,ANT,2,HARD,17,3.5000,3,-1.2386,0.2438,1.0179,1.5463,0,-1.2386,-19.1212,-17.8186,0
