gara,cid,drv,stint,compound,freezeL,A0,Acur,Afut,rate,res_oss,pred_M0,pred_M1,pred_M2,err_M0,err_M1,err_M2
Australia,melbourne,ALB,1,MEDIUM,3,2.0000,3.0000,4.0000,-0.0307,0.2344,-0.0921,-0.0614,-0.0307,-0.3265,-0.2958,-0.2651
Australia,melbourne,ALB,1,MEDIUM,3,2.0000,3.0000,5.0000,-0.0307,-0.4488,-0.1228,-0.0921,-0.0614,0.3260,0.3567,0.3874
Australia,melbourne,ALB,1,MEDIUM,3,2.0000,3.0000,6.0000,-0.0307,-1.1371,-0.1535,-0.1228,-0.0921,0.9836,1.0143,1.0450
Australia,melbourne,ALB,1,MEDIUM,3,2.0000,3.0000,7.0000,-0.0307,-1.8334,-0.1842,-0.1535,-0.1228,1.6492,1.6799,1.7106
Australia,melbourne,ALB,1,MEDIUM,3,2.0000,3.0000,8.0000,-0.0307,-1.9117,-0.2149,-0.1842,-0.1535,1.6968,1.7275,1.7582
Australia,melbourne,ALB,1,MEDIUM,3,2.0000,3.0000,9.0000,-0.0307,-1.6899,-0.2456,-0.2149,-0.1842,1.4443,1.4750,1.5057
Australia,melbourne,ALB,1,MEDIUM,4,2.5000,4.0000,5.0000,-0.0307,-0.5661,-0.1228,-0.0767,-0.0307,0.4433,0.4893,0.5354
Australia,melbourne,ALB,1,MEDIUM,4,2.5000,4.0000,6.0000,-0.0307,-1.2543,-0.1535,-0.1075,-0.0614,1.1008,1.1469,1.1929
Australia,melbourne,ALB,1,MEDIUM,4,2.5000,4.0000,7.0000,-0.0307,-1.9506,-0.1842,-0.1381,-0.0921,1.7664,1.8125,1.8585
Australia,melbourne,ALB,1,MEDIUM,4,2.5000,4.0000,8.0000,-0.0307,-2.0289,-0.2149,-0.1689,-0.1228,1.8140,1.8600,1.9061
Australia,melbourne,ALB,1,MEDIUM,4,2.5000,4.0000,9.0000,-0.0307,-1.8072,-0.2456,-0.1996,-0.1535,1.5616,1.6076,1.6537
Australia,melbourne,ALB,1,MEDIUM,4,2.5000,4.0000,10.0000,-0.0307,-1.4534,-0.2763,-0.2303,-0.1842,1.1771,1.2232,1.2692
Australia,melbourne,ALB,1,MEDIUM,5,3.0000,5.0000,6.0000,-0.0307,-1.1371,-0.1535,-0.0921,-0.0307,0.9836,1.0450,1.1064
Australia,melbourne,ALB,1,MEDIUM,5,3.0000,5.0000,7.0000,-0.0307,-1.8334,-0.1842,-0.1228,-0.0614,1.6492,1.7106,1.7720
Australia,melbourne,ALB,1,MEDIUM,5,3.0000,5.0000,8.0000,-0.0307,-1.9117,-0.2149,-0.1535,-0.0921,1.6968,1.7582,1.8196
Australia,melbourne,ALB,1,MEDIUM,5,3.0000,5.0000,9.0000,-0.0307,-1.6899,-0.2456,-0.1842,-0.1228,1.4443,1.5057,1.5671
Australia,melbourne,ALB,1,MEDIUM,5,3.0000,5.0000,10.0000,-0.0307,-1.3362,-0.2763,-0.2149,-0.1535,1.0599,1.1213,1.1827
Australia,melbourne,ALB,1,MEDIUM,6,3.5000,6.0000,7.0000,-0.0307,-1.7252,-0.1842,-0.1075,-0.0307,1.5410,1.6178,1.6945
Australia,melbourne,ALB,1,MEDIUM,6,3.5000,6.0000,8.0000,-0.0307,-1.8035,-0.2149,-0.1381,-0.0614,1.5886,1.6654,1.7421
Australia,melbourne,ALB,1,MEDIUM,6,3.5000,6.0000,9.0000,-0.0307,-1.5818,-0.2456,-0.1689,-0.0921,1.3362,1.4129,1.4897
Australia,melbourne,ALB,1,MEDIUM,6,3.5000,6.0000,10.0000,-0.0307,-1.2281,-0.2763,-0.1996,-0.1228,0.9518,1.0285,1.1053
Australia,melbourne,ALB,1,MEDIUM,7,4.0000,7.0000,8.0000,-0.0307,-1.6954,-0.2149,-0.1228,-0.0307,1.4805,1.5726,1.6647
Australia,melbourne,ALB,1,MEDIUM,7,4.0000,7.0000,9.0000,-0.0307,-1.4737,-0.2456,-0.1535,-0.0614,1.2281,1.3202,1.4123
Australia,melbourne,ALB,1,MEDIUM,7,4.0000,7.0000,10.0000,-0.0307,-1.1199,-0.2763,-0.1842,-0.0921,0.8436,0.9357,1.0278
Australia,melbourne,ALB,1,MEDIUM,8,4.5000,8.0000,9.0000,-0.0307,-1.3574,-0.2456,-0.1381,-0.0307,1.1118,1.2192,1.3267
Australia,melbourne,ALB,1,MEDIUM,8,4.5000,8.0000,10.0000,-0.0307,-1.0037,-0.2763,-0.1689,-0.0614,0.7274,0.8348,0.9423
Australia,melbourne,ALB,1,MEDIUM,9,5.0000,9.0000,10.0000,-0.0307,-0.8874,-0.2763,-0.1535,-0.0307,0.6111,0.7339,0.8567
Australia,melbourne,ALB,2,HARD,16,3.0000,4.0000,5.0000,0.0522,0.4382,0.2088,0.1044,0.0522,-0.2294,-0.3338,-0.3860
Australia,melbourne,ALB,2,HARD,16,3.0000,4.0000,8.0000,0.0522,-0.0277,0.3654,0.2610,0.2088,0.3931,0.2887,0.2365
Australia,melbourne,ALB,2,HARD,16,3.0000,4.0000,9.0000,0.0522,0.0481,0.4176,0.3132,0.2610,0.3695,0.2651,0.2129
