stagione,pilota,giro,pit_lane_time,delta_inlap,delta_outlap,pit_loss,compound_in,compound_out,n_ref_in,n_ref_out,d_in_S1,d_in_S2,d_in_S3,d_out_S1,d_out_S2,d_out_S3
2023,HUL,7,41.9840,0.0000,33.5355,33.5355,HARD,MEDIUM,5.0000,4.0000,-0.1210,0.1050,-0.3680,33.5355,0.6415,-0.0220
2023,LEC,18,28.2020,0.0000,20.2715,20.2715,MEDIUM,HARD,16.0000,4.0000,0.2355,-0.1715,-0.8765,20.2715,-0.1495,-0.0670
2023,PER,28,28.0620,0.0000,19.5885,19.5885,MEDIUM,SOFT,26.0000,2.0000,-0.0785,-0.3980,-0.7455,19.5885,-0.2960,-0.2035
2023,RUS,28,29.4990,0.0000,21.5115,21.5115,SOFT,MEDIUM,26.0000,2.0000,0.1860,-0.2585,-0.6220,21.5115,-0.0110,0.1065
2023,SAI,26,28.8590,0.0000,20.5475,20.5475,MEDIUM,HARD,24.0000,4.0000,0.1170,0.0955,-0.2830,20.5475,0.1030,-0.1035
2023,TSU,14,28.3120,0.0000,20.8410,20.8410,SOFT,HARD,12.0000,4.0000,0.6535,0.5785,-0.9895,20.8410,0.6315,0.0580
2023,ZHO,24,29.1710,0.0000,22.1330,22.1330,MEDIUM,HARD,22.0000,4.0000,0.0790,-0.5500,-0.6385,22.1330,0.3790,-0.1290
2024,ALB,27,34.7530,0.0000,26.1175,26.1175,MEDIUM,INTERMEDIATE,25.0000,4.0000,2.5760,9.4640,2.7120,26.1175,-0.1895,-0.7190
2024,ALB,38,29.5150,0.0000,24.2390,24.2390,INTERMEDIATE,MEDIUM,9.0000,4.0000,-0.8690,-1.8030,-3.2930,24.2390,1.7405,1.1265
2024,ALO,27,29.3780,0.0000,20.4280,20.4280,MEDIUM,INTERMEDIATE,25.0000,4.0000,2.8430,9.8970,3.0220,20.4280,0.1335,0.9365
2024,ALO,38,29.7190,0.0000,24.3485,24.3485,INTERMEDIATE,MEDIUM,9.0000,4.0000,-0.7430,-1.3010,-2.4010,24.3485,3.0570,1.2855
2024,BOT,26,30.5970,0.0000,21.6030,21.6030,MEDIUM,INTERMEDIATE,24.0000,4.0000,2.1105,9.9050,3.5295,21.6030,0.4470,-0.0700
2024,BOT,37,31.5120,0.0000,26.3170,26.3170,INTERMEDIATE,SOFT,9.0000,4.0000,-0.7570,-1.1080,-2.6120,26.3170,4.7905,2.2910
2024,HAM,27,28.9890,0.0000,20.8015,20.8015,MEDIUM,INTERMEDIATE,25.0000,4.0000,1.9810,8.4340,3.0940,20.8015,-0.3795,-0.6430
2024,HAM,38,30.0370,0.0000,24.9090,24.9090,INTERMEDIATE,SOFT,9.0000,4.0000,-0.8990,-1.2690,-2.2780,24.9090,2.1270,0.4105
2024,HUL,26,29.4590,0.0000,20.2910,20.2910,MEDIUM,INTERMEDIATE,24.0000,4.0000,0.8860,6.7605,1.5365,20.2910,0.0500,-0.4540
2024,HUL,39,30.4640,0.0000,23.6200,23.6200,INTERMEDIATE,SOFT,11.0000,4.0000,-0.7490,-1.8460,-2.8970,23.6200,0.9190,0.6360
2024,LEC,19,28.5450,0.0000,18.3385,18.3385,MEDIUM,INTERMEDIATE,17.0000,4.0000,5.2820,5.5550,2.4950,18.3385,-2.2240,-1.3180
2024,LEC,27,29.2060,0.0000,20.5895,20.5895,INTERMEDIATE,INTERMEDIATE,6.0000,4.0000,0.1750,2.0880,-2.2210,20.5895,0.0315,-0.4840
2024,LEC,37,29.0790,0.0000,24.2290,24.2290,INTERMEDIATE,SOFT,8.0000,4.0000,-0.8185,-1.2915,-2.5775,24.2290,2.0350,1.0660
2024,MAG,27,30.1650,0.0000,21.5300,21.5300,MEDIUM,INTERMEDIATE,25.0000,4.0000,2.6410,11.7080,3.7930,21.5300,0.2610,-0.1000
2024,MAG,37,29.8840,0.0000,26.9580,26.9580,INTERMEDIATE,SOFT,8.0000,4.0000,-0.4610,0.5745,-2.4465,26.9580,3.6745,1.9580
2024,NOR,27,28.7430,0.0000,20.1355,20.1355,MEDIUM,INTERMEDIATE,25.0000,4.0000,2.5800,7.8970,2.4990,20.1355,0.1120,-0.3610
2024,NOR,39,30.3610,0.0000,23.7160,23.7160,INTERMEDIATE,SOFT,10.0000,4.0000,-0.8800,-1.0930,-2.6930,23.7160,0.9505,0.5100
2024,OCO,38,29.0540,0.0000,23.8695,23.8695,INTERMEDIATE,MEDIUM,10.0000,4.0000,-0.5325,-1.3600,-2.0960,23.8695,2.4050,2.6240
2024,PER,19,28.3030,0.0000,17.7660,17.7660,HARD,INTERMEDIATE,17.0000,4.0000,4.4180,2.9870,1.7890,17.7660,-2.5390,-1.6520
2024,PER,28,32.3660,0.0000,23.9115,23.9115,INTERMEDIATE,INTERMEDIATE,7.0000,4.0000,0.0770,-0.0240,-1.3390,23.9115,-1.4240,-1.3570
2024,PER,37,29.1960,0.0000,24.4820,24.4820,INTERMEDIATE,MEDIUM,7.0000,4.0000,-0.6050,-1.1250,-1.8740,24.4820,2.5010,1.7130
2024,PIA,28,29.5950,0.0000,20.5060,20.5060,MEDIUM,INTERMEDIATE,26.0000,4.0000,6.8105,10.5620,3.6205,20.5060,-0.6825,-1.1620
2024,PIA,38,29.3410,0.0000,23.1715,23.1715,INTERMEDIATE,MEDIUM,8.0000,4.0000,-0.8385,-1.6385,-2.9730,23.1715,1.2285,0.6440
2024,RIC,26,28.8110,0.0000,19.2575,19.2575,MEDIUM,INTERMEDIATE,24.0000,4.0000,1.7935,6.9570,2.5770,19.2575,0.4480,-0.4360
2024,RIC,37,29.9660,0.0000,26.5245,26.5245,INTERMEDIATE,SOFT,9.0000,4.0000,-0.4420,-0.4870,-2.5310,26.5245,3.3010,1.6255
2024,RUS,27,32.1390,0.0000,23.2265,23.2265,MEDIUM,INTERMEDIATE,25.0000,4.0000,1.8610,8.8900,5.2620,23.2265,-0.6840,0.2300
2024,SAI,26,29.2660,0.0000,19.6640,19.6640,MEDIUM,INTERMEDIATE,24.0000,4.0000,1.1925,7.0435,1.8715,19.6640,-0.1625,-0.4765
2024,SAI,39,28.9270,0.0000,24.1280,24.1280,INTERMEDIATE,HARD,11.0000,4.0000,-1.2370,-1.6620,-3.0400,24.1280,1.6375,1.0580
2024,SAR,27,32.8570,0.0000,23.8760,23.8760,MEDIUM,INTERMEDIATE,25.0000,4.0000,3.2390,10.6650,5.1840,23.8760,-0.6970,-0.6840
2024,SAR,38,29.4350,0.0000,23.9475,23.9475,INTERMEDIATE,SOFT,9.0000,4.0000,-0.9170,-1.8130,-2.4020,23.9475,1.3480,0.5035
2024,STR,26,29.0550,0.0000,19.5760,19.5760,MEDIUM,INTERMEDIATE,24.0000,4.0000,0.8940,5.5135,1.4755,19.5760,-0.3115,-0.7255
2024,STR,39,29.4340,0.0000,23.1270,23.1270,INTERMEDIATE,MEDIUM,11.0000,4.0000,-0.9590,-1.6360,-2.8220,23.1270,1.6035,1.1545
2024,TSU,27,29.9400,0.0000,20.8690,20.8690,MEDIUM,INTERMEDIATE,25.0000,4.0000,2.3760,9.5080,3.1480,20.8690,-0.3445,-0.5815
2024,TSU,38,29.6810,0.0000,23.6395,23.6395,INTERMEDIATE,SOFT,9.0000,4.0000,-0.6780,-1.3540,-2.9460,23.6395,2.8085,1.5845
2024,VER,26,28.4660,0.0000,19.0670,19.0670,MEDIUM,INTERMEDIATE,24.0000,4.0000,1.0960,6.7695,1.5975,19.0670,-0.5740,-0.9800
2024,VER,38,29.1560,0.0000,24.8575,24.8575,INTERMEDIATE,HARD,10.0000,4.0000,-1.3205,-1.9650,-2.6960,24.8575,2.1000,1.7770
2024,ZHO,12,29.1430,0.0000,21.7225,21.7225,SOFT,MEDIUM,10.0000,4.0000,0.1680,-0.0165,-0.1475,21.7225,0.5490,-1.1860
2024,ZHO,19,29.8960,0.0000,21.3635,21.3635,MEDIUM,INTERMEDIATE,5.0000,4.0000,7.3630,4.4560,-0.4350,21.3635,-2.3750,-1.8705
2024,ZHO,26,29.0730,0.0000,21.6875,21.6875,INTERMEDIATE,INTERMEDIATE,5.0000,4.0000,-0.6580,-0.4320,-2.6210,21.6875,0.5590,-0.3385
2024,ZHO,37,32.9830,0.0000,30.0455,30.0455,INTERMEDIATE,SOFT,9.0000,4.0000,-0.1640,0.0400,-2.2090,30.0455,3.4400,1.4500
2025,ALO,37,28.5820,0.0000,24.8825,24.8825,INTERMEDIATE,MEDIUM,14.0000,2.0000,-0.3535,-1.2550,-2.4300,24.8825,7.0805,3.1735
2026,ALB,14,41.2340,0.0000,33.8015,33.8015,HARD,MEDIUM,11.0000,4.0000,0.1170,-0.0190,-0.9700,33.8015,0.2100,0.0030
2026,ALB,23,39.7710,0.0000,35.8330,35.8330,MEDIUM,SOFT,6.0000,4.0000,0.1210,-0.0300,-0.8995,35.8330,0.3460,-0.1740
2026,BEA,29,29.9200,0.0000,21.7600,21.7600,MEDIUM,HARD,25.0000,4.0000,-0.2930,0.5910,-1.0060,21.7600,0.2815,-0.0140
2026,BOR,26,28.7450,0.0000,20.6235,20.6235,MEDIUM,HARD,21.0000,4.0000,-0.3100,0.3040,-0.7320,20.6235,0.0515,0.1150
2026,BOT,29,31.6210,0.0000,23.8790,23.8790,MEDIUM,HARD,25.0000,4.0000,0.0600,0.0160,-0.8880,23.8790,0.5190,-0.1450
2026,GAS,23,33.7180,0.0000,25.6895,25.6895,MEDIUM,HARD,18.0000,4.0000,0.0605,-0.2665,-0.6595,25.6895,1.6910,0.3865
2026,HAD,19,30.0350,0.0000,22.3295,22.3295,MEDIUM,HARD,16.0000,2.0000,0.0070,-0.2010,-0.8610,22.3295,0.3880,-0.2115
2026,HAM,23,34.8980,0.0000,26.9700,26.9700,MEDIUM,HARD,19.0000,4.0000,-0.0030,-0.4220,-0.1150,26.9700,0.0955,-0.1505
2026,HUL,17,29.1280,0.0000,20.7610,20.7610,MEDIUM,HARD,14.0000,3.0000,-0.5350,0.3090,-1.1130,20.7610,0.2250,0.5380
2026,LAW,28,29.0520,0.0000,20.7725,20.7725,MEDIUM,HARD,24.0000,4.0000,-0.4060,-0.3255,-0.6495,20.7725,0.3825,0.0350
2026,LEC,25,28.4540,0.0000,20.4870,20.4870,MEDIUM,HARD,21.0000,4.0000,-0.0620,0.2060,-0.4630,20.4870,-0.4020,-0.3360
2026,LIN,27,29.0000,0.0000,21.6705,21.6705,MEDIUM,HARD,22.0000,4.0000,-0.1090,-0.1945,-1.0230,21.6705,-0.0025,-0.1385
2026,NOR,28,28.8530,0.0000,20.7765,20.7765,MEDIUM,HARD,24.0000,4.0000,-0.1110,0.0420,-0.6390,20.7765,0.5065,0.0215
2026,RUS,23,28.6090,0.0000,20.7965,20.7965,MEDIUM,HARD,19.0000,4.0000,-0.2580,-0.1470,-0.4210,20.7965,-0.0735,0.0705
