gara,stagione,condizione,pilota,giro,pit_lane_time,delta_inlap,delta_outlap,pit_loss,compound_in,compound_out,n_ref_in,n_ref_out,d_in_S1,d_in_S2,d_in_S3,d_out_S1,d_out_S2,d_out_S3
2018-BGP,2018,DRY,ALO,13,28.6380,0.0000,19.6465,19.6465,SOFT,MEDIUM,9.0000,4.0000,0.4450,-0.2060,-0.7030,19.6465,0.0715,-0.3385
2018-BGP,2018,DRY,ERI,24,28.2050,0.0000,19.4480,19.4480,SOFT,MEDIUM,18.0000,4.0000,0.0630,-0.5160,-0.5130,19.4480,-1.0090,-0.2805
2018-BGP,2018,DRY,GRO,26,29.2670,0.0000,20.7325,20.7325,SOFT,MEDIUM,20.0000,4.0000,0.1125,-0.4750,-0.4350,20.7325,-0.0940,0.0710
2018-BGP,2018,DRY,HAM,25,28.9290,0.0000,20.4865,20.4865,SOFT,MEDIUM,18.0000,4.0000,0.2405,0.1760,-0.3270,20.4865,0.6215,0.1690
2018-BGP,2018,DRY,MAG,25,28.4250,0.0000,19.8765,19.8765,SOFT,MEDIUM,19.0000,4.0000,-0.2110,-0.5010,-0.8230,19.8765,-0.4495,0.0850
2018-BGP,2018,DRY,PER,13,28.6740,0.0000,19.6360,19.6360,SOFT,MEDIUM,9.0000,4.0000,0.5620,0.2960,-0.9440,19.6360,-0.2335,-0.1970
2018-BGP,2018,DRY,RAI,13,38.5190,0.0000,29.7865,29.7865,SOFT,MEDIUM,9.0000,4.0000,0.3140,0.2030,-0.4230,29.7865,0.3115,-0.0060
2018-BGP,2018,DRY,SAI,17,29.0350,0.0000,20.2040,20.2040,MEDIUM,HARD,13.0000,2.0000,0.4720,-0.1360,-0.5340,20.2040,-0.2100,-0.4370
2018-BGP,2018,DRY,SIR,21,28.2200,0.0000,20.0365,20.0365,SOFT,MEDIUM,15.0000,4.0000,0.0550,-0.0620,-0.8440,20.0365,-0.3170,-0.0270
2018-BGP,2018,DRY,VAN,21,28.2680,0.0000,19.2260,19.2260,SOFT,MEDIUM,15.0000,4.0000,0.5060,0.3750,-0.4350,19.2260,0.2415,-0.2105
