gara,drv,fonte,sessione,compound,lap_start,lap_end,n_giri_puliti,life_start,life_end,pace_mediano,pace_min,degrado_slope
Australia,HAM,FP,Practice 2,HARD,2,12,5,2,12,80.903,80.637,-0.0718
Australia,PIA,FP,Practice 2,HARD,2,9,4,2,9,80.963,80.638,-0.1453
Australia,PIA,FP,Practice 3,SOFT,2,11,5,2,11,81.179,80.164,0.0682
Australia,ANT,FP,Practice 3,SOFT,9,15,7,9,15,81.268,80.884,-0.1998
Australia,NOR,FP,Practice 3,SOFT,7,16,4,7,16,81.3,81.039,-0.0278
Australia,LAW,FP,Practice 3,HARD,2,8,4,2,8,81.341,80.89,-0.2088
Australia,HAD,FP,Practice 3,SOFT,2,10,6,2,10,81.668,80.691,0.1573
Australia,VER,FP,Practice 3,SOFT,5,10,5,5,10,82.062,80.508,0.3361
Australia,LEC,FP,Practice 1,MEDIUM,2,15,5,2,15,82.08,81.227,-0.2583
Australia,HUL,FP,Practice 2,MEDIUM,2,9,4,2,9,82.139,81.757,-0.1614
Australia,RUS,FP,Practice 3,SOFT,9,15,7,9,15,82.221,81.572,-0.1665
Australia,HAM,FP,Practice 1,MEDIUM,2,15,5,2,15,82.692,81.698,-0.2648
Australia,GAS,FP,Practice 2,MEDIUM,2,10,5,2,10,82.83,82.404,-0.2976
Australia,NOR,FP,Practice 2,HARD,6,9,4,6,9,82.871,82.69,0.0171
Australia,OCO,FP,Practice 1,MEDIUM,5,17,6,5,17,83.154,82.556,-0.1925
Australia,BEA,FP,Practice 2,HARD,2,9,4,2,9,83.258,82.607,-0.2359
Australia,NOR,FP,Practice 2,SOFT,15,27,7,2,14,83.385,80.794,0.3152
Australia,COL,FP,Practice 2,MEDIUM,2,9,4,2,9,83.408,83.139,-0.0568
Australia,LAW,FP,Practice 1,MEDIUM,2,12,5,2,12,83.495,82.613,-0.3174
Australia,RUS,FP,Practice 2,HARD,14,24,11,7,17,83.507,83.138,-0.0203
Australia,ALB,FP,Practice 2,HARD,2,10,5,2,10,83.557,82.86,-0.2521
Australia,SAI,FP,Practice 1,HARD,3,14,5,3,14,83.629,82.827,-0.197
Australia,LIN,FP,Practice 1,SOFT,3,11,5,3,11,83.667,82.587,-0.5229
Australia,OCO,FP,Practice 2,HARD,2,9,4,2,9,83.737,82.597,-0.4311
Australia,ANT,FP,Practice 2,HARD,15,27,13,9,21,84.089,83.689,0.1183
Australia,BEA,FP,Practice 1,MEDIUM,2,15,6,2,15,84.124,83.095,-0.3482
Australia,ALB,FP,Practice 1,MEDIUM,2,17,7,2,17,84.243,83.144,-0.2667
Australia,HAM,FP,Practice 2,HARD,24,30,5,15,21,84.432,83.961,-0.0659
