gara,team,drv,fonte,compound,lap_start,lap_end,n,life_start,life_end,life_span,pace,disp,delta_t,n_out,vicino_ritiro,stability,information
Australia,Alpine,GAS,FP,MEDIUM,2,10,5,2,10,8,82.83,0.944,2.575,1,False,0.855,0.5
Australia,Alpine,COL,FP,MEDIUM,2,9,4,3,9,6,83.408,0.339,0.837,0,False,1.0,0.28
Australia,Alpine,GAS,FP,HARD,10,18,8,10,18,8,84.488,1.467,4.281,0,False,0.801,0.555
Australia,Alpine,GAS,FP,MEDIUM,3,10,4,3,10,7,85.814,1.196,2.92,1,False,0.781,0.468
Australia,Alpine,COL,FP,MEDIUM,18,21,4,12,15,3,85.857,0.185,0.494,0,False,1.0,0.188
Australia,Alpine,COL,FP,MEDIUM,20,24,5,13,17,4,87.097,1.328,3.504,2,False,0.642,0.445
Australia,Audi,HUL,FP,MEDIUM,2,9,4,2,9,7,82.139,0.566,1.505,1,False,0.9,0.394
Australia,Audi,HUL,FP,MEDIUM,21,28,8,12,19,7,85.35,0.686,1.992,2,False,0.8,0.54
Australia,Audi,BOR,FP,MEDIUM,18,22,5,11,15,4,85.915,1.008,2.892,1,False,0.836,0.445
Australia,Cadillac,PER,FP,MEDIUM,7,16,10,7,16,9,86.297,0.516,2.162,2,False,0.8,0.605
Australia,Cadillac,BOT,FP,MEDIUM,15,21,7,9,15,6,88.143,1.011,3.087,1,False,0.835,0.509
Australia,Ferrari,HAM,FP,HARD,2,12,5,2,12,10,80.903,0.321,0.869,0,False,1.0,0.358
Australia,Ferrari,LEC,FP,MEDIUM,3,15,5,4,14,10,82.08,1.016,2.949,1,False,0.834,0.527
Australia,Ferrari,HAM,FP,MEDIUM,4,15,5,5,13,8,82.692,0.758,2.115,0,False,1.0,0.5
Australia,Haas F1 Team,OCO,FP,MEDIUM,5,17,6,5,17,12,83.154,0.774,2.297,1,False,0.9,0.573
Australia,Haas F1 Team,BEA,FP,HARD,2,9,4,3,9,6,83.258,0.558,1.253,0,False,1.0,0.342
Australia,Haas F1 Team,OCO,FP,HARD,2,9,4,2,8,6,83.737,0.968,2.533,0,False,0.948,0.455
Australia,Haas F1 Team,BEA,FP,MEDIUM,4,15,6,4,14,10,84.124,1.258,3.638,0,False,0.863,0.545
Australia,Haas F1 Team,BEA,FP,HARD,18,25,8,13,20,7,86.453,0.616,2.092,1,False,0.9,0.541
Australia,Haas F1 Team,OCO,FP,HARD,19,23,5,13,17,4,86.503,0.422,1.179,1,False,0.9,0.322
Australia,McLaren,PIA,FP,HARD,2,9,4,3,9,6,80.963,0.387,1.035,1,False,0.9,0.31
Australia,McLaren,PIA,FP,SOFT,2,11,5,2,11,9,81.179,0.608,1.529,0,False,1.0,0.443
Australia,McLaren,NOR,FP,SOFT,7,16,4,7,16,9,81.3,0.179,0.419,0,False,1.0,0.258
Australia,McLaren,NOR,FP,HARD,6,9,4,6,9,3,82.871,0.317,0.783,1,False,0.9,0.231
Australia,McLaren,NOR,FP,SOFT,15,22,5,2,9,7,82.989,1.557,4.123,0,False,0.775,0.486
Australia,McLaren,PIA,FP,SOFT,15,19,5,5,9,4,84.884,0.219,0.616,0,False,1.0,0.238
Australia,Mercedes,ANT,FP,SOFT,9,15,7,9,15,6,81.268,0.428,1.242,0,False,1.0,0.395
Australia,Mercedes,RUS,FP,SOFT,9,15,7,9,15,6,82.221,0.687,1.769,0,False,1.0,0.474
Australia,Mercedes,RUS,FP,HARD,14,24,11,7,17,10,83.507,0.456,1.29,1,False,0.9,0.53
Australia,Mercedes,ANT,FP,HARD,15,27,13,9,21,12,84.089,1.247,4.97,1,False,0.766,0.7
Australia,Mercedes,RUS,FP,MEDIUM,3,9,4,3,9,6,84.528,1.413,3.777,0,False,0.817,0.455
Australia,Racing Bulls,LAW,FP,HARD,2,8,4,2,8,6,81.341,0.482,1.309,0,False,1.0,0.351
Australia,Racing Bulls,LAW,FP,MEDIUM,3,12,5,4,12,8,83.495,0.997,2.925,1,False,0.84,0.5
Australia,Racing Bulls,LIN,FP,SOFT,3,11,5,3,11,8,83.667,1.549,4.217,0,False,0.777,0.5
Australia,Racing Bulls,LAW,FP,MEDIUM,17,23,7,10,16,6,85.803,0.285,0.95,0,False,1.0,0.352
Australia,Racing Bulls,LIN,FP,SOFT,17,24,8,10,17,7,86.067,0.359,1.283,3,False,0.72,0.433
Australia,Racing Bulls,LAW,FP,MEDIUM,15,20,6,15,20,5,86.815,0.506,1.351,0,False,1.0,0.38
Australia,Red Bull Racing,HAD,FP,SOFT,2,10,6,2,10,8,81.668,0.611,1.758,0,False,1.0,0.482
Australia,Red Bull Racing,VER,FP,SOFT,5,10,5,5,10,5,82.062,1.23,3.843,2,False,0.671,0.459
Australia,Red Bull Racing,HAD,FP,MEDIUM,17,22,4,11,15,4,84.35,0.226,0.634,0,False,1.0,0.222
Australia,Red Bull Racing,VER,FP,MEDIUM,21,25,5,15,19,4,84.846,0.392,1.132,2,False,0.8,0.315
Australia,Red Bull Racing,HAD,FP,MEDIUM,19,22,4,14,17,3,85.194,0.301,0.823,0,False,1.0,0.237
Australia,Williams,ALB,FP,HARD,2,10,5,2,10,8,83.557,0.839,2.259,0,False,0.986,0.5
Australia,Williams,SAI,FP,HARD,3,14,5,3,14,11,83.629,0.993,2.85,1,False,0.841,0.541
Australia,Williams,ALB,FP,MEDIUM,3,17,7,5,17,12,84.243,1.284,4.172,1,False,0.755,0.591
Australia,Williams,SAI,FP,SOFT,23,28,6,8,13,5,86.035,0.651,1.839,1,False,0.9,0.453
Australia,Alpine,COL,Race,SOFT,48,56,8,2,10,8,83.817,0.86,2.707,2,False,0.576,0.555
Australia,Alpine,GAS,Race,HARD,20,32,13,9,21,12,84.852,0.551,2.079,1,False,0.9,0.7
Australia,Alpine,GAS,Race,HARD,35,57,23,24,46,22,85.177,0.746,2.689,5,False,0.609,1.0
Australia,Alpine,COL,Race,HARD,20,32,13,20,32,12,85.449,0.638,2.328,2,False,0.796,0.7
Australia,Alpine,GAS,Race,MEDIUM,1,10,9,2,10,8,85.989,0.781,2.317,0,False,0.854,0.573
Australia,Alpine,COL,Race,HARD,34,45,12,34,45,11,86.268,0.824,2.495,0,False,0.812,0.668
Australia,Alpine,COL,Race,HARD,1,8,7,2,8,6,86.935,0.773,2.348,0,False,0.862,0.509
Australia,Aston Martin,ALO,Race,SOFT,15,21,7,4,10,6,86.376,0.927,2.427,2,True,0.204,0.509
Australia,Aston Martin,ALO,Race,SOFT,1,10,9,2,10,8,87.598,0.661,2.043,0,False,0.973,0.573
Australia,Aston Martin,STR,Race,HARD,20,25,6,9,14,5,87.713,0.612,1.911,1,False,0.9,0.464
Australia,Aston Martin,STR,Race,MEDIUM,1,10,9,2,10,8,88.079,0.358,1.159,4,False,0.72,0.447
Australia,Audi,BOR,Race,HARD,20,32,13,2,14,12,84.428,0.319,1.223,3,False,0.72,0.583
Australia,Audi,BOR,Race,HARD,35,57,23,2,24,22,84.47,0.717,2.806,0,False,0.918,1.0
Australia,Audi,BOR,Race,MEDIUM,1,10,9,2,10,8,86.032,0.782,2.314,2,False,0.653,0.573
Australia,Cadillac,PER,Race,SOFT,45,55,10,2,12,10,86.205,0.957,2.887,2,True,0.192,0.618
Australia,Cadillac,PER,Race,HARD,20,31,11,2,12,10,87.457,0.963,2.794,0,False,0.674,0.636
Australia,Cadillac,PER,Race,MEDIUM,1,10,9,2,10,8,87.595,0.509,1.713,0,False,1.0,0.53
Australia,Cadillac,BOT,Race,HARD,1,10,9,2,10,8,87.738,0.882,2.788,2,False,0.554,0.573
Australia,Cadillac,PER,Race,HARD,34,42,9,16,24,8,87.956,0.982,2.296,0,False,0.655,0.573
Australia,Ferrari,HAM,Race,HARD,35,58,24,7,30,23,82.686,0.272,0.915,4,False,0.72,0.837
Australia,Ferrari,LEC,Race,HARD,35,58,24,10,33,23,83.005,0.343,1.797,3,False,0.72,0.97
Australia,Ferrari,LEC,Race,HARD,27,33,7,2,8,6,83.026,0.082,0.24,0,False,1.0,0.245
Australia,Ferrari,HAM,Race,MEDIUM,21,27,7,21,27,6,83.66,0.308,0.947,1,False,0.9,0.351
