aria,norm,outlier,life_min,min_block,compound_strat,rho,p_glob,n_blocchi
1.5,med_gara,1.05,3,5,0,0.395953,0.000500,2922
1.5,med_gara,1.05,3,5,1,0.362970,0.000500,3016
1.5,med_gara,1.05,3,8,0,0.397589,0.000500,2730
1.5,med_gara,1.05,3,8,1,0.365996,0.000500,1924
1.5,med_gara,1.05,4,5,0,0.384608,0.000500,2864
1.5,med_gara,1.05,4,5,1,0.353791,0.000500,2909
1.5,med_gara,1.05,4,8,0,0.386498,0.000500,2659
1.5,med_gara,1.05,4,8,1,0.359429,0.000500,1834
1.5,med_gara,1.07,3,5,0,0.395350,0.000500,2923
1.5,med_gara,1.07,3,5,1,0.362332,0.000500,3020
1.5,med_gara,1.07,3,8,0,0.397172,0.000500,2731
1.5,med_gara,1.07,3,8,1,0.365708,0.000500,1926
1.5,med_gara,1.07,4,5,0,0.384221,0.000500,2864
1.5,med_gara,1.07,4,5,1,0.353493,0.000500,2912
1.5,med_gara,1.07,4,8,0,0.386262,0.000500,2660
1.5,med_gara,1.07,4,8,1,0.359379,0.000500,1836
1.5,med_gara,1.1,3,5,0,0.394682,0.000500,2925
1.5,med_gara,1.1,3,5,1,0.362018,0.000500,3020
1.5,med_gara,1.1,3,8,0,0.396780,0.000500,2731
1.5,med_gara,1.1,3,8,1,0.365514,0.000500,1926
1.5,med_gara,1.1,4,5,0,0.383784,0.000500,2865
1.5,med_gara,1.1,4,5,1,0.352772,0.000500,2912
1.5,med_gara,1.1,4,8,0,0.385832,0.000500,2660
1.5,med_gara,1.1,4,8,1,0.358965,0.000500,1836
1.5,med_stint,1.05,3,5,0,0.001470,0.389305,2922
1.5,med_stint,1.05,3,5,1,0.013555,0.021989,3016
1.5,med_stint,1.05,3,8,0,-0.001132,0.571714,2730
1.5,med_stint,1.05,3,8,1,0.002085,0.379310,1924
1.5,med_stint,1.05,4,5,0,-0.002392,0.665167,2864
1.5,med_stint,1.05,4,5,1,0.008056,0.123438,2909
1.5,med_stint,1.05,4,8,0,-0.004346,0.778611,2659
1.5,med_stint,1.05,4,8,1,-0.000435,0.518741,1834
1.5,med_stint,1.07,3,5,0,0.001291,0.401799,2923
1.5,med_stint,1.07,3,5,1,0.012910,0.023988,3020
1.5,med_stint,1.07,3,8,0,-0.001151,0.585207,2731
