circuito,gp,stagione,giro_inizio,giro_fine,regime_evento,n_giri
melbourne,Australian Grand Prix,2023,1,1,SC_DEPLOY,1
melbourne,Australian Grand Prix,2023,2,2,SC_REGIME,1
melbourne,Australian Grand Prix,2023,3,3,SC_RESTART,1
melbourne,Australian Grand Prix,2023,7,7,SC_DEPLOY,1
melbourne,Australian Grand Prix,2023,8,8,RED,1
melbourne,Australian Grand Prix,2023,18,18,VSC_DEPLOY,1
melbourne,Australian Grand Prix,2023,19,19,VSC_RESTART,1
melbourne,Australian Grand Prix,2023,53,53,SC_DEPLOY,1
melbourne,Australian Grand Prix,2023,54,55,RED,2
melbourne,Australian Grand Prix,2023,57,57,RED,1
melbourne,Australian Grand Prix,2024,16,16,VSC_DEPLOY,1
melbourne,Australian Grand Prix,2024,17,17,VSC_REGIME,1
melbourne,Australian Grand Prix,2024,18,18,VSC_RESTART,1
melbourne,Australian Grand Prix,2024,56,56,VSC_DEPLOY,1
melbourne,Australian Grand Prix,2024,57,57,VSC_REGIME,1
melbourne,Australian Grand Prix,2024,58,58,VSC_RESTART,1
melbourne,Australian Grand Prix,2025,1,1,SC_DEPLOY,1
melbourne,Australian Grand Prix,2025,2,6,SC_REGIME,5
melbourne,Australian Grand Prix,2025,7,7,SC_RESTART,1
melbourne,Australian Grand Prix,2025,33,33,SC_DEPLOY,1
melbourne,Australian Grand Prix,2025,34,40,SC_REGIME,7
melbourne,Australian Grand Prix,2025,41,41,SC_RESTART,1
melbourne,Australian Grand Prix,2025,46,46,SC_DEPLOY,1
melbourne,Australian Grand Prix,2025,47,50,SC_REGIME,4
melbourne,Australian Grand Prix,2025,51,51,SC_RESTART,1
melbourne,Australian Grand Prix,2026,11,11,VSC_DEPLOY,1
melbourne,Australian Grand Prix,2026,12,13,VSC_REGIME,2
melbourne,Australian Grand Prix,2026,14,14,VSC_RESTART,1
melbourne,Australian Grand Prix,2026,18,18,VSC_DEPLOY,1
melbourne,Australian Grand Prix,2026,19,19,VSC_REGIME,1
melbourne,Australian Grand Prix,2026,20,20,VSC_RESTART,1
melbourne,Australian Grand Prix,2026,32,32,VSC_DEPLOY,1
melbourne,Australian Grand Prix,2026,33,33,VSC_REGIME,1
melbourne,Australian Grand Prix,2026,34,34,VSC_RESTART,1
shanghai,Chinese Grand Prix,2024,21,21,VSC_DEPLOY,1
shanghai,Chinese Grand Prix,2024,22,22,VSC_REGIME,1
shanghai,Chinese Grand Prix,2024,23,23,MISTO_NON_CLASSIFICABILE,1
shanghai,Chinese Grand Prix,2024,24,30,SC_REGIME,7
shanghai,Chinese Grand Prix,2024,31,31,SC_RESTART,1
shanghai,Chinese Grand Prix,2026,10,10,SC_DEPLOY,1
shanghai,Chinese Grand Prix,2026,11,12,SC_REGIME,2
shanghai,Chinese Grand Prix,2026,13,13,SC_RESTART,1
suzuka,Japanese Grand Prix,2023,1,1,SC_DEPLOY,1
suzuka,Japanese Grand Prix,2023,2,3,SC_REGIME,2
suzuka,Japanese Grand Prix,2023,4,4,SC_RESTART,1
suzuka,Japanese Grand Prix,2023,13,13,VSC_DEPLOY,1
suzuka,Japanese Grand Prix,2023,14,14,VSC_RESTART,1
suzuka,Japanese Grand Prix,2024,1,1,RED,1
suzuka,Japanese Grand Prix,2026,21,21,SC_DEPLOY,1
suzuka,Japanese Grand Prix,2026,22,26,SC_REGIME,5
suzuka,Japanese Grand Prix,2026,27,27,SC_RESTART,1
miami,Miami Grand Prix,2024,22,22,VSC_DEPLOY,1
miami,Miami Grand Prix,2024,23,23,VSC_RESTART,1
miami,Miami Grand Prix,2024,28,28,SC_DEPLOY,1
miami,Miami Grand Prix,2024,29,31,SC_REGIME,3
miami,Miami Grand Prix,2024,32,32,SC_RESTART,1
