anno,gara,n_piloti,rho_block,peso
2023,Abu Dhabi,18,0.681871,18
2023,Abu Dhabi,17,0.566159,17
2023,Abu Dhabi,17,0.758630,17
2023,Abu Dhabi,16,0.279381,16
2023,Abu Dhabi,16,0.519176,16
2023,Abu Dhabi,16,0.749821,16
2023,Abu Dhabi,15,0.402505,15
2023,Abu Dhabi,15,0.448032,15
2023,Abu Dhabi,15,0.516995,15
2023,Abu Dhabi,15,0.551479,15
2023,Abu Dhabi,15,0.601614,15
2023,Abu Dhabi,14,0.377487,14
2023,Abu Dhabi,14,0.490071,14
2023,Abu Dhabi,14,0.558156,14
2023,Abu Dhabi,14,0.590962,14
2023,Abu Dhabi,13,0.342072,13
2023,Abu Dhabi,13,0.404960,13
2023,Abu Dhabi,13,0.590350,13
2023,Abu Dhabi,13,0.622261,13
2023,Abu Dhabi,12,0.181020,12
2023,Abu Dhabi,12,0.365559,12
2023,Abu Dhabi,12,0.516703,12
2023,Abu Dhabi,12,0.518390,12
2023,Abu Dhabi,12,0.582033,12
2023,Abu Dhabi,12,0.816300,12
2023,Abu Dhabi,11,0.085059,11
2023,Abu Dhabi,11,0.298178,11
2023,Abu Dhabi,11,0.400960,11
2023,Abu Dhabi,10,0.152912,10
2023,Abu Dhabi,10,0.640256,10
2023,Abu Dhabi,9,0.204302,9
2023,Abu Dhabi,9,0.610884,9
2023,Abu Dhabi,9,0.836827,9
2023,Abu Dhabi,8,-0.121988,8
2023,Abu Dhabi,8,0.036147,8
2023,Abu Dhabi,8,0.436436,8
2023,Abu Dhabi,8,0.566306,8
2023,Abu Dhabi,8,0.850315,8
2023,Abu Dhabi,7,-0.600099,7
2023,Abu Dhabi,7,0.709299,7
2023,Abu Dhabi,7,0.774806,7
2023,Abu Dhabi,7,0.801784,7
2023,Abu Dhabi,7,0.801784,7
2023,Abu Dhabi,6,-0.092582,6
2023,Abu Dhabi,6,0.550782,6
2023,Abu Dhabi,6,0.698253,6
2023,Abu Dhabi,6,0.845154,6
2023,Abu Dhabi,6,0.925820,6
2023,Abu Dhabi,5,0.894427,5
2023,Australian,14,0.729801,14
2023,Australian,13,0.340693,13
2023,Australian,13,0.599852,13
2023,Australian,13,0.655178,13
2023,Australian,12,0.571602,12
2023,Australian,11,-0.178638,11
2023,Australian,11,0.337967,11
2023,Australian,11,0.473464,11
