circuito,stagione,gara,condizione,pilota,giro,pit_lane_time,delta_inlap,delta_outlap,pit_loss
melbourne,2018,2018-r1,DRY,HAM,19,22.0860,16.7615,4.7380,21.4995
melbourne,2018,2018-r1,DRY,RAI,18,21.3580,17.4010,3.7740,21.1750
melbourne,2019,2019-r1,DRY,ALB,14,21.4300,17.0710,5.0000,22.0710
melbourne,2019,2019-r1,DRY,BOT,23,22.0700,17.4170,6.3245,23.7415
melbourne,2019,2019-r1,DRY,GAS,37,20.3330,17.5070,6.4105,23.9175
melbourne,2019,2019-r1,DRY,GIO,27,27.1420,24.4870,5.9610,30.4480
melbourne,2019,2019-r1,DRY,GRO,15,30.1410,25.8830,5.6470,31.5300
melbourne,2019,2019-r1,DRY,HAM,15,21.0100,16.9290,6.5745,23.5035
melbourne,2019,2019-r1,DRY,HUL,13,21.7150,16.9170,4.0285,20.9455
melbourne,2019,2019-r1,DRY,KUB,44,21.8970,17.9935,11.6945,29.6880
melbourne,2019,2019-r1,DRY,KVY,26,21.9650,16.6460,7.7280,24.3740
melbourne,2019,2019-r1,DRY,LEC,28,21.7650,18.3900,5.6520,24.0420
melbourne,2019,2019-r1,DRY,MAG,14,22.4820,18.0860,4.8585,22.9445
melbourne,2019,2019-r1,DRY,NOR,15,21.4420,17.1470,6.2940,23.4410
melbourne,2019,2019-r1,DRY,PER,13,20.7260,18.9200,5.0805,24.0005
melbourne,2019,2019-r1,DRY,RAI,12,23.0290,18.5395,6.5145,25.0540
melbourne,2019,2019-r1,DRY,RUS,26,21.7340,16.9695,5.7060,22.6755
melbourne,2019,2019-r1,DRY,RUS,42,21.1550,19.8640,10.3430,30.2070
melbourne,2019,2019-r1,DRY,STR,27,22.3390,17.3500,5.9810,23.3310
melbourne,2019,2019-r1,DRY,VER,25,20.8500,16.8660,5.8535,22.7195
melbourne,2019,2019-r1,DRY,VET,14,24.2150,17.2865,5.0830,22.3695
melbourne,2022,2022-r3,DRY,LAT,13,18.5650,17.2040,7.4260,24.6300
melbourne,2022,2022-r3,DRY,MSC,14,19.0760,15.3030,6.7760,22.0790
melbourne,2022,2022-r3,DRY,OCO,17,19.1150,15.8205,5.9825,21.8030
melbourne,2022,2022-r3,DRY,TSU,18,18.4150,14.7870,6.0400,20.8270
melbourne,2022,2022-r3,DRY,VER,18,18.2720,14.9410,5.9560,20.8970
melbourne,2023,2023-r3,DRY,DEV,45,18.1090,14.3600,7.0395,21.3995
melbourne,2023,2023-r3,DRY,SAR,36,19.0310,15.2205,6.8765,22.0970
melbourne,2024,2024-r3,DRY,ALB,6,17.5730,14.1000,4.7645,18.8645
melbourne,2024,2024-r3,DRY,ALB,27,17.6140,14.2140,6.3095,20.5235
melbourne,2024,2024-r3,DRY,ALO,41,17.8160,16.2820,5.9230,22.2050
melbourne,2024,2024-r3,DRY,BOT,8,46.9180,43.0125,6.7590,49.7715
melbourne,2024,2024-r3,DRY,BOT,36,18.8700,15.5820,6.4535,22.0355
melbourne,2024,2024-r3,DRY,GAS,41,17.5750,21.5680,6.4080,27.9760
melbourne,2024,2024-r3,DRY,HAM,7,17.5430,13.4220,5.3660,18.7880
melbourne,2024,2024-r3,DRY,HUL,35,18.1020,14.3720,5.3395,19.7115
melbourne,2024,2024-r3,DRY,LEC,9,17.1740,13.3520,5.7740,19.1260
melbourne,2024,2024-r3,DRY,LEC,34,17.2130,14.0100,7.0220,21.0320
melbourne,2024,2024-r3,DRY,MAG,7,18.2130,13.9910,6.4870,20.4780
melbourne,2024,2024-r3,DRY,MAG,33,18.0780,14.4060,6.3540,20.7600
melbourne,2024,2024-r3,DRY,NOR,14,17.8220,15.3880,6.0590,21.4470
melbourne,2024,2024-r3,DRY,NOR,40,17.6210,14.2760,5.9400,20.2160
melbourne,2024,2024-r3,DRY,OCO,9,18.3130,14.3710,6.4015,20.7725
melbourne,2024,2024-r3,DRY,OCO,42,17.7940,15.2930,6.6755,21.9685
melbourne,2024,2024-r3,DRY,PER,14,17.9600,15.5865,4.9280,20.5145
