gara,tipo,valore
Australia,placebo,0.7585
Australia,placebo,3.5155
Australia,placebo,-3.1795
Australia,placebo,0.0060
Australia,placebo,-0.3395
Australia,placebo,4.3405
Australia,placebo,1.1105
Australia,placebo,-0.5225
Australia,placebo,-1.0255
Australia,placebo,0.7765
Australia,placebo,-1.5455
Australia,placebo,-0.2225
Australia,placebo,-0.1905
Australia,placebo,0.1845
Australia,placebo,3.6455
Australia,placebo,-1.0345
Australia,placebo,1.0285
Australia,placebo,4.6865
Australia,placebo,-0.9205
Australia,placebo,0.9725
Australia,placebo,-1.1775
Australia,placebo,-0.6735
Australia,placebo,-1.9865
Australia,placebo,2.6990
Australia,placebo,-2.8270
Australia,placebo,0.6150
Australia,placebo,1.3280
Australia,placebo,-1.9510
Australia,placebo,0.6800
Australia,placebo,-2.7870
Australia,placebo,3.4480
Australia,placebo,1.3200
Australia,placebo,1.7680
Australia,placebo,1.2790
Australia,placebo,2.5420
Australia,placebo,6.4360
Australia,placebo,1.7135
Australia,placebo,-1.1580
Australia,placebo,3.1490
Austria,placebo,2.7195
Austria,placebo,3.9905
Austria,placebo,-2.9375
Austria,placebo,2.6795
Austria,placebo,-0.9940
Austria,placebo,3.2015
Austria,placebo,-1.9175
Austria,placebo,2.6325
Austria,placebo,-1.4935
Austria,placebo,-1.4035
Austria,placebo,-2.0995
Austria,placebo,2.3975
Austria,placebo,-1.8395
Austria,placebo,-2.8645
Austria,placebo,2.7335
Austria,placebo,3.8785
Austria,placebo,-2.8115
Austria,placebo,0.9790
Austria,placebo,-1.9040
Austria,placebo,1.6000
Austria,placebo,1.7930
Austria,placebo,-0.9650
Austria,placebo,-2.0090
Austria,placebo,0.7810
Austria,placebo,2.2190
Austria,placebo,4.0730
Austria,placebo,-3.2820
Austria,placebo,2.5550
Austria,placebo,0.9460
Austria,placebo,3.9080
Austria,placebo,-1.3190
Austria,placebo,2.1280
Austria,placebo,-1.1130
Austria,placebo,-0.9460
Austria,placebo,-1.7460
Austria,placebo,2.8240
Austria,placebo,-1.6670
Austria,placebo,-2.6310
Austria,placebo,3.8670
Austria,placebo,-3.3640
Austria,placebo,2.2190
Austria,placebo,4.0730
Austria,placebo,-3.2820
Austria,placebo,2.5550
Austria,placebo,0.9460
Austria,placebo,3.9080
Austria,placebo,-1.3190
Austria,placebo,2.1280
Austria,placebo,-1.1130
Austria,placebo,-0.9460
Austria,placebo,-1.7460
Austria,placebo,2.8240
Austria,placebo,-1.6670
Austria,placebo,-2.6310
Austria,placebo,3.8670
Austria,placebo,-3.3640
Austria,placebo,1.6660
Austria,placebo,0.3350
Austria,placebo,1.6885
Austria,placebo,3.6595
Austria,placebo,-2.8980
Austria,placebo,2.3165
Austria,placebo,0.7145
Austria,placebo,3.4845
Austria,placebo,-1.1840
Austria,placebo,1.6275
Austria,placebo,-0.7750
Austria,placebo,0.0605
Austria,placebo,-1.7450
Austria,placebo,2.5575
Austria,placebo,-1.9340
Austria,placebo,-2.8360
Austria,placebo,3.6995
Austria,placebo,-3.2150
Austria,placebo,5.5010
Austria,placebo,-2.7180
Austria,placebo,3.5010
Austria,placebo,2.3350
Austria,placebo,3.4570
Austria,placebo,2.6380
Austria,placebo,-1.4700
Austria,placebo,-1.4560
Austria,placebo,-2.1930
Austria,placebo,5.0100
Austria,placebo,2.9490
Austria,placebo,3.3350
Austria,placebo,1.5710
Austria,placebo,3.8630
Austria,placebo,-3.1790
Austria,placebo,2.4440
Austria,placebo,1.5180
Austria,placebo,1.4720
Austria,placebo,-0.7600
Austria,placebo,4.6670
Austria,placebo,1.3660
Austria,placebo,2.4170
Austria,placebo,-0.3905
Austria,placebo,-0.5480
Austria,placebo,1.6200
Austria,placebo,1.9790
Austria,placebo,-1.1845
Austria,placebo,-0.3875
Austria,placebo,-0.4210
Austria,placebo,-0.9610
Austria,placebo,3.8630
Austria,placebo,-3.1790
Austria,placebo,2.4440
Austria,placebo,1.5180
Austria,placebo,1.4720
Austria,placebo,-0.7600
Austria,placebo,4.6670
Austria,placebo,1.7030
Austria,placebo,3.5700
Austria,placebo,-0.3330
Austria,placebo,1.4560
Austria,placebo,1.8440
Austria,placebo,-0.5180
Austria,placebo,-0.5970
Austria,placebo,-0.3670
Austria,placebo,-0.5120
Austria,placebo,3.8630
Austria,placebo,-3.1790
Austria,placebo,2.4440
Austria,placebo,1.5180
Austria,placebo,1.4720
Austria,placebo,-0.7600
Austria,placebo,4.6670
Austria,placebo,2.2465
Austria,placebo,3.8630
