gara,cid,drv,P,compound_out,inlap,outlap,ref,pit_loss_reale,nominale
Australia,melbourne,COL,9,HARD,109.931,92.762,173.646,29.047,18.15
Australia,melbourne,COL,46,SOFT,102.911,90.309,169.818,23.402,18.15
Australia,melbourne,HAM,28,HARD,99.578,89.135,167.103,21.61,18.15
Australia,melbourne,LEC,25,HARD,97.834,89.317,167.627,19.524,18.15
Australia,melbourne,PER,43,SOFT,105.049,93.422,173.305,25.166,18.15
Australia,melbourne,SAI,45,SOFT,116.391,91.589,170.123,37.857,18.15
Australia,melbourne,STR,26,SOFT,118.866,97.514,173.88,42.5,18.15
Australia,melbourne,STR,39,SOFT,105.889,92.972,172.535,26.326,18.15
Australia,melbourne,VER,41,HARD,98.866,87.991,166.468,20.389,18.15
Austria,spielberg,ALB,18,MEDIUM,78.858,91.904,149.687,21.075,21.63
Austria,spielberg,ALB,37,HARD,78.04,91.91,148.081,21.869,21.63
Austria,spielberg,BEA,45,MEDIUM,78.343,89.486,147.245,20.584,21.63
Austria,spielberg,BOR,17,MEDIUM,78.144,90.698,147.514,21.328,21.63
Austria,spielberg,BOR,44,HARD,78.407,89.12,145.233,22.294,21.63
Austria,spielberg,COL,20,HARD,79.177,92.123,148.836,22.464,21.63
Austria,spielberg,COL,46,MEDIUM,77.878,90.778,146.639,22.017,21.63
Austria,spielberg,GAS,13,HARD,79.306,90.469,147.861,21.914,21.63
Austria,spielberg,GAS,38,MEDIUM,78.051,89.337,145.748,21.64,21.63
Austria,spielberg,HAD,18,MEDIUM,76.939,89.177,146.0,20.116,21.63
Austria,spielberg,HAD,40,HARD,75.797,87.758,144.141,19.414,21.63
Austria,spielberg,HAM,12,HARD,77.539,89.201,145.533,21.207,21.63
Austria,spielberg,HAM,42,HARD,76.494,88.003,142.998,21.499,21.63
Austria,spielberg,HUL,21,MEDIUM,78.389,90.115,147.886,20.618,21.63
Austria,spielberg,HUL,45,HARD,77.06,89.611,145.858,20.813,21.63
Austria,spielberg,LAW,19,HARD,78.467,91.043,147.119,22.391,21.63
Austria,spielberg,LAW,45,MEDIUM,78.081,89.493,144.922,22.652,21.63
Austria,spielberg,LEC,13,HARD,77.722,89.806,146.024,21.504,21.63
Austria,spielberg,LEC,37,HARD,78.434,88.302,143.995,22.741,21.63
Austria,spielberg,LEC,59,SOFT,78.286,89.606,142.136,25.756,21.63
Austria,spielberg,LIN,18,HARD,77.791,89.66,147.207,20.244,21.63
Austria,spielberg,LIN,46,MEDIUM,77.63,90.286,144.841,23.075,21.63
Austria,spielberg,NOR,21,HARD,78.354,90.005,145.695,22.664,21.63
Austria,spielberg,NOR,47,HARD,76.801,88.64,143.498,21.943,21.63
Austria,spielberg,OCO,18,MEDIUM,79.724,91.801,149.255,22.27,21.63
Austria,spielberg,OCO,33,HARD,78.946,94.072,147.987,25.031,21.63
Austria,spielberg,PIA,19,HARD,78.254,89.535,145.521,22.268,21.63
Austria,spielberg,PIA,42,HARD,76.481,88.093,143.577,20.997,21.63
Austria,spielberg,RUS,19,HARD,77.085,89.073,145.097,21.061,21.63
