gara,cid,drv,P,split,residuo_nom,residuo_cal,errore,control_base
Australia,melbourne,COL,9,fit,10.6650,,10.2888,0.3762
Australia,melbourne,LEC,25,test,2.2134,-4.6886,1.2836,0.9298
Australia,melbourne,HAM,28,fit,3.8677,,3.5151,0.3526
Australia,melbourne,VER,41,test,2.9449,-3.9570,2.6344,0.3105
Austria,spielberg,HAM,12,fit,0.7410,,-0.1445,0.8856
Austria,spielberg,GAS,13,test,-0.4822,0.2352,-1.3860,0.9038
Austria,spielberg,LEC,13,fit,0.4883,,0.1915,0.2968
Austria,spielberg,SAI,14,test,0.0408,0.7582,-0.8051,0.8459
Austria,spielberg,BOR,17,fit,0.0928,,-0.7174,0.8103
Austria,spielberg,ALB,18,test,-0.3090,0.4085,-1.5910,1.2821
Austria,spielberg,HAD,18,fit,-1.2609,,-2.5027,1.2418
Austria,spielberg,LIN,18,test,-0.9292,-0.2118,-1.8315,0.9023
Austria,spielberg,OCO,18,fit,0.6536,,-1.1846,1.8382
Austria,spielberg,VER,18,test,-1.0335,-0.3160,-2.4075,1.3740
Austria,spielberg,LAW,19,fit,1.2658,,0.2270,1.0388
Austria,spielberg,PIA,19,test,0.5218,1.2392,-0.5215,1.0433
Austria,spielberg,RUS,19,fit,0.2988,,-0.9159,1.2147
Austria,spielberg,COL,20,test,0.8051,1.5225,-0.2057,1.0108
Austria,spielberg,HUL,21,fit,-1.7827,,-2.5733,0.7905
Austria,spielberg,NOR,21,test,1.0318,1.7492,0.0980,0.9338
Austria,spielberg,OCO,33,fit,4.8525,,3.0144,1.8382
Austria,spielberg,LEC,37,test,1.6804,2.3978,1.3836,0.2968
Austria,spielberg,GAS,38,fit,0.4903,,-0.4135,0.9038
Austria,spielberg,HAD,40,test,-1.7602,-1.0428,-3.0020,1.2418
Austria,spielberg,HAM,42,fit,0.0781,,-0.8075,0.8856
Austria,spielberg,PIA,42,test,0.1551,0.8725,-0.8882,1.0433
Austria,spielberg,RUS,43,fit,-0.0179,,-1.2326,1.2147
Austria,spielberg,BOR,44,test,0.9791,1.6965,0.1688,0.8103
Austria,spielberg,HUL,45,fit,0.3713,,-0.4192,0.7905
Austria,spielberg,LAW,45,test,0.8268,1.5442,-0.2120,1.0388
Austria,spielberg,LIN,46,fit,1.5014,,0.5991,0.9023
Austria,spielberg,NOR,47,test,1.1198,1.8373,0.1860,0.9338
Austria,spielberg,VER,49,fit,0.3899,,-0.9841,1.3740
Austria,spielberg,LEC,59,test,3.9668,4.6843,3.6700,0.2968
Canada,montreal,BOT,9,fit,0.0347,,0.9304,-0.8957
Canada,montreal,PIA,12,test,9.7874,9.1693,14.6614,-4.8741
Canada,montreal,STR,14,fit,-3.5795,,-0.3833,-3.1961
Canada,montreal,NOR,15,test,2.1878,1.5697,4.1079,-1.9201
Canada,montreal,PER,15,fit,-1.2668,,0.5551,-1.8219
Canada,montreal,OCO,16,test,-1.1326,-1.7507,2.9971,-4.1297
Canada,montreal,BOR,18,fit,-0.9220,,0.6181,-1.5401
Canada,montreal,HUL,20,test,3.2172,2.5992,4.5898,-1.3726
Canada,montreal,HAD,62,fit,8.2885,,9.0416,-0.7532
Cina,shanghai,OCO,29,fit,4.4481,,4.1370,0.3111
Cina,shanghai,COL,32,test,7.9979,-3.2989,6.8489,1.1490
Cina,shanghai,HUL,35,fit,18.2229,,18.4566,-0.2337
Cina,shanghai,LIN,42,test,1.8531,-9.4436,2.0441,-0.1910
Giappone,suzuka,BEA,16,fit,-0.4920,,-0.2446,-0.2474
Giappone,suzuka,NOR,16,test,-0.9096,-0.6650,-1.4822,0.5726
Giappone,suzuka,COL,17,fit,-0.4033,,-0.3269,-0.0764
