circuito,stagione,round,durata_s
Australia,2023,3,18.056
Australia,2023,3,18.951
Australia,2023,3,18.382
Australia,2023,3,17.657
Australia,2023,3,21.659
Australia,2023,3,19.158
Australia,2023,3,17.814
Australia,2023,3,19.146
Australia,2023,3,18.319
Australia,2023,3,20.789
Australia,2023,3,925.181
Australia,2023,3,925.112
Australia,2023,3,926.940
Australia,2023,3,927.222
Australia,2023,3,926.996
Australia,2023,3,926.326
Australia,2023,3,930.824
Australia,2023,3,931.820
Australia,2023,3,934.763
Australia,2023,3,934.541
Australia,2023,3,937.024
Australia,2023,3,937.874
Australia,2023,3,937.929
Australia,2023,3,937.512
Australia,2023,3,937.849
Australia,2023,3,937.594
Australia,2023,3,938.017
Australia,2023,3,940.228
Australia,2023,3,19.018
Australia,2023,3,18.080
Australia,2023,3,19.825
Australia,2023,3,19.442
Australia,2023,3,21.881
Australia,2023,3,18.258
Australia,2023,3,867.756
Australia,2023,3,871.670
Australia,2023,3,874.306
Australia,2023,3,739.342
Australia,2023,3,874.924
Australia,2023,3,875.210
Australia,2023,3,875.053
Australia,2023,3,876.462
Australia,2023,3,732.022
Australia,2023,3,881.064
Australia,2023,3,880.712
Australia,2023,3,726.783
Australia,2023,3,879.804
Australia,2023,3,864.653
Australia,2023,3,841.565
Australia,2023,3,841.820
Australia,2023,3,76.634
Australia,2023,3,74.200
Australia,2023,3,73.234
Australia,2023,3,1856.502
Australia,2023,3,1859.435
Australia,2023,3,1861.554
Australia,2023,3,1869.055
Australia,2023,3,1871.209
Australia,2023,3,1864.087
Australia,2023,3,1866.226
Australia,2023,3,1864.998
Australia,2023,3,1867.182
Australia,2023,3,1853.568
Australia,2023,3,1845.073
Australia,2023,3,1845.925
Australia,2024,3,18.265
Australia,2024,3,17.755
Australia,2024,3,19.032
Australia,2024,3,17.596
Australia,2024,3,18.301
Australia,2024,3,18.046
Australia,2024,3,17.901
Australia,2024,3,46.969
Australia,2024,3,17.409
Australia,2024,3,17.573
Australia,2024,3,18.523
Australia,2024,3,18.287
Australia,2024,3,17.776
Australia,2024,3,18.112
Australia,2024,3,17.599
Australia,2024,3,30.626
Australia,2024,3,18.160
Australia,2024,3,18.320
Australia,2024,3,20.316
Australia,2024,3,17.745
Australia,2024,3,17.751
Australia,2024,3,18.151
Australia,2024,3,17.308
Australia,2024,3,17.222
Australia,2024,3,18.145
Australia,2024,3,36.866
Australia,2024,3,17.535
Australia,2024,3,18.938
Australia,2024,3,17.977
Australia,2024,3,18.533
Australia,2024,3,17.653
Australia,2024,3,17.740
Australia,2024,3,17.995
Australia,2024,3,17.682
Australia,2024,3,18.007
Australia,2024,3,17.964
Australia,2025,1,13.341
Australia,2025,1,13.416
Australia,2025,1,13.078
Australia,2025,1,13.672
Australia,2025,1,14.182
Australia,2025,1,14.957
Australia,2025,1,15.020
Australia,2025,1,15.002
Australia,2025,1,15.104
Australia,2025,1,15.535
Australia,2025,1,15.505
Australia,2025,1,15.130
Australia,2025,1,14.658
Australia,2025,1,14.432
Australia,2025,1,14.395
Australia,2025,1,14.790
Australia,2025,1,14.605
Australia,2025,1,12.910
Australia,2025,1,13.740
Australia,2025,1,13.838
Australia,2025,1,14.104
Australia,2025,1,14.621
Australia,2025,1,15.223
Australia,2025,1,16.993
Australia,2025,1,16.191
Australia,2025,1,15.744
Australia,2025,1,16.241
Australia,2025,1,16.014
Australia,2025,1,15.971
Australia,2025,1,16.374
Australia,2025,1,16.363
Australia,2025,1,16.477
Australia,2025,1,16.309
Australia,2025,1,16.347
Australia,2025,1,12.804
Australia,2025,1,12.938
Australia,2025,1,12.816
Australia,2025,1,13.696
Australia,2025,1,14.129
Australia,2025,1,13.605
Australia,2025,1,14.285
Australia,2025,1,14.789
Australia,2025,1,14.710
Australia,2025,1,15.034
Australia,2025,1,14.451
Australia,2025,1,14.198
Australia,2025,1,13.975
Australia,2025,1,14.206
Australia,2025,1,19.649
Australia,2025,1,18.880
Australia,2025,1,22.494
Australia,2025,1,18.997
Australia,2025,1,18.573
Australia,2025,1,18.526
Australia,2025,1,19.589
Australia,2025,1,18.912
Australia,2025,1,18.802
Australia,2025,1,21.123
Australia,2025,1,24.073
Australia,2025,1,18.464
Australia,2025,1,19.719
Australia,2025,1,20.067
Australia,2025,1,18.700
Australia,2025,1,19.125
Australia,2025,1,18.154
Australia,2025,1,18.778
Australia,2025,1,22.441
Australia,2025,1,18.031
Australia,2025,1,19.378
Australia,2025,1,18.952
Australia,2025,1,21.946
Australia,2025,1,18.901
Australia,2025,1,20.209
Australia,2025,1,26.214
Australia,2025,1,19.850
Australia,2025,1,19.370
Australia,2025,1,18.721
Australia,2025,1,19.482
Australia,2025,1,19.858
Australia,2025,1,20.802
Australia,2025,1,24.528
Australia,2025,1,19.312
Australia,2026,1,27.733
Australia,2026,1,25.895
Australia,2026,1,18.672
Australia,2026,1,19.112
Australia,2026,1,18.266
Australia,2026,1,18.570
Australia,2026,1,19.859
Australia,2026,1,36.686
Australia,2026,1,18.118
Australia,2026,1,20.985
Australia,2026,1,30.387
Australia,2026,1,17.794
Australia,2026,1,972.356
Australia,2026,1,18.506
Australia,2026,1,18.774
Australia,2026,1,18.916
Australia,2026,1,19.070
Australia,2026,1,21.371
Australia,2026,1,17.664
Australia,2026,1,33.182
Australia,2026,1,17.741
Australia,2026,1,18.404
Australia,2026,1,22.619
Australia,2026,1,18.190
Australia,2026,1,25.939
Australia,2026,1,17.649
Australia,2026,1,1081.553
Australia,2026,1,22.469
Australia,2026,1,18.078
Australia,2026,1,18.951
Australia,2026,1,34.615
Australia,2026,1,18.561
Austria,2023,9,26.587
Austria,2023,9,29.691
Austria,2023,9,16.369
Austria,2023,9,16.393
Austria,2023,9,16.380
Austria,2023,9,16.415
Austria,2023,9,18.076
Austria,2023,9,16.600
Austria,2023,9,16.778
Austria,2023,9,16.646
Austria,2023,9,16.380
Austria,2023,9,16.737
Austria,2023,9,17.946
Austria,2023,9,18.143
Austria,2023,9,17.428
Austria,2023,9,17.467
Austria,2023,9,17.324
Austria,2023,9,17.337
Austria,2023,9,17.130
Austria,2023,9,17.033
Austria,2023,9,25.654
Austria,2023,9,16.246
Austria,2023,9,24.374
Austria,2023,9,21.891
Austria,2023,9,21.333
Austria,2023,9,21.993
Austria,2023,9,21.290
Austria,2023,9,21.814
Austria,2023,9,21.562
Austria,2023,9,22.262
Austria,2023,9,22.028
Austria,2023,9,22.467
Austria,2023,9,23.194
Austria,2023,9,23.425
Austria,2023,9,26.283
Austria,2023,9,22.371
Austria,2023,9,24.332
Austria,2023,9,31.785
Austria,2023,9,29.912
Austria,2023,9,27.286
Austria,2023,9,21.365
Austria,2023,9,21.655
Austria,2023,9,22.250
Austria,2023,9,22.050
Austria,2023,9,21.074
Austria,2023,9,21.910
Austria,2023,9,30.427
Austria,2023,9,21.975
Austria,2023,9,22.088
Austria,2023,9,21.702
Austria,2023,9,27.683
Austria,2023,9,22.313
Austria,2023,9,27.724
Austria,2023,9,21.543
Austria,2023,9,21.392
Austria,2023,9,21.993
Austria,2023,9,27.804
Austria,2023,9,28.583
Austria,2023,9,21.470
Austria,2023,9,21.641
Austria,2023,9,21.267
Austria,2023,9,21.837
Austria,2023,9,21.328
Austria,2024,11,31.917
Austria,2024,11,31.722
Austria,2024,11,21.518
Austria,2024,11,21.502
Austria,2024,11,22.355
Austria,2024,11,21.483
Austria,2024,11,21.878
Austria,2024,11,21.685
Austria,2024,11,22.291
Austria,2024,11,21.918
Austria,2024,11,21.431
Austria,2024,11,21.399
Austria,2024,11,22.502
Austria,2024,11,21.563
Austria,2024,11,21.291
Austria,2024,11,21.250
Austria,2024,11,21.673
Austria,2024,11,21.226
Austria,2024,11,21.899
Austria,2024,11,21.617
Austria,2024,11,20.978
Austria,2024,11,23.198
Austria,2024,11,22.243
Austria,2024,11,33.947
Austria,2024,11,21.093
Austria,2024,11,21.832
Austria,2024,11,21.814
Austria,2024,11,21.692
Austria,2024,11,22.043
Austria,2024,11,21.991
Austria,2024,11,21.231
Austria,2024,11,21.302
Austria,2024,11,23.444
Austria,2024,11,21.229
Austria,2024,11,21.283
Austria,2024,11,22.093
Austria,2024,11,25.841
Austria,2024,11,21.411
Austria,2024,11,20.775
Austria,2024,11,27.500
Austria,2024,11,20.903
Austria,2024,11,21.594
Austria,2024,11,27.281
Austria,2024,11,22.729
Austria,2024,11,22.487
Austria,2025,11,21.297
Austria,2025,11,21.910
Austria,2025,11,21.959
Austria,2025,11,21.236
Austria,2025,11,21.210
Austria,2025,11,23.038
Austria,2025,11,21.344
Austria,2025,11,21.492
Austria,2025,11,23.188
Austria,2025,11,22.131
Austria,2025,11,21.676
Austria,2025,11,22.599
Austria,2025,11,21.308
Austria,2025,11,21.287
Austria,2025,11,22.907
Austria,2025,11,21.680
Austria,2025,11,21.434
Austria,2025,11,21.865
Austria,2025,11,22.105
Austria,2025,11,21.771
Austria,2025,11,21.087
Austria,2025,11,21.045
Austria,2025,11,21.854
Austria,2025,11,21.536
Austria,2025,11,21.286
Austria,2025,11,21.158
Austria,2025,11,22.284
Austria,2025,11,21.427
Austria,2025,11,21.033
Austria,2025,11,21.763
Austria,2025,11,32.643
Austria,2026,8,21.369
Austria,2026,8,21.600
Austria,2026,8,21.731
Austria,2026,8,21.371
Austria,2026,8,22.605
Austria,2026,8,21.249
Austria,2026,8,21.408
Austria,2026,8,21.770
Austria,2026,8,21.317
Austria,2026,8,21.878
Austria,2026,8,22.022
Austria,2026,8,22.077
Austria,2026,8,21.204
Austria,2026,8,21.561
Austria,2026,8,21.585
Austria,2026,8,21.578
Austria,2026,8,22.358
Austria,2026,8,21.413
Austria,2026,8,21.593
Austria,2026,8,23.522
Austria,2026,8,21.250
Austria,2026,8,25.455
Austria,2026,8,21.270
Austria,2026,8,21.020
Austria,2026,8,21.212
Austria,2026,8,21.268
Austria,2026,8,21.267
Austria,2026,8,21.209
Austria,2026,8,21.221
Austria,2026,8,21.877
Austria,2026,8,22.044
Austria,2026,8,22.591
Austria,2026,8,21.545
Austria,2026,8,21.551
Austria,2026,8,21.446
Austria,2026,8,21.816
Austria,2026,8,28.713
Austria,2026,8,21.252
Austria,2026,8,21.502
Austria,2026,8,21.580
Austria,2026,8,22.738
Canada,2023,8,23.646
Canada,2023,8,27.515
Canada,2023,8,24.880
Canada,2023,8,23.711
Canada,2023,8,24.960
Canada,2023,8,23.644
Canada,2023,8,24.339
Canada,2023,8,24.031
Canada,2023,8,24.402
Canada,2023,8,24.828
Canada,2023,8,25.862
Canada,2023,8,25.064
Canada,2023,8,24.161
Canada,2023,8,88.943
Canada,2023,8,23.839
Canada,2023,8,24.200
Canada,2023,8,27.509
Canada,2023,8,24.117
Canada,2023,8,27.523
Canada,2023,8,23.570
Canada,2023,8,24.909
Canada,2023,8,23.698
Canada,2023,8,24.038
Canada,2023,8,23.281
Canada,2023,8,23.436
Canada,2023,8,24.133
Canada,2023,8,24.343
Canada,2023,8,23.749
Canada,2023,8,23.928
Canada,2023,8,23.910
Canada,2023,8,23.786
Canada,2023,8,24.515
Canada,2023,8,23.218
Canada,2024,9,30.472
Canada,2024,9,24.233
Canada,2024,9,25.598
Canada,2024,9,24.306
Canada,2024,9,24.044
Canada,2024,9,23.977
Canada,2024,9,25.788
Canada,2024,9,23.762
Canada,2024,9,24.284
Canada,2024,9,24.753
Canada,2024,9,24.031
Canada,2024,9,27.626
Canada,2024,9,26.794
Canada,2024,9,24.911
Canada,2024,9,33.762
Canada,2024,9,24.668
Canada,2024,9,23.423
Canada,2024,9,30.298
Canada,2024,9,47.186
