gara,giro,timestamp,categoria,pilota,bandiera,testo,penalita_secondi
Australia,0,2026-03-08 03:08:08,Other,,,PINK HEAD PADDING MATERIAL MUST BE USED,
Australia,1,2026-03-08 03:20:00,Flag,,GREEN,GREEN LIGHT - PIT EXIT OPEN,
Australia,1,2026-03-08 03:21:22,Flag,,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 6,
Australia,1,2026-03-08 03:21:25,Flag,,CLEAR,CLEAR IN TRACK SECTOR 6,
Australia,1,2026-03-08 03:21:26,Flag,,YELLOW,YELLOW IN TRACK SECTOR 7,
Australia,1,2026-03-08 03:21:50,Flag,,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 6,
Australia,1,2026-03-08 03:21:51,Flag,,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 7,
Australia,1,2026-03-08 03:21:59,Other,,,MEDICAL CAR DEPLOYED,
Australia,1,2026-03-08 03:29:59,Flag,,YELLOW,YELLOW IN TRACK SECTOR 20,
Australia,1,2026-03-08 03:30:00,Other,,,PIT EXIT CLOSED,
Australia,1,2026-03-08 03:30:15,Flag,,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 20,
Australia,1,2026-03-08 03:30:25,Flag,,CLEAR,CLEAR IN TRACK SECTOR 20,
Australia,1,2026-03-08 03:32:26,Flag,,CLEAR,CLEAR IN TRACK SECTOR 20,
Australia,1,2026-03-08 03:33:13,Other,HUL,,INCIDENT INVOLVING CAR 27 (HUL) NOTED - STARTING PROCEDURE INFRINGEMENT,
Australia,1,2026-03-08 03:37:53,Flag,,CLEAR,CLEAR IN TRACK SECTOR 7,
Australia,1,2026-03-08 03:37:54,Flag,,CLEAR,CLEAR IN TRACK SECTOR 6,
Australia,1,2026-03-08 03:38:40,Other,HUL,,FIA STEWARDS: INCIDENT INVOLVING CAR 27 (HUL) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT,
Australia,1,2026-03-08 03:40:23,Flag,,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 15,
Australia,1,2026-03-08 03:40:40,Flag,,CLEAR,CLEAR IN TRACK SECTOR 15,
Australia,1,2026-03-08 03:45:10,Other,,,RISK OF RAIN FOR THE F1 RACE IS 0%,
Australia,1,2026-03-08 03:55:31,Other,HUL,,FIA STEWARDS: INCIDENT INVOLVING CAR 27 (HUL) NO FURTHER ACTION - STARTING PROCEDURE INFRINGEMENT,
Australia,1,2026-03-08 03:57:02,Other,,,OVERTAKE DISABLED,
Australia,1,2026-03-08 04:01:21,Other,COL,,INCIDENT INVOLVING CAR 43 (COL) NOTED - STARTING PROCEDURE INFRINGEMENT,
Australia,1,2026-03-08 04:03:26,Flag,,GREEN,GREEN LIGHT - PIT EXIT OPEN,
Australia,1,2026-03-08 04:03:53,Other,COL,,FIA STEWARDS: INCIDENT INVOLVING CAR 43 (COL) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT,
Australia,1,2026-03-08 04:04:46,Other,,,OVERTAKE ENABLED,
Australia,6,2026-03-08 04:11:11,Other,GAS,,CAR 10 (GAS) TIME 1:27.040 DELETED - TRACK LIMITS AT TURN 10 LAP 5 15:10:17,
Australia,7,2026-03-08 04:12:27,Other,BOR,,CAR 5 (BOR) TIME 1:27.463 DELETED - TRACK LIMITS AT TURN 3 LAP 6 15:11:11,
Australia,8,2026-03-08 04:14:16,Other,COL,,FIA STEWARDS: STOP-AND-GO PENALTY FOR CAR 43 (COL) - STARTING PROCEDURE INFRINGEMENT,
Australia,9,2026-03-08 04:16:10,Other,LEC,,TURN 11 INCIDENT INVOLVING CAR 16 (LEC) NOTED,
Australia,10,2026-03-08 04:17:20,Other,LEC,,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CAR 16 (LEC) REVIEWED NO FURTHER INVESTIGATION,
Australia,12,2026-03-08 04:19:08,SafetyCar,,,VSC DEPLOYED,
Australia,12,2026-03-08 04:19:16,Flag,,YELLOW,YELLOW IN TRACK SECTOR 13,
Australia,12,2026-03-08 04:19:19,Flag,,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 13,
Australia,12,2026-03-08 04:20:09,Other,,,MARSHALS ON TRACK AT TURN 9,
Australia,13,2026-03-08 04:21:13,Other,COL,,FIA STEWARDS: PENALTY SERVED - STOP-AND-GO PENALTY FOR CAR 43 (COL) - STARTING PROCEDURE INFRINGEMENT,
Australia,14,2026-03-08 04:23:05,Flag,,CLEAR,CLEAR IN TRACK SECTOR 13,
Australia,14,2026-03-08 04:23:07,SafetyCar,,,VSC ENDING,
Australia,14,2026-03-08 04:23:19,Flag,,CLEAR,TRACK CLEAR,
Australia,14,2026-03-08 04:23:22,Flag,BOT,BLUE,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:22,
Australia,14,2026-03-08 04:23:30,Flag,BOT,BLUE,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:30,
Australia,14,2026-03-08 04:23:35,Flag,BOT,BLUE,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:35,
Australia,14,2026-03-08 04:24:21,Flag,BOT,BLUE,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:24:20,
Australia,15,2026-03-08 04:25:06,Flag,BOT,BLUE,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:25:06,
Australia,15,2026-03-08 04:25:27,Flag,BOT,BLUE,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:25:26,
Australia,16,2026-03-08 04:26:27,Flag,BOT,BLUE,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:26:27,
Australia,16,2026-03-08 04:26:42,Flag,BOT,BLUE,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:26:41,
Australia,18,2026-03-08 04:28:39,Other,ALB,,CAR 23 (ALB) TIME 1:28.434 DELETED - TRACK LIMITS AT TURN 3 LAP 16 15:26:48,
Australia,18,2026-03-08 04:29:38,Flag,,YELLOW,YELLOW IN TRACK SECTOR 20,
Australia,18,2026-03-08 04:29:52,Flag,STR,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:29:51,
Australia,18,2026-03-08 04:29:55,SafetyCar,,,VSC DEPLOYED,
Australia,19,2026-03-08 04:31:16,Other,,,PIT LANE ENTRY CLOSED,
Australia,19,2026-03-08 04:31:17,Flag,,CLEAR,CLEAR IN TRACK SECTOR 20,
Australia,20,2026-03-08 04:32:04,Other,,,MARSHALS ON TRACK AT PIT ENTRY,
Australia,20,2026-03-08 04:32:21,Other,,,PIT LANE ENTRY OPEN,
Australia,20,2026-03-08 04:32:26,SafetyCar,,,VSC ENDING,
Australia,20,2026-03-08 04:32:39,Flag,,CLEAR,TRACK CLEAR,
Australia,20,2026-03-08 04:32:43,Flag,STR,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:32:43,
Australia,20,2026-03-08 04:32:56,Flag,STR,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:32:55,
Australia,21,2026-03-08 04:34:21,Other,,,TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 30 (LAW) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,
Australia,21,2026-03-08 04:34:33,Flag,STR,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:34:33,
Australia,22,2026-03-08 04:35:08,Other,LAW,,CAR 30 (LAW) TIME 1:29.919 DELETED - TRACK LIMITS AT TURN 3 LAP 16 15:26:58,
Australia,22,2026-03-08 04:36:04,Flag,PER,BLUE,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:36:03,
Australia,22,2026-03-08 04:36:20,Flag,STR,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:36:20,
Australia,23,2026-03-08 04:36:27,Flag,PER,BLUE,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:36:26,
Australia,23,2026-03-08 04:36:59,Other,,,TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 10 (GAS) NOTED,
Australia,23,2026-03-08 04:37:32,Other,,,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 30 (LAW) UNDER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,
Australia,23,2026-03-08 04:37:37,Flag,PER,BLUE,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:37:36,
Australia,24,2026-03-08 04:38:30,Other,,,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 10 (GAS) UNDER INVESTIGATION,
Australia,25,2026-03-08 04:39:47,Flag,PER,BLUE,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:39:46,
Australia,25,2026-03-08 04:39:56,Other,OCO,,INCIDENT INVOLVING CAR 31 (OCO) NOTED - DRIVING UNNECESSARILY SLOWLY,
Australia,26,2026-03-08 04:40:49,Other,,,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 30 (LAW) NO FURTHER ACTION - FORCING ANOTHER DRIVER OFF THE TRACK,
Australia,26,2026-03-08 04:41:47,Flag,STR,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:41:46,
Australia,27,2026-03-08 04:42:24,Flag,PER,BLUE,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:42:24,
Australia,27,2026-03-08 04:42:47,Flag,STR,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:42:46,
Australia,27,2026-03-08 04:43:19,Other,PER,,INCIDENT INVOLVING CAR 11 (PER) NOTED - IGNORING BLUE FLAGS,
Australia,28,2026-03-08 04:44:00,Flag,PER,BLUE,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:43:59,
Australia,28,2026-03-08 04:44:40,Flag,STR,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:44:39,
Australia,29,2026-03-08 04:45:10,Flag,PER,BLUE,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:45:10,
Australia,29,2026-03-08 04:46:00,Flag,COL,BLUE,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:45:59,
Australia,29,2026-03-08 04:46:04,Flag,COL,BLUE,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:46:03,
Australia,30,2026-03-08 04:46:12,Flag,PER,BLUE,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:46:11,
Australia,30,2026-03-08 04:46:55,Other,OCO,,FIA STEWARDS: INCIDENT INVOLVING CAR 31 (OCO) WILL BE INVESTIGATED AFTER THE RACE - DRIVING UNNECESSARILY SLOWLY,
Australia,31,2026-03-08 04:48:24,Flag,ALO,BLUE,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:48:24,
Australia,31,2026-03-08 04:48:52,Flag,COL,BLUE,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:48:52,
Australia,32,2026-03-08 04:49:32,Flag,STR,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:49:31,
Australia,33,2026-03-08 04:50:30,Flag,ALO,BLUE,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:50:29,
Australia,33,2026-03-08 04:50:30,Flag,PER,BLUE,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:50:29,
Australia,33,2026-03-08 04:50:40,Flag,PER,BLUE,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:50:39,
