anno,circuito,compound,drv,stint,n_usable,n_centrale,n_coda,pend_base,pend_coda,marg_raw,marg_iso_centrale,marg_iso_fuelprior,cum5_iso
2023,Abu Dhabi,MEDIUM,VER,1,13,8,5,0.0029,-0.0531,-0.0531,-0.0560,0.0072,-0.1564
2023,Abu Dhabi,HARD,VER,2,22,17,5,-0.0246,0.0172,0.0172,0.0418,0.0775,0.4411
2023,Abu Dhabi,HARD,VER,3,13,8,5,-0.0275,0.2114,0.2114,0.2389,0.2717,1.1147
2023,Abu Dhabi,HARD,LEC,2,14,9,5,-0.0385,0.0177,0.0177,0.0562,0.0780,1.2101
2023,Abu Dhabi,HARD,LEC,3,20,15,5,-0.0084,0.0851,0.0851,0.0935,0.1454,1.7722
2023,Abu Dhabi,HARD,RUS,3,18,13,5,-0.0365,-0.0354,-0.0354,0.0011,0.0249,2.7700
2023,Abu Dhabi,HARD,PER,2,13,8,5,-0.0260,0.0272,0.0272,0.0532,0.0875,-0.1879
2023,Abu Dhabi,HARD,PER,3,8,3,5,-0.1060,0.0088,0.0088,0.1148,0.0692,3.5717
2023,Abu Dhabi,HARD,NOR,2,10,5,5,-0.2003,0.1330,0.1330,0.3333,0.1933,4.7985
2023,Abu Dhabi,HARD,NOR,3,18,13,5,-0.0382,0.0338,0.0338,0.0720,0.0941,1.4714
2023,Abu Dhabi,HARD,PIA,2,15,10,5,0.0160,-0.0454,-0.0454,-0.0614,0.0149,-1.7167
2023,Abu Dhabi,HARD,PIA,3,16,11,5,0.0078,-0.0081,-0.0081,-0.0159,0.0522,-0.8462
2023,Abu Dhabi,HARD,ALO,3,14,9,5,-0.0158,0.0597,0.0597,0.0755,0.1200,1.7360
2023,Abu Dhabi,MEDIUM,TSU,1,8,3,5,-0.0546,-0.0221,-0.0221,0.0325,0.0382,2.1539
2023,Abu Dhabi,HARD,TSU,2,21,16,5,-0.0214,0.1557,0.1557,0.1771,0.2160,1.2269
2023,Abu Dhabi,HARD,HAM,2,10,5,5,-0.0353,-0.0378,-0.0378,-0.0025,0.0225,1.9686
2023,Abu Dhabi,HARD,HAM,3,9,4,5,-0.2834,0.0368,0.0368,0.3202,0.0971,4.3015
2023,Abu Dhabi,HARD,STR,2,10,5,5,0.1147,0.0291,0.0291,-0.0856,0.0895,-2.6848
2023,Abu Dhabi,MEDIUM,STR,3,9,4,5,0.1312,0.1334,0.1334,0.0022,0.1938,-0.8296
2023,Abu Dhabi,HARD,RIC,2,13,8,5,0.0447,0.0157,0.0157,-0.0290,0.0760,-1.1975
2023,Abu Dhabi,HARD,RIC,3,14,9,5,-0.0883,0.0074,0.0074,0.0957,0.0678,3.5473
2023,Abu Dhabi,HARD,OCO,2,25,20,5,-0.0055,0.0924,0.0924,0.0979,0.1527,0.8388
2023,Abu Dhabi,HARD,GAS,2,8,3,5,-0.0315,-0.0549,-0.0549,-0.0234,0.0054,1.9475
2023,Abu Dhabi,HARD,GAS,3,22,17,5,0.0029,0.0559,0.0559,0.0530,0.1162,-0.4955
2023,Abu Dhabi,HARD,ALB,2,17,12,5,-0.0145,0.0047,0.0047,0.0192,0.0650,0.4895
2023,Abu Dhabi,HARD,ALB,3,12,7,5,-0.0268,-0.0277,-0.0277,-0.0009,0.0326,1.0646
2023,Abu Dhabi,HARD,HUL,2,8,3,5,0.0900,-0.0336,-0.0336,-0.1235,0.0268,-2.2224
2023,Abu Dhabi,HARD,HUL,3,22,17,5,0.0252,-0.1039,-0.1039,-0.1291,-0.0436,-3.2018
2023,Abu Dhabi,HARD,SAR,3,11,6,5,0.0368,0.1107,0.1107,0.0739,0.1711,-1.7292
2023,Abu Dhabi,HARD,ZHO,2,13,8,5,-0.0268,-0.0658,-0.0658,-0.0390,-0.0055,1.6653
2023,Abu Dhabi,MEDIUM,ZHO,3,10,5,5,0.0224,0.1052,0.1052,0.0828,0.1656,2.7848
2023,Abu Dhabi,HARD,SAI,1,8,3,5,-0.1680,-0.0160,-0.0160,0.1520,0.0444,6.0703
2023,Abu Dhabi,HARD,SAI,2,19,14,5,0.0126,-0.0039,-0.0039,-0.0165,0.0564,-1.4314
2023,Abu Dhabi,MEDIUM,BOT,2,23,18,5,0.0229,-0.3051,-0.3051,-0.3280,-0.2448,0.3742
2023,Abu Dhabi,HARD,MAG,2,13,8,5,0.1240,-0.0329,-0.0329,-0.1569,0.0274,1.0214
2023,Abu Dhabi,HARD,MAG,3,22,17,5,-0.0195,0.0956,0.0956,0.1151,0.1559,3.7071
2023,Australian,HARD,VER,2,39,34,5,-0.0401,-0.0380,-0.0380,0.0021,0.0223,-2.3547
2023,Australian,HARD,PER,4,19,14,5,-0.0612,0.0809,0.0809,0.1421,0.1412,1.1926
2023,Australian,HARD,ALO,2,8,3,5,-0.1359,-0.2548,-0.2548,-0.1189,-0.1945,-0.5942
2023,Australian,HARD,STR,2,16,11,5,-0.0633,-0.0651,-0.0651,-0.0018,-0.0048,-0.0227
