gara,drv,k,freeze_L,residuo,dpace_prepit,cambio_davanti
Australia,ALB,1,21,4.4041,0.0000,0
Australia,ALB,1,22,4.3930,0.0689,0
Australia,ALB,1,23,4.4203,0.4450,0
Australia,ALB,1,24,4.5846,0.5016,0
Australia,ALB,1,25,4.7369,0.7656,0
Australia,ALB,1,26,5.4890,0.3653,0
Australia,ALB,1,27,6.3563,0.7240,1
Australia,ALB,1,28,6.1068,0.6635,1
Australia,ALB,1,3,4.8101,0.4360,1
Australia,ALB,1,37,4.7868,0.1472,1
Australia,ALB,1,38,4.4113,0.4534,1
Australia,ALB,1,39,3.9010,0.6628,0
Australia,ALB,1,4,3.7141,0.9094,1
Australia,ALB,1,40,1.9964,0.6533,0
Australia,ALB,1,41,1.9859,0.6295,0
Australia,ALB,1,42,1.9380,0.6982,0
Australia,ALB,1,43,1.6531,0.6155,0
Australia,ALB,1,44,1.5553,0.5998,0
Australia,ALB,1,45,1.6363,0.6827,0
Australia,ALB,1,46,1.6314,0.6623,0
Australia,ALB,1,47,1.6006,0.6836,0
Australia,ALB,1,48,1.5972,0.7059,0
Australia,ALB,1,49,1.4747,0.7283,0
Australia,ALB,1,5,2.4606,0.8168,1
Australia,ALB,1,50,1.3433,0.7412,0
Australia,ALB,1,51,1.5738,0.7493,0
Australia,ALB,1,52,1.6470,0.6860,0
Australia,ALB,1,53,1.5992,0.5894,0
Australia,ALB,1,54,3.0593,0.4887,0
Australia,ALB,1,55,4.2664,0.4973,0
Australia,ALB,1,6,1.7988,0.8629,0
Australia,ALB,1,7,2.0551,0.9450,0
Australia,ALB,3,21,9.1562,0.0000,0
Australia,ALB,3,22,9.5451,0.0689,0
Australia,ALB,3,23,9.4536,0.4450,0
Australia,ALB,3,24,10.1942,0.5016,0
Australia,ALB,3,25,11.2137,0.7656,1
Australia,ALB,3,26,11.6881,0.3653,1
Australia,ALB,3,3,6.6572,0.4360,1
Australia,ALB,3,37,9.9255,0.1472,1
Australia,ALB,3,38,7.0266,0.4534,1
Australia,ALB,3,39,6.0679,0.6628,0
Australia,ALB,3,4,5.0622,0.9094,1
Australia,ALB,3,40,4.0558,0.6533,0
Australia,ALB,3,41,3.7007,0.6295,0
Australia,ALB,3,42,3.5579,0.6982,0
Australia,ALB,3,43,3.3551,0.6155,0
Australia,ALB,3,44,3.2197,0.5998,0
Australia,ALB,3,45,3.2386,0.6827,0
Australia,ALB,3,46,3.3159,0.6623,0
Australia,ALB,3,47,3.2482,0.6836,0
Australia,ALB,3,48,3.0663,0.7059,0
Australia,ALB,3,49,3.1274,0.7283,0
Australia,ALB,3,5,4.0831,0.8168,1
Australia,ALB,3,50,3.0536,0.7412,0
