pop,gara,drv,k,L,E,residuo_cum,residuo_cum_fuel,n_neu_flag,n_neu_json,edge,lapped
ctrl,Australia,ALB,1,16,18,23.5872,19.2941,1,1,0,0
ctrl,Australia,ALB,1,17,19,46.9630,42.7733,2,2,0,0
ctrl,Australia,ALB,1,18,20,27.9760,23.8898,2,3,0,0
ctrl,Australia,ALB,1,19,21,3.5650,-0.4178,1,2,0,0
ctrl,Australia,ALB,1,20,22,4.2592,0.3799,0,1,0,0
ctrl,Australia,ALB,1,21,23,4.4041,0.6282,0,0,0,0
ctrl,Australia,ALB,1,22,24,4.3930,0.7206,0,0,0,0
ctrl,Australia,ALB,1,23,25,4.4203,0.8513,0,0,0,0
ctrl,Australia,ALB,1,24,26,4.5846,1.1191,0,0,0,0
ctrl,Australia,ALB,1,25,27,4.7369,1.3748,0,0,0,0
ctrl,Australia,ALB,1,26,28,5.4890,2.2304,0,0,0,0
ctrl,Australia,ALB,1,27,29,6.3563,3.2011,0,0,0,0
ctrl,Australia,ALB,1,28,30,6.1068,3.0551,0,0,0,0
ctrl,Australia,ALB,1,3,5,4.8101,-0.8278,0,0,0,0
ctrl,Australia,ALB,1,37,39,4.7868,2.6661,0,0,0,1
ctrl,Australia,ALB,1,38,40,4.4113,2.3941,0,0,0,1
ctrl,Australia,ALB,1,39,41,3.9010,1.9872,0,0,0,1
ctrl,Australia,ALB,1,4,6,3.7141,-1.8204,0,0,0,0
ctrl,Australia,ALB,1,40,42,1.9964,0.1861,0,0,0,1
ctrl,Australia,ALB,1,41,43,1.9859,0.2790,0,0,0,1
ctrl,Australia,ALB,1,42,44,1.9380,0.3345,0,0,0,1
ctrl,Australia,ALB,1,43,45,1.6531,0.1531,0,0,0,1
ctrl,Australia,ALB,1,44,46,1.5553,0.1588,0,0,0,1
ctrl,Australia,ALB,1,45,47,1.6363,0.3432,0,0,0,1
ctrl,Australia,ALB,1,46,48,1.6314,0.4418,0,0,0,1
ctrl,Australia,ALB,1,47,49,1.6006,0.5144,0,0,0,1
ctrl,Australia,ALB,1,48,50,1.5972,0.6144,0,0,0,1
ctrl,Australia,ALB,1,49,51,1.4747,0.5954,0,0,0,1
ctrl,Australia,ALB,1,5,7,2.4606,-2.9705,0,0,0,0
ctrl,Australia,ALB,1,50,52,1.3433,0.5674,0,0,0,1
ctrl,Australia,ALB,1,51,53,1.5738,0.9014,0,0,0,1
ctrl,Australia,ALB,1,52,54,1.6470,1.0780,0,0,0,1
ctrl,Australia,ALB,1,53,55,1.5992,1.1337,0,0,0,1
ctrl,Australia,ALB,1,54,56,3.0593,2.6972,0,0,0,1
ctrl,Australia,ALB,1,55,57,4.2664,4.0078,0,0,0,1
ctrl,Australia,ALB,1,6,8,1.7988,-3.5288,0,0,0,0
ctrl,Australia,ALB,1,7,9,2.0551,-3.1690,0,0,0,0
ctrl,Australia,ALB,3,16,20,52.0013,43.6220,2,3,0,0
ctrl,Australia,ALB,3,17,21,50.5280,42.3556,2,3,0,0
ctrl,Australia,ALB,3,18,22,31.7970,23.8315,2,3,0,0
ctrl,Australia,ALB,3,19,23,7.5790,-0.1796,1,2,0,0
ctrl,Australia,ALB,3,20,24,8.7483,1.1966,0,1,0,0
ctrl,Australia,ALB,3,21,25,9.1562,1.8114,0,0,0,0
ctrl,Australia,ALB,3,22,26,9.5451,2.4071,0,0,0,0
ctrl,Australia,ALB,3,23,27,9.4536,2.5226,0,0,0,0
ctrl,Australia,ALB,3,24,28,10.1942,3.4700,0,0,0,0
ctrl,Australia,ALB,3,25,29,11.2137,4.6965,0,0,0,0
ctrl,Australia,ALB,3,26,30,11.6881,5.3777,0,0,0,0
ctrl,Australia,ALB,3,3,7,6.6572,-4.4118,0,0,0,0
ctrl,Australia,ALB,3,37,41,9.9255,5.8910,0,0,0,1
ctrl,Australia,ALB,3,38,42,7.0266,3.1990,0,0,0,1
ctrl,Australia,ALB,3,39,43,6.0679,2.4472,0,0,0,1
ctrl,Australia,ALB,3,4,8,5.0622,-5.7999,0,0,0,0
ctrl,Australia,ALB,3,40,44,4.0558,0.6420,0,0,0,1
ctrl,Australia,ALB,3,41,45,3.7007,0.4938,0,0,0,1
ctrl,Australia,ALB,3,42,46,3.5579,0.5579,0,0,0,1
ctrl,Australia,ALB,3,43,47,3.3551,0.5620,0,0,0,1
ctrl,Australia,ALB,3,44,48,3.2197,0.6335,0,0,0,1
ctrl,Australia,ALB,3,45,49,3.2386,0.8592,0,0,0,1
ctrl,Australia,ALB,3,46,50,3.3159,1.1435,0,0,0,1
ctrl,Australia,ALB,3,47,51,3.2482,1.2827,0,0,0,1
ctrl,Australia,ALB,3,48,52,3.0663,1.3077,0,0,0,1
ctrl,Australia,ALB,3,49,53,3.1274,1.5757,0,0,0,1
ctrl,Australia,ALB,3,5,9,4.0831,-6.5721,0,0,0,0
ctrl,Australia,ALB,3,50,54,3.0536,1.7087,0,0,0,1
ctrl,Australia,ALB,3,51,55,3.2207,2.0827,0,0,0,1
ctrl,Australia,ALB,3,52,56,4.7960,3.8650,0,0,0,1
ctrl,Australia,ALB,3,53,57,5.9973,5.2732,0,0,0,1
ctrl,Australia,ALB,5,16,22,56.2605,44.0019,2,3,0,0
ctrl,Australia,ALB,5,17,23,54.5420,42.5937,2,3,0,0
ctrl,Australia,ALB,5,18,24,35.8480,24.2101,2,3,0,0
ctrl,Australia,ALB,5,19,25,11.9410,0.6134,1,2,0,0
ctrl,Australia,ALB,5,20,26,13.9965,2.9793,0,1,0,0
ctrl,Australia,ALB,5,21,27,14.5213,3.8144,0,0,0,0
ctrl,Australia,ALB,5,22,28,15.7221,5.3256,0,0,0,0
ctrl,Australia,ALB,5,23,29,16.2269,6.1407,0,0,0,0
ctrl,Australia,ALB,5,24,30,16.5138,6.7379,0,0,0,0
ctrl,Australia,ALB,5,3,9,7.6663,-8.6268,0,0,0,0
ctrl,Australia,ALB,5,37,43,13.3303,7.5889,0,0,0,1
ctrl,Australia,ALB,5,38,44,9.7049,4.2739,0,0,0,1
ctrl,Australia,ALB,5,39,45,7.9639,2.8432,0,0,0,1
ctrl,Australia,ALB,5,40,46,5.7972,0.9869,0,0,0,1
