gara,A,B,k,L,residuo_gap,residuo_gap_reinfl,residuo_gap_perlap
Australia,ALB,ALO,1,3,-1.1720,-1.1720,-0.5860
Australia,ALB,ALO,3,3,-5.6870,-5.6870,-1.4217
Australia,ALB,BOR,1,6,-1.3326,-1.3326,-0.6663
Australia,ALB,BOR,1,7,-1.1866,-1.1866,-0.5933
Australia,ALB,SAI,1,21,-0.3439,-0.3439,-0.1720
Australia,ALB,SAI,1,22,-0.9538,-0.9538,-0.4769
Australia,ALB,SAI,1,23,-1.0503,-1.0503,-0.5252
Australia,ALB,SAI,1,24,-0.9249,-0.9249,-0.4624
Australia,ALB,SAI,1,25,-0.7079,-0.7079,-0.3539
Australia,ALB,SAI,1,26,-0.5440,-0.5440,-0.2720
Australia,ALB,SAI,1,27,-1.5890,-1.5890,-0.7945
Australia,ALB,SAI,1,28,-2.1248,-2.1248,-1.0624
Australia,ALB,SAI,3,21,-0.6684,-0.6684,-0.1671
Australia,ALB,SAI,3,22,-1.8803,-1.8803,-0.4701
Australia,ALB,SAI,3,23,-1.9267,-1.9267,-0.4817
Australia,ALB,SAI,3,24,-1.4818,-1.4818,-0.3704
Australia,ALB,SAI,3,25,-2.2558,-2.2558,-0.5639
Australia,ALB,SAI,3,26,-2.6020,-2.6020,-0.6505
Australia,ALB,SAI,5,21,-0.8188,-0.8188,-0.1365
Australia,ALB,SAI,5,22,-2.2116,-2.2116,-0.3686
Australia,ALB,SAI,5,23,-3.6430,-3.6430,-0.6072
Australia,ALB,SAI,5,24,-3.5527,-3.5527,-0.5921
Australia,ALB,VER,1,4,3.6553,3.6553,1.8276
Australia,ALB,VER,1,5,0.6023,0.6023,0.3012
Australia,ALB,VER,3,4,4.7006,4.7006,1.1751
Australia,ALB,VER,3,5,0.9407,0.9407,0.2352
Australia,ALO,ALB,1,5,3.9016,3.9016,1.9508
Australia,ALO,BEA,1,3,3.2386,3.2386,1.6193
Australia,ALO,BEA,1,4,4.2000,4.2000,2.1000
Australia,ALO,BEA,3,3,7.6161,7.6161,1.9040
Australia,ALO,BEA,3,4,6.2010,6.2010,1.5503
Australia,ANT,HAD,1,5,-3.4650,-3.4650,-1.7325
Australia,ANT,HAD,3,5,-6.4260,-6.4260,-1.6065
Australia,ANT,HAM,1,6,-1.7506,-1.7506,-0.8753
Australia,ANT,HAM,1,7,-3.8701,-3.8701,-1.9351
Australia,ANT,LIN,1,3,-2.3970,-2.3970,-1.1985
Australia,ANT,LIN,1,4,-3.1040,-3.1040,-1.5520
Australia,ANT,LIN,3,3,-5.1240,-5.1240,-1.2810
Australia,ANT,LIN,3,4,-6.0400,-6.0400,-1.5100
Australia,ANT,LIN,5,3,-8.1300,-8.1300,-1.3550
Australia,ANT,RUS,1,21,-1.0534,-1.0534,-0.5267
Australia,ANT,RUS,1,22,-1.1854,-1.1854,-0.5927
Australia,ANT,RUS,1,23,0.8087,0.8087,0.4043
Australia,ANT,RUS,1,24,1.2827,1.2827,0.6413
Australia,ANT,RUS,1,25,-0.2833,-0.2833,-0.1417
Australia,ANT,RUS,1,26,0.5641,0.5641,0.2821
Australia,ANT,RUS,1,27,-0.1256,-0.1256,-0.0628
Australia,ANT,RUS,1,28,-1.6079,-1.6079,-0.8040
Australia,ANT,RUS,1,29,-1.2326,-1.2326,-0.6163
Australia,ANT,RUS,1,35,0.6087,0.6087,0.3043
Australia,ANT,RUS,1,36,0.4786,0.4786,0.2393
Australia,ANT,RUS,1,37,0.6463,0.6463,0.3232
Australia,ANT,RUS,1,38,0.3891,0.3891,0.1946
Australia,ANT,RUS,1,39,0.1036,0.1036,0.0518
Australia,ANT,RUS,1,40,0.2770,0.2770,0.1385
Australia,ANT,RUS,1,41,0.5302,0.5302,0.2651
Australia,ANT,RUS,1,42,0.8515,0.8515,0.4257
Australia,ANT,RUS,1,43,0.1536,0.1536,0.0768
Australia,ANT,RUS,1,44,-1.0043,-1.0043,-0.5022
Australia,ANT,RUS,1,45,-0.5520,-0.5520,-0.2760
Australia,ANT,RUS,1,46,0.1843,0.1843,0.0922
Australia,ANT,RUS,1,47,0.5420,0.5420,0.2710
Australia,ANT,RUS,1,48,0.3898,0.3898,0.1949
Australia,ANT,RUS,1,49,-0.2859,-0.2859,-0.1429
Australia,ANT,RUS,1,50,-0.7876,-0.7876,-0.3938
Australia,ANT,RUS,1,51,-1.1112,-1.1112,-0.5556
Australia,ANT,RUS,1,52,-0.8258,-0.8258,-0.4129
Australia,ANT,RUS,1,53,-0.0102,-0.0102,-0.0051
Australia,ANT,RUS,1,54,0.1954,0.1954,0.0977
Australia,ANT,RUS,1,55,-0.8478,-0.8478,-0.4239
Australia,ANT,RUS,3,21,-0.4089,-0.4089,-0.1022
Australia,ANT,RUS,3,22,-0.1698,-0.1698,-0.0424
Australia,ANT,RUS,3,23,1.1598,1.1598,0.2899
Australia,ANT,RUS,3,24,1.2889,1.2889,0.3222
Australia,ANT,RUS,3,25,0.1046,0.1046,0.0261
Australia,ANT,RUS,3,26,0.6723,0.6723,0.1681
Australia,ANT,RUS,3,27,-0.0232,-0.0232,-0.0058
Australia,ANT,RUS,3,35,1.2633,1.2633,0.3158
Australia,ANT,RUS,3,36,0.6442,0.6442,0.1610
Australia,ANT,RUS,3,37,0.5957,0.5957,0.1489
Australia,ANT,RUS,3,38,0.5812,0.5812,0.1453
Australia,ANT,RUS,3,39,0.6051,0.6051,0.1513
Australia,ANT,RUS,3,40,1.1560,1.1560,0.2890
Australia,ANT,RUS,3,41,0.9195,0.9195,0.2299
Australia,ANT,RUS,3,42,0.2910,0.2910,0.0727
Australia,ANT,RUS,3,43,-0.2418,-0.2418,-0.0605
Australia,ANT,RUS,3,44,-0.9506,-0.9506,-0.2377
Australia,ANT,RUS,3,45,-0.0650,-0.0650,-0.0163
Australia,ANT,RUS,3,46,0.5946,0.5946,0.1487
Australia,ANT,RUS,3,47,0.4041,0.4041,0.1010
Australia,ANT,RUS,3,48,-0.1225,-0.1225,-0.0306
Australia,ANT,RUS,3,49,-1.2548,-1.2548,-0.3137
Australia,ANT,RUS,3,50,-1.6041,-1.6041,-0.4010
Australia,ANT,RUS,3,51,-1.2183,-1.2183,-0.3046
Australia,ANT,RUS,3,52,-0.8336,-0.8336,-0.2084
Australia,ANT,RUS,3,53,-0.9453,-0.9453,-0.2363
Australia,ANT,RUS,5,21,0.8170,0.8170,0.1362
Australia,ANT,RUS,5,22,0.7159,0.7159,0.1193
Australia,ANT,RUS,5,23,1.6773,1.6773,0.2796
Australia,ANT,RUS,5,24,1.7186,1.7186,0.2864
Australia,ANT,RUS,5,25,0.7204,0.7204,0.1201
Australia,ANT,RUS,5,35,1.2210,1.2210,0.2035
Australia,ANT,RUS,5,36,0.6128,0.6128,0.1021
Australia,ANT,RUS,5,37,0.9430,0.9430,0.1572
Australia,ANT,RUS,5,38,1.3753,1.3753,0.2292
Australia,ANT,RUS,5,39,0.9657,0.9657,0.1609
Australia,ANT,RUS,5,40,0.6230,0.6230,0.1038
Australia,ANT,RUS,5,41,0.7597,0.7597,0.1266
Australia,ANT,RUS,5,42,0.7884,0.7884,0.1314
Australia,ANT,RUS,5,43,0.4018,0.4018,0.0670
Australia,ANT,RUS,5,44,-0.6709,-0.6709,-0.1118
Australia,ANT,RUS,5,45,-0.2580,-0.2580,-0.0430
Australia,ANT,RUS,5,46,0.1029,0.1029,0.0172
Australia,ANT,RUS,5,47,-0.4169,-0.4169,-0.0695
Australia,ANT,RUS,5,48,-0.6637,-0.6637,-0.1106
Australia,ANT,RUS,5,49,-1.2197,-1.2197,-0.2033
Australia,ANT,RUS,5,50,-1.6027,-1.6027,-0.2671
Australia,ANT,RUS,5,51,-2.2505,-2.2505,-0.3751
Australia,BEA,BOR,1,3,-0.4360,-0.4360,-0.2180
Australia,BEA,BOR,1,4,-1.8180,-1.8180,-0.9090
Australia,BEA,BOR,1,5,-2.0840,-2.0840,-1.0420
Australia,BEA,BOR,3,3,-2.5200,-2.5200,-0.6300
Australia,BEA,BOR,3,4,-1.8320,-1.8320,-0.4580
Australia,BEA,BOR,3,5,-1.3350,-1.3350,-0.3338
Australia,BEA,BOR,5,3,-1.7710,-1.7710,-0.2952
Australia,BEA,BOR,5,4,-1.5520,-1.5520,-0.2587
Australia,BEA,GAS,1,6,1.1980,1.1980,0.5990
Australia,BEA,LIN,1,22,0.1970,0.1970,0.0985
Australia,BEA,LIN,1,23,-0.0670,-0.0670,-0.0335
Australia,BEA,LIN,1,24,-0.5310,-0.5310,-0.2655
Australia,BEA,LIN,1,25,-0.1270,-0.1270,-0.0635
Australia,BEA,LIN,1,26,-0.3360,-0.3360,-0.1680
Australia,BEA,LIN,1,27,0.1400,0.1400,0.0700
Australia,BEA,LIN,1,28,0.6260,0.6260,0.3130
Australia,BEA,LIN,1,29,-0.0220,-0.0220,-0.0110
Australia,BEA,LIN,1,35,-0.3601,-0.3601,-0.1801
Australia,BEA,LIN,1,36,-0.0019,-0.0019,-0.0009
Australia,BEA,LIN,1,37,-1.0994,-1.0994,-0.5497
Australia,BEA,LIN,1,39,-1.6110,-1.6110,-0.8055
Australia,BEA,LIN,3,22,-0.0580,-0.0580,-0.0145
Australia,BEA,LIN,3,23,-0.1940,-0.1940,-0.0485
Australia,BEA,LIN,3,24,-1.1430,-1.1430,-0.2858
Australia,BEA,LIN,3,25,0.0130,0.0130,0.0032
Australia,BEA,LIN,3,26,0.2900,0.2900,0.0725
Australia,BEA,LIN,3,27,0.1180,0.1180,0.0295
Australia,BEA,LIN,3,35,-1.5002,-1.5002,-0.3751
Australia,BEA,LIN,3,36,-2.7298,-2.7298,-0.6824
Australia,BEA,LIN,3,37,-2.9069,-2.9069,-0.7267
Australia,BEA,LIN,3,39,-2.8300,-2.8300,-0.7075
Australia,BEA,LIN,5,22,-0.3940,-0.3940,-0.0657
Australia,BEA,LIN,5,23,-0.0540,-0.0540,-0.0090
Australia,BEA,LIN,5,24,-0.7930,-0.7930,-0.1322
Australia,BEA,LIN,5,25,-0.0090,-0.0090,-0.0015
Australia,BEA,LIN,5,35,-3.3483,-3.3483,-0.5581
Australia,BEA,LIN,5,36,-4.2677,-4.2677,-0.7113
Australia,BEA,LIN,5,37,-4.3223,-4.3223,-0.7204
Australia,BEA,LIN,5,39,-3.4800,-3.4800,-0.5800
Australia,BEA,NOR,1,38,4.2280,4.2280,2.1140
Australia,BEA,NOR,1,40,0.7791,0.7791,0.3895
Australia,BEA,NOR,1,41,0.8226,0.8226,0.4113
Australia,BEA,NOR,1,42,1.1540,1.1540,0.5770
Australia,BEA,NOR,1,43,0.9959,0.9959,0.4979
Australia,BEA,NOR,1,44,0.9941,0.9941,0.4971
Australia,BEA,NOR,3,38,6.5530,6.5530,1.6382
Australia,BEA,NOR,3,40,1.7981,1.7981,0.4495
Australia,BEA,NOR,3,41,1.8901,1.8901,0.4725
Australia,BEA,NOR,3,42,2.5111,2.5111,0.6278
Australia,BEA,NOR,3,43,2.9517,2.9517,0.7379
Australia,BEA,NOR,3,44,2.5353,2.5353,0.6338
Australia,BEA,NOR,5,38,9.1180,9.1180,1.5197
Australia,BEA,NOR,5,40,3.0202,3.0202,0.5034
Australia,BEA,NOR,5,41,3.9177,3.9177,0.6529
Australia,BEA,NOR,5,42,4.4151,4.4151,0.7359
Australia,BEA,NOR,5,43,4.2116,4.2116,0.7019
Australia,BEA,NOR,5,44,3.8244,3.8244,0.6374
Australia,BEA,VER,1,45,2.0734,2.0734,1.0367
Australia,BEA,VER,1,46,1.7858,1.7858,0.8929
Australia,BEA,VER,1,47,0.7768,0.7768,0.3884
Australia,BEA,VER,1,48,1.0224,1.0224,0.5112
Australia,BEA,VER,1,49,0.9750,0.9750,0.4875
Australia,BEA,VER,1,50,0.5787,0.5787,0.2893
Australia,BEA,VER,1,51,0.5007,0.5007,0.2504
Australia,BEA,VER,1,52,0.4522,0.4522,0.2261
Australia,BEA,VER,1,53,0.1596,0.1596,0.0798
Australia,BEA,VER,1,54,1.8224,1.8224,0.9112
Australia,BEA,VER,1,55,3.6684,3.6684,1.8342
Australia,BEA,VER,1,8,0.8610,0.8610,0.4305
Australia,BEA,VER,3,45,2.9759,2.9759,0.7440
Australia,BEA,VER,3,46,2.8735,2.8735,0.7184
Australia,BEA,VER,3,47,1.9857,1.9857,0.4964
Australia,BEA,VER,3,48,2.0978,2.0978,0.5244
Australia,BEA,VER,3,49,1.7651,1.7651,0.4413
Australia,BEA,VER,3,50,1.0594,1.0594,0.2648
Australia,BEA,VER,3,51,0.7234,0.7234,0.1809
Australia,BEA,VER,3,52,2.4974,2.4974,0.6244
Australia,BEA,VER,3,53,4.0201,4.0201,1.0050
Australia,BEA,VER,5,45,4.3103,4.3103,0.7184
Australia,BEA,VER,5,46,4.0143,4.0143,0.6690
Australia,BEA,VER,5,47,3.0095,3.0095,0.5016
Australia,BEA,VER,5,48,3.0751,3.0751,0.5125
Australia,BEA,VER,5,49,2.2771,2.2771,0.3795
Australia,BEA,VER,5,50,3.1331,3.1331,0.5222
Australia,BEA,VER,5,51,4.6472,4.6472,0.7745
Australia,BOR,BEA,1,22,-2.4026,-2.4026,-1.2013
Australia,BOR,BEA,1,23,-0.2226,-0.2226,-0.1113
Australia,BOR,BEA,1,24,1.4200,1.4200,0.7100
Australia,BOR,BEA,1,25,0.7490,0.7490,0.3745
Australia,BOR,BEA,1,26,0.2610,0.2610,0.1305
Australia,BOR,BEA,1,27,-0.6243,-0.6243,-0.3121
Australia,BOR,BEA,1,28,-1.0066,-1.0066,-0.5033
Australia,BOR,BEA,1,8,-0.2800,-0.2800,-0.1400
Australia,BOR,BEA,3,22,-3.1171,-3.1171,-0.7793
Australia,BOR,BEA,3,23,0.2369,0.2369,0.0592
Australia,BOR,BEA,3,24,2.6250,2.6250,0.6563
Australia,BOR,BEA,3,25,0.4720,0.4720,0.1180
Australia,BOR,BEA,3,26,-0.7190,-0.7190,-0.1798
Australia,BOR,BEA,5,22,-4.0467,-4.0467,-0.6744
Australia,BOR,BEA,5,23,-0.3297,-0.3297,-0.0549
Australia,BOR,BEA,5,24,2.5890,2.5890,0.4315
Australia,BOR,GAS,1,3,-0.9630,-0.9630,-0.4815
Australia,BOR,GAS,1,37,-0.6731,-0.6731,-0.3366
Australia,BOR,GAS,1,39,-2.2850,-2.2850,-1.1425
Australia,BOR,GAS,1,4,0.7610,0.7610,0.3805
Australia,BOR,GAS,1,5,2.1800,2.1800,1.0900
Australia,BOR,GAS,3,3,0.8290,0.8290,0.2073
Australia,BOR,GAS,3,37,-2.9581,-2.9581,-0.7395
Australia,BOR,GAS,3,39,-4.6950,-4.6950,-1.1737
Australia,BOR,GAS,3,4,1.9730,1.9730,0.4932
Australia,BOR,GAS,5,37,-5.3681,-5.3681,-0.8947
Australia,BOR,GAS,5,39,-9.9050,-9.9050,-1.6508
Australia,BOR,LIN,1,40,-2.4190,-2.4190,-1.2095
Australia,BOR,LIN,1,41,-3.3339,-3.3339,-1.6669
Australia,BOR,LIN,1,42,-2.1034,-2.1034,-1.0517
Australia,BOR,LIN,1,43,-1.5875,-1.5875,-0.7937
Australia,BOR,LIN,1,44,-1.8853,-1.8853,-0.9426
Australia,BOR,LIN,1,45,-1.2370,-1.2370,-0.6185
Australia,BOR,LIN,1,46,0.3790,0.3790,0.1895
Australia,BOR,LIN,1,47,1.2044,1.2044,0.6022
Australia,BOR,LIN,1,48,0.6537,0.6537,0.3268
Australia,BOR,LIN,1,49,1.7842,1.7842,0.8921
Australia,BOR,LIN,1,50,0.9500,0.9500,0.4750
Australia,BOR,LIN,3,40,-4.5259,-4.5259,-1.1315
Australia,BOR,LIN,3,41,-6.2417,-6.2417,-1.5604
Australia,BOR,LIN,3,42,-4.7068,-4.7068,-1.1767
Australia,BOR,LIN,3,43,-2.9150,-2.9150,-0.7287
Australia,BOR,LIN,3,44,-1.6926,-1.6926,-0.4231
Australia,BOR,LIN,3,45,-0.0751,-0.0751,-0.0188
Australia,BOR,LIN,3,46,1.1341,1.1341,0.2835
Australia,BOR,LIN,3,47,3.0189,3.0189,0.7547
Australia,BOR,LIN,3,48,1.9934,1.9934,0.4983
Australia,BOR,LIN,3,49,1.7624,1.7624,0.4406
Australia,BOR,LIN,3,50,-2.2140,-2.2140,-0.5535
Australia,BOR,LIN,5,40,-7.1329,-7.1329,-1.1888
Australia,BOR,LIN,5,41,-8.8896,-8.8896,-1.4816
Australia,BOR,LIN,5,42,-5.2322,-5.2322,-0.8720
Australia,BOR,LIN,5,43,-1.8434,-1.8434,-0.3072
Australia,BOR,LIN,5,44,-1.1238,-1.1238,-0.1873
Australia,BOR,LIN,5,45,1.6969,1.6969,0.2828
Australia,BOR,LIN,5,46,2.5751,2.5751,0.4292
Australia,BOR,LIN,5,47,2.5551,2.5551,0.4259
Australia,BOR,LIN,5,48,-0.7809,-0.7809,-0.1302
Australia,BOR,LIN,5,49,-0.2884,-0.2884,-0.0481
Australia,BOR,LIN,5,50,-1.1930,-1.1930,-0.1988
Australia,BOR,OCO,1,38,-1.8200,-1.8200,-0.9100
Australia,BOR,OCO,3,38,-3.9600,-3.9600,-0.9900
Australia,BOR,OCO,5,38,-8.2840,-8.2840,-1.3807
Australia,BOR,VER,1,6,0.7617,0.7617,0.3809
Australia,BOR,VER,1,7,0.9160,0.9160,0.4580
Australia,BOR,VER,3,6,0.9404,0.9404,0.2351
Australia,BOT,PER,1,3,-2.2300,-2.2300,-1.1150
Australia,BOT,PER,1,4,-2.5920,-2.5920,-1.2960
Australia,BOT,PER,1,5,-2.1401,-2.1401,-1.0701
Australia,BOT,PER,1,6,-1.0933,-1.0933,-0.5466
Australia,BOT,PER,1,7,0.7796,0.7796,0.3898
Australia,BOT,PER,3,3,-4.9670,-4.9670,-1.2417
Australia,BOT,PER,3,4,-5.0940,-5.0940,-1.2735
Australia,BOT,PER,3,5,-3.5122,-3.5122,-0.8781
Australia,BOT,PER,5,3,-6.9360,-6.9360,-1.1560
Australia,COL,LAW,1,21,-0.1104,-0.1104,-0.0552
Australia,COL,LAW,1,22,-1.4089,-1.4089,-0.7044
Australia,COL,LAW,1,23,-1.4058,-1.4058,-0.7029
Australia,COL,LAW,1,24,-0.0524,-0.0524,-0.0262
Australia,COL,LAW,1,25,0.5728,0.5728,0.2864
Australia,COL,LAW,1,26,0.8454,0.8454,0.4227
Australia,COL,LAW,1,27,1.8530,1.8530,0.9265
Australia,COL,LAW,1,28,1.2046,1.2046,0.6023
Australia,COL,LAW,3,21,-1.3598,-1.3598,-0.3399
Australia,COL,LAW,3,22,-1.6307,-1.6307,-0.4077
Australia,COL,LAW,3,23,-1.0495,-1.0495,-0.2624
Australia,COL,LAW,3,24,0.9712,0.9712,0.2428
Australia,COL,LAW,3,25,2.5156,2.5156,0.6289
Australia,COL,LAW,3,26,1.5889,1.5889,0.3972
Australia,COL,LAW,5,21,-0.8471,-0.8471,-0.1412
Australia,COL,LAW,5,22,-0.7766,-0.7766,-0.1294
Australia,COL,LAW,5,23,0.6767,0.6767,0.1128
Australia,COL,LAW,5,24,1.8928,1.8928,0.3155
Australia,COL,SAI,1,3,-0.4456,-0.4456,-0.2228
Australia,COL,SAI,1,4,0.6420,0.6420,0.3210
Australia,GAS,BEA,1,35,2.0470,2.0470,1.0235
Australia,GAS,BEA,1,36,2.4689,2.4689,1.2344
Australia,GAS,BEA,1,38,-0.9760,-0.9760,-0.4880
Australia,GAS,BEA,1,39,-1.2293,-1.2293,-0.6147
Australia,GAS,BEA,3,35,3.1920,3.1920,0.7980
Australia,GAS,BEA,3,36,1.7568,1.7568,0.4392
Australia,GAS,BEA,3,38,-0.9589,-0.9589,-0.2397
Australia,GAS,BEA,3,39,-1.0686,-1.0686,-0.2672
Australia,GAS,BEA,5,35,2.2410,2.2410,0.3735
Australia,GAS,BEA,5,36,2.0377,2.0377,0.3396
Australia,GAS,BEA,5,38,-0.7439,-0.7439,-0.1240
Australia,GAS,BEA,5,39,1.7491,1.7491,0.2915
Australia,GAS,BOR,1,22,0.7848,0.7848,0.3924
Australia,GAS,BOR,1,23,0.5849,0.5849,0.2924
Australia,GAS,BOR,1,24,-0.6199,-0.6199,-0.3099
