pop,gara,drv,L,residuo_reinfl,dentro_pitwindow
pit,Australia,COL,8,10.6650,0
pit,Australia,HAM,27,3.8677,1
pit,Australia,LEC,24,2.2134,1
pit,Australia,VER,40,2.9449,0
pit,Austria,ALB,17,-0.3090,1
pit,Austria,BOR,16,0.0928,1
pit,Austria,BOR,43,0.9791,1
pit,Austria,COL,19,0.8051,1
pit,Austria,GAS,12,-0.4822,0
pit,Austria,GAS,37,0.4903,1
pit,Austria,HAD,17,-1.2609,1
pit,Austria,HAD,39,-1.7602,1
pit,Austria,HAM,11,0.7410,0
pit,Austria,HAM,41,0.0781,1
pit,Austria,HUL,20,-1.7827,1
pit,Austria,HUL,44,0.3713,1
pit,Austria,LAW,18,1.2658,1
pit,Austria,LAW,44,0.8268,1
pit,Austria,LEC,12,0.4883,0
pit,Austria,LEC,36,1.6804,1
pit,Austria,LEC,58,3.9668,0
pit,Austria,LIN,17,-0.9292,1
pit,Austria,LIN,45,1.5014,1
pit,Austria,NOR,20,1.0318,1
pit,Austria,NOR,46,1.1198,0
pit,Austria,OCO,17,0.6536,1
pit,Austria,OCO,32,4.8525,1
pit,Austria,PIA,18,0.5218,1
pit,Austria,PIA,41,0.1551,1
pit,Austria,RUS,18,0.2988,1
pit,Austria,RUS,42,-0.0179,1
pit,Austria,SAI,13,0.0408,1
pit,Austria,VER,17,-1.0335,1
pit,Austria,VER,48,0.3899,0
pit,Canada,BOR,17,-0.9220,1
pit,Canada,BOT,8,0.0347,0
pit,Canada,HAD,61,8.2885,0
pit,Canada,HUL,19,3.2172,1
pit,Canada,NOR,14,2.1878,1
pit,Canada,OCO,15,-1.1326,1
pit,Canada,PER,14,-1.2668,1
pit,Canada,PIA,11,9.7874,1
pit,Canada,STR,13,-3.5795,1
pit,Cina,COL,31,7.9979,1
pit,Cina,HUL,34,18.2229,1
pit,Cina,LIN,41,1.8531,0
pit,Cina,OCO,28,4.4481,0
pit,Giappone,BEA,15,-0.4920,1
pit,Giappone,BOT,18,1.8687,1
pit,Giappone,COL,16,-0.4033,1
pit,Giappone,HAD,18,-2.6239,1
pit,Giappone,LEC,16,-1.7449,1
pit,Giappone,LIN,17,1.6674,1
pit,Giappone,NOR,15,-0.9096,1
pit,Giappone,OCO,18,0.1779,1
pit,Giappone,PIA,17,-0.9454,1
pit,Gran Bretagna,ANT,34,-8.7225,0
pit,Gran Bretagna,ANT,40,22.1431,0
pit,Gran Bretagna,BEA,28,-8.4011,1
pit,Gran Bretagna,BOR,25,-9.6419,1
pit,Gran Bretagna,HAD,18,-7.7209,1
pit,Gran Bretagna,HUL,16,-10.0151,0
pit,Gran Bretagna,HUL,33,-2.9985,1
pit,Gran Bretagna,LAW,27,-9.6319,1
pit,Gran Bretagna,LEC,24,-9.1498,1
pit,Gran Bretagna,LIN,26,-9.5145,1
pit,Gran Bretagna,NOR,27,-8.8245,1
pit,Gran Bretagna,RUS,33,-8.7812,1
pit,Gran Bretagna,STR,17,-10.1789,1
pit,Gran Bretagna,VER,16,-10.0845,0
pit,Miami,ALB,26,-4.3967,1
pit,Miami,ANT,25,-4.4828,1
pit,Miami,BEA,25,-3.8220,1
pit,Miami,BOR,31,-2.9937,0
pit,Miami,BOT,20,-0.5103,1
pit,Miami,BOT,29,-4.0406,1
pit,Miami,COL,30,-2.0553,1
pit,Miami,HAM,26,-2.6308,1
pit,Miami,LEC,20,-1.9077,1
pit,Miami,LIN,27,-3.7444,1
pit,Miami,NOR,26,-2.0750,1
pit,Miami,OCO,30,-2.0091,1
pit,Miami,PER,28,-2.4005,1
pit,Miami,PIA,27,-2.4375,1
pit,Miami,RUS,19,-4.3468,0
pit,Miami,SAI,27,-2.9413,1
pit,Miami,STR,20,-3.3676,1
pit,Monaco,ANT,36,-1.5572,1
pit,Monaco,GAS,44,0.6531,0
pit,Monaco,HAD,31,0.5022,1
pit,Monaco,HAM,27,-3.0513,1
pit,Monaco,HUL,11,-9.0797,1
pit,Monaco,LEC,34,1.8978,1
pit,Monaco,OCO,8,-5.4444,1
pit,Monaco,PER,3,-5.5177,0
pit,Monaco,PER,8,-8.3656,1
pit,Monaco,PIA,47,0.1290,0
pit,Monaco,RUS,30,-4.5768,1
pit,Monaco,STR,3,-6.2447,0
pit,Spagna,ALB,12,2.1725,1
pit,Spagna,ALO,20,2.7236,1
pit,Spagna,ANT,13,-0.9827,1
pit,Spagna,ANT,36,-0.8096,0
pit,Spagna,BEA,17,1.8461,1
pit,Spagna,BOR,14,0.2354,1
pit,Spagna,COL,11,0.4491,1
pit,Spagna,COL,33,0.2208,1
pit,Spagna,GAS,13,-0.6851,1
pit,Spagna,HAD,14,-0.7102,1
pit,Spagna,HAD,31,0.4848,1
pit,Spagna,HAD,57,2.0342,0
pit,Spagna,HAM,10,0.8755,0
pit,Spagna,HAM,26,0.1463,1
pit,Spagna,HUL,12,2.4795,1
pit,Spagna,LAW,10,4.0335,0
pit,Spagna,LAW,34,2.1093,1
pit,Spagna,LEC,15,0.8072,1
pit,Spagna,LIN,21,1.4601,1
pit,Spagna,NOR,12,-0.0865,1
pit,Spagna,NOR,34,0.9740,1
pit,Spagna,OCO,12,2.0935,1
pit,Spagna,PER,11,3.7570,1
pit,Spagna,PIA,13,1.0414,1
pit,Spagna,PIA,35,2.1460,1
pit,Spagna,RUS,11,1.1740,1
pit,Spagna,RUS,35,0.0550,1
pit,Spagna,SAI,13,1.4639,1
pit,Spagna,SAI,29,2.5813,1
pit,Spagna,VER,11,0.9759,1
pit,Spagna,VER,28,2.4158,1
ctrl,Australia,ALB,21,0.6282,1
ctrl,Australia,ALB,22,0.7206,1
ctrl,Australia,ALB,23,0.8513,1
