gara,drv,L,residuo_reinfl,pitloss,gap_rejoin,warmin_out,dpace,rival_inlap
Australia,COL,8,10.6650,18.15,5.6718,-0.1620,0.8980,22.3675
Australia,HAM,27,3.8677,18.15,10.2254,-0.1620,-0.9487,0.0000
Australia,LEC,24,2.2134,18.15,7.6124,-0.1620,-1.2206,0.0000
Australia,VER,40,2.9449,18.15,0.9941,-0.1620,-1.2397,0.0000
Austria,ALB,17,-0.3090,21.63,6.4253,0.3330,1.4374,0.0000
Austria,BOR,16,0.0928,21.63,1.9195,0.3330,0.1905,6.7247
Austria,BOR,43,0.9791,21.63,11.9123,-0.1620,0.0000,6.7724
Austria,COL,19,0.8051,21.63,4.2947,-0.1620,1.1676,0.0000
Austria,GAS,12,-0.4822,21.63,5.4425,-0.1620,0.5800,0.0000
Austria,GAS,37,0.4903,21.63,8.0225,0.3330,0.3084,0.0000
Austria,HAD,17,-1.2609,21.63,3.0743,0.3330,-0.4096,0.0000
Austria,HAD,39,-1.7602,21.63,20.3380,-0.1620,-0.4876,6.4186
Austria,HAM,11,0.7410,21.63,3.6432,-0.1620,-1.5665,0.0000
Austria,HAM,41,0.0781,21.63,3.1077,-0.1620,-1.0216,6.3330
Austria,HUL,20,-1.7827,21.63,2.8120,0.3330,0.5560,0.0000
Austria,HUL,44,0.3713,21.63,2.9762,-0.1620,-0.0819,7.1100
Austria,LAW,18,1.2658,21.63,1.1190,-0.1620,0.0000,0.0000
Austria,LAW,44,0.8268,21.63,6.1895,0.3330,0.1419,6.3704
Austria,LEC,12,0.4883,21.63,5.2615,-0.1620,-0.9958,7.8686
Austria,LEC,36,1.6804,21.63,14.7689,-0.1620,-0.5927,0.0000
Austria,LEC,58,3.9668,21.63,21.3520,0.0910,-0.4684,0.0000
Austria,LIN,17,-0.9292,21.63,2.4878,-0.1620,0.0920,0.0000
Austria,LIN,45,1.5014,21.63,1.8634,0.3330,0.0000,0.0000
Austria,NOR,20,1.0318,21.63,10.7325,-0.1620,-0.9238,0.0000
Austria,NOR,46,1.1198,21.63,8.5604,-0.1620,0.0000,0.0000
Austria,OCO,17,0.6536,21.63,2.5238,0.3330,1.3376,0.0000
Austria,OCO,32,4.8525,21.63,14.3858,-0.1620,0.8631,0.0000
Austria,PIA,18,0.5218,21.63,1.8795,-0.1620,-0.4885,6.6068
Austria,PIA,41,0.1551,21.63,1.9077,-0.1620,-0.9747,0.0000
Austria,RUS,18,0.2988,21.63,4.2425,-0.1620,-1.1925,0.0000
Austria,RUS,42,-0.0179,21.63,0.7425,-0.1620,-1.1480,0.0000
Austria,SAI,13,0.0408,21.63,8.3485,0.3330,0.6529,0.0000
Austria,VER,17,-1.0335,21.63,0.3843,-0.1620,-0.9964,7.2663
Austria,VER,48,0.3899,21.63,10.2056,-0.1620,0.0000,0.0000
Canada,BOR,17,-0.9220,24.37,13.0928,0.3330,0.1481,19.3262
Canada,BOT,8,0.0347,24.37,42.9081,0.3330,1.3786,0.0000
Canada,HAD,61,8.2885,24.37,37.1369,0.0910,-1.0881,0.0000
Canada,HUL,19,3.2172,24.37,8.2951,0.3330,0.0000,0.0000
Canada,NOR,14,2.1878,24.37,1.2005,0.3330,-0.4890,0.0000
Canada,OCO,15,-1.1326,24.37,18.7118,0.3330,1.4929,0.0000
Canada,PER,14,-1.2668,24.37,2.7675,0.3330,0.4528,0.0000
Canada,PIA,11,9.7874,24.37,2.6204,0.3330,-0.8756,0.0000
Canada,STR,13,-3.5795,24.37,29.0728,0.0910,2.3529,19.9561
Cina,COL,31,7.9979,22.97,1.2989,0.3330,-0.0399,0.0000
Cina,HUL,34,18.2229,22.97,2.8494,0.3330,0.2574,0.0000
Cina,LIN,41,1.8531,22.97,10.5526,0.3330,0.9008,0.0000
Cina,OCO,28,4.4481,22.97,1.6246,0.3330,-0.0714,0.0000
Giappone,BEA,15,-0.4920,23.72,4.1382,-0.1620,0.1662,0.0000
Giappone,BOT,18,1.8687,23.72,34.1028,0.3330,2.0527,23.0746
Giappone,COL,16,-0.4033,23.72,0.8554,-0.1620,0.0003,0.0000
Giappone,HAD,18,-2.6239,23.72,12.3175,-0.1620,0.0310,4.8918
Giappone,LEC,16,-1.7449,23.72,8.9680,-0.1620,-1.4186,0.0000
Giappone,LIN,17,1.6674,23.72,11.8914,-0.1620,0.0120,4.9266
Giappone,NOR,15,-0.9096,23.72,2.2214,-0.1620,-1.4564,4.6244
Giappone,OCO,18,0.1779,23.72,7.6857,-0.1620,-0.3089,0.0000
Giappone,PIA,17,-0.9454,23.72,2.3950,-0.1620,-1.7226,0.0000
Gran Bretagna,ANT,34,-8.7225,29.12,16.6145,-0.1620,-1.1873,0.0000
Gran Bretagna,ANT,40,22.1431,29.12,9.1320,0.3330,-2.6003,0.0000
Gran Bretagna,BEA,28,-8.4011,29.12,3.2041,-0.1620,1.3611,0.0000
Gran Bretagna,BOR,25,-9.6419,29.12,31.5672,-0.1620,-0.0294,0.9100
Gran Bretagna,HAD,18,-7.7209,29.12,7.8714,-0.1620,-1.0492,0.0000
