gara,drv,k,freeze_L,pit_P,compound_out,pitloss,residuo,gap_rejoin_sim,dpace_prepit,cambio_davanti
Australia,COL,1,45,46,SOFT,18.15,6.3992,36.0126,1.0403,0
Australia,COL,1,8,9,HARD,18.15,15.7857,5.6718,0.8980,1
Australia,COL,3,45,46,SOFT,18.15,3.9133,38.0931,1.0403,0
Australia,COL,5,45,46,SOFT,18.15,4.5965,40.1737,1.0403,0
Australia,HAM,1,27,28,HARD,18.15,7.0229,10.2254,-0.9487,1
Australia,HAM,3,27,28,HARD,18.15,10.0857,10.9778,-0.9487,1
Australia,LEC,1,24,25,HARD,18.15,5.6789,7.6124,-1.2206,1
Australia,LEC,3,24,25,HARD,18.15,8.5518,8.8358,-1.2206,1
Australia,LEC,5,24,25,HARD,18.15,11.2427,10.0591,-1.2206,1
Australia,PER,1,42,43,SOFT,18.15,6.9273,73.5557,3.4655,0
Australia,PER,3,42,43,SOFT,18.15,7.9427,77.2284,3.4655,0
Australia,PER,5,42,43,SOFT,18.15,6.7700,80.9012,3.4655,0
Australia,SAI,1,44,45,SOFT,18.15,20.5952,19.5398,1.2553,0
Australia,SAI,3,44,45,SOFT,18.15,32.5463,20.0476,1.2553,0
Australia,SAI,5,44,45,SOFT,18.15,30.8335,20.5554,1.2553,0
Australia,STR,1,25,26,SOFT,18.15,27.0976,29.7101,2.9422,0
Australia,STR,1,38,39,SOFT,18.15,10.3469,1142.5080,2.0761,0
Australia,STR,3,25,26,SOFT,18.15,28.1032,29.9132,2.9422,0
Australia,STR,3,38,39,SOFT,18.15,11.1337,1140.9860,2.0761,0
Australia,STR,5,25,26,SOFT,18.15,30.7738,30.1163,2.9422,0
Australia,VER,1,40,41,HARD,18.15,4.7553,0.9941,-1.2397,1
Australia,VER,3,40,41,HARD,18.15,4.6927,0.9941,-1.2397,1
Australia,VER,5,40,41,HARD,18.15,5.2821,0.9941,-1.2397,1
Austria,ALB,1,17,18,MEDIUM,21.63,4.2122,6.4253,1.4374,1
Austria,ALB,1,36,37,HARD,21.63,3.5273,29.3740,1.5486,0
Austria,ALB,3,17,18,MEDIUM,21.63,6.7573,5.2406,1.4374,1
Austria,ALB,3,36,37,HARD,21.63,5.9105,31.2150,1.5486,0
Austria,ALB,5,17,18,MEDIUM,21.63,9.8335,4.0559,1.4374,1
Austria,ALB,5,36,37,HARD,21.63,7.8068,33.0560,1.5486,0
Austria,BEA,1,44,45,MEDIUM,21.63,2.6950,12.2112,0.4550,1
Austria,BEA,3,44,45,MEDIUM,21.63,4.2220,11.3045,0.4550,1
Austria,BEA,5,44,45,MEDIUM,21.63,6.7720,10.3977,0.4550,1
Austria,BOR,1,16,17,MEDIUM,21.63,4.6985,1.9195,0.1905,1
Austria,BOR,1,43,44,HARD,21.63,3.3030,11.9123,0.0000,1
Austria,BOR,3,16,17,MEDIUM,21.63,6.7747,0.9072,0.1905,1
Austria,BOR,3,43,44,HARD,21.63,4.9761,12.1516,0.0000,1
Austria,BOR,5,16,17,MEDIUM,21.63,8.0541,0.9072,0.1905,1
Austria,BOR,5,43,44,HARD,21.63,6.8201,12.3908,0.0000,1
Austria,COL,1,19,20,HARD,21.63,5.1572,4.2947,1.1676,1
Austria,COL,1,45,46,MEDIUM,21.63,2.5617,1.8555,0.9173,1
Austria,COL,3,19,20,HARD,21.63,7.3894,2.4835,1.1676,1
Austria,COL,3,45,46,MEDIUM,21.63,2.2185,2.3239,0.9173,1
Austria,GAS,1,12,13,HARD,21.63,4.4615,5.4425,0.5800,1
Austria,GAS,1,37,38,MEDIUM,21.63,3.3213,8.0225,0.3084,1
Austria,GAS,3,12,13,HARD,21.63,7.1759,3.4740,0.5800,1
Austria,GAS,3,37,38,MEDIUM,21.63,5.4346,7.6300,0.3084,1
Austria,GAS,5,12,13,HARD,21.63,9.8424,1.5055,0.5800,1
Austria,GAS,5,37,38,MEDIUM,21.63,8.0519,7.2374,0.3084,1
