circuito,regime,n_giri,mediana_laptime,mediana_verde,R_lap
melbourne,SC_REGIME,167,132.043,83.584,1.58
melbourne,VSC_REGIME,76,105.097,83.584,1.257
melbourne,SC_DEPLOY,78,101.404,83.584,1.213
melbourne,SC_RESTART,64,127.321,83.584,1.523
melbourne,VSC_DEPLOY,91,85.908,83.584,1.028
melbourne,VSC_RESTART,87,88.479,83.584,1.059
melbourne,RED,10,99.084,83.584,1.185
melbourne,VERDE,2954,83.584,83.584,1.0
shanghai,SC_REGIME,135,141.655,98.77,1.434
shanghai,VSC_REGIME,15,133.883,98.77,1.355
shanghai,SC_DEPLOY,6,113.474,98.77,1.149
shanghai,SC_RESTART,35,144.001,98.77,1.458
shanghai,VSC_DEPLOY,16,117.578,98.77,1.19
shanghai,VSC_RESTART,0,,98.77,
shanghai,RED,0,,98.77,
shanghai,VERDE,2626,98.77,98.77,1.0
suzuka,SC_REGIME,111,148.043,95.989,1.542
suzuka,VSC_REGIME,0,,95.989,
suzuka,SC_DEPLOY,32,111.571,95.989,1.162
suzuka,SC_RESTART,41,146.237,95.989,1.523
suzuka,VSC_DEPLOY,15,103.153,95.989,1.075
suzuka,VSC_RESTART,15,112.044,95.989,1.167
suzuka,RED,0,,95.989,
suzuka,VERDE,3444,95.989,95.989,1.0
miami,SC_REGIME,132,135.418,93.075,1.455
miami,VSC_REGIME,27,120.032,93.075,1.29
miami,SC_DEPLOY,30,97.201,93.075,1.044
miami,SC_RESTART,33,142.406,93.075,1.53
miami,VSC_DEPLOY,66,101.226,93.075,1.088
miami,VSC_RESTART,66,99.077,93.075,1.064
miami,RED,0,,93.075,
miami,VERDE,3750,93.075,93.075,1.0
montreal,SC_REGIME,146,114.288,77.554,1.474
montreal,VSC_REGIME,107,80.912,77.554,1.043
montreal,SC_DEPLOY,46,86.738,77.554,1.118
montreal,SC_RESTART,52,128.472,77.554,1.657
montreal,VSC_DEPLOY,66,77.01,77.554,0.993
montreal,VSC_RESTART,64,80.154,77.554,1.034
montreal,RED,0,,77.554,
montreal,VERDE,4302,77.554,77.554,1.0
monaco,SC_REGIME,86,87.297,78.784,1.108
monaco,VSC_REGIME,36,108.964,78.784,1.383
monaco,SC_DEPLOY,17,78.095,78.784,0.991
monaco,SC_RESTART,16,159.127,78.784,2.02
monaco,VSC_DEPLOY,16,90.225,78.784,1.145
monaco,VSC_RESTART,20,96.525,78.784,1.225
monaco,RED,0,,78.784,
monaco,VERDE,5067,78.784,78.784,1.0
catalunya,SC_REGIME,61,118.835,81.085,1.466
catalunya,VSC_REGIME,85,97.018,81.085,1.196
catalunya,SC_DEPLOY,13,87.674,81.085,1.081
catalunya,SC_RESTART,17,114.878,81.085,1.417
catalunya,VSC_DEPLOY,31,83.072,81.085,1.025
catalunya,VSC_RESTART,27,83.474,81.085,1.029
catalunya,RED,0,,81.085,
catalunya,VERDE,4441,81.085,81.085,1.0
spielberg,SC_REGIME,16,109.077,71.155,1.533
spielberg,VSC_REGIME,55,86.845,71.155,1.221
spielberg,SC_DEPLOY,34,97.431,71.155,1.369
spielberg,SC_RESTART,16,106.536,71.155,1.497
spielberg,VSC_DEPLOY,60,73.369,71.155,1.031
spielberg,VSC_RESTART,70,73.793,71.155,1.037
spielberg,RED,0,,71.155,
spielberg,VERDE,4580,71.155,71.155,1.0
silverstone,SC_REGIME,227,143.969,94.17,1.529
silverstone,VSC_REGIME,102,121.049,94.17,1.285
silverstone,SC_DEPLOY,32,104.703,94.17,1.112
silverstone,SC_RESTART,50,140.495,94.17,1.492
silverstone,VSC_DEPLOY,61,99.886,94.17,1.061
silverstone,VSC_RESTART,53,104.865,94.17,1.114
silverstone,RED,0,,94.17,
silverstone,VERDE,2973,94.17,94.17,1.0
spa-francorchamps,SC_REGIME,40,172.486,110.819,1.556
spa-francorchamps,VSC_REGIME,45,123.589,110.819,1.115
spa-francorchamps,SC_DEPLOY,0,,110.819,
spa-francorchamps,SC_RESTART,23,171.923,110.819,1.551
spa-francorchamps,VSC_DEPLOY,16,112.065,110.819,1.011
spa-francorchamps,VSC_RESTART,13,113.416,110.819,1.023
spa-francorchamps,RED,0,,110.819,
spa-francorchamps,VERDE,2926,110.819,110.819,1.0
