anno,circuito,compound,drv,stint,n_usable,persistenza,coda_reale,climatologia,err_pers,err_clim
2025,Abu Dhabi,HARD,ALO,2,32,-0.1123,0.3099,0.0429,0.4222,0.2670
2025,Abu Dhabi,HARD,COL,2,19,0.0249,0.1252,0.0429,0.1003,0.0823
2025,Abu Dhabi,MEDIUM,COL,3,15,0.1348,0.3914,0.0328,0.2566,0.3586
2025,Abu Dhabi,HARD,GAS,2,20,-0.0128,-0.0807,0.0429,0.0679,0.1236
2025,Abu Dhabi,MEDIUM,GAS,3,15,0.2386,0.1242,0.0328,0.1144,0.0914
2025,Abu Dhabi,HARD,HAD,2,22,0.0141,0.2349,0.0429,0.2208,0.1920
2025,Abu Dhabi,HARD,LAW,2,28,-0.0345,-0.6310,0.0429,0.5965,0.6739
2025,Abu Dhabi,MEDIUM,LEC,3,17,0.4887,-0.1151,0.0328,0.6038,0.1479
2025,Abu Dhabi,HARD,NOR,2,19,0.1703,0.1355,0.0429,0.0348,0.0926
2025,Abu Dhabi,HARD,NOR,3,16,0.1654,0.4392,0.0429,0.2737,0.3963
2025,Abu Dhabi,HARD,PIA,1,29,0.0909,0.1109,0.0429,0.0200,0.0680
2025,Abu Dhabi,MEDIUM,PIA,2,15,0.1173,0.0697,0.0328,0.0476,0.0368
2025,Abu Dhabi,HARD,RUS,2,35,0.0241,0.0282,0.0429,0.0041,0.0147
2025,Abu Dhabi,HARD,STR,1,20,-0.0138,0.0782,0.0429,0.0920,0.0353
2025,Abu Dhabi,MEDIUM,VER,1,20,-0.0015,-0.0817,0.0328,0.0802,0.1146
2025,Abu Dhabi,HARD,VER,2,31,0.1898,0.0580,0.0429,0.1318,0.0151
2025,Austrian,MEDIUM,BEA,3,21,-0.5054,-0.0539,0.0328,0.4515,0.0867
2025,Austrian,MEDIUM,BOR,2,18,0.0129,0.0338,0.0328,0.0209,0.0010
2025,Austrian,HARD,COL,3,20,-0.3359,-0.3847,0.0429,0.0488,0.4276
2025,Austrian,MEDIUM,GAS,3,24,-0.0150,-0.0440,0.0328,0.0290,0.0768
2025,Austrian,HARD,HAD,3,31,-0.2323,-0.0926,0.0429,0.1396,0.1355
2025,Austrian,MEDIUM,HAM,1,18,-0.0681,-0.0479,0.0328,0.0202,0.0808
2025,Austrian,HARD,HAM,2,20,0.1641,0.1177,0.0429,0.0464,0.0748
2025,Austrian,MEDIUM,HAM,3,18,-0.0577,-0.0261,0.0328,0.0316,0.0589
2025,Austrian,MEDIUM,HUL,2,13,-0.1030,0.0261,0.0328,0.1292,0.0067
2025,Austrian,MEDIUM,HUL,3,22,0.4757,0.1510,0.0328,0.3247,0.1182
2025,Austrian,HARD,LAW,2,31,0.0175,0.0744,0.0429,0.0569,0.0315
2025,Austrian,MEDIUM,LEC,1,19,-0.0755,0.0020,0.0328,0.0776,0.0308
2025,Austrian,HARD,LEC,2,20,0.1799,0.0297,0.0429,0.1502,0.0132
2025,Austrian,MEDIUM,LEC,3,19,0.1870,-0.1206,0.0328,0.3076,0.1535
2025,Austrian,MEDIUM,NOR,1,16,0.3366,-0.1707,0.0328,0.5073,0.2036
2025,Austrian,HARD,NOR,2,28,-0.0003,0.0694,0.0429,0.0698,0.0265
2025,Austrian,MEDIUM,NOR,3,16,0.2067,0.1661,0.0328,0.0407,0.1332
2025,Austrian,HARD,OCO,2,18,-0.0199,-0.0216,0.0429,0.0017,0.0645
2025,Austrian,HARD,OCO,3,16,-0.2472,-0.0681,0.0429,0.1791,0.1110
2025,Austrian,HARD,PIA,2,25,-0.1070,-0.1570,0.0429,0.0500,0.1999
2025,Austrian,MEDIUM,RUS,2,19,0.1041,0.0570,0.0328,0.0471,0.0241
2025,Austrian,HARD,RUS,3,18,0.0800,-0.2429,0.0429,0.3229,0.2858
2025,Austrian,HARD,STR,2,21,-0.1466,-0.0140,0.0429,0.1326,0.0569
2025,Austrian,MEDIUM,TSU,3,24,-0.3636,-0.2228,0.0328,0.1408,0.2557
2025,Azerbaijan,HARD,ALB,3,15,0.0242,-0.0843,0.0429,0.1085,0.1272
2025,Azerbaijan,HARD,ALO,2,18,-0.2951,0.0666,0.0429,0.3617,0.0237
2025,Azerbaijan,HARD,ANT,2,16,-0.0440,0.1460,0.0429,0.1899,0.1031
2025,Azerbaijan,MEDIUM,BEA,2,15,-0.1429,0.2146,0.0328,0.3575,0.1817
2025,Azerbaijan,HARD,BOR,1,14,0.1752,0.0482,0.0429,0.1270,0.0053
2025,Azerbaijan,MEDIUM,BOR,2,15,0.0616,0.1667,0.0328,0.1051,0.1339
2025,Azerbaijan,HARD,COL,2,31,0.0986,0.0710,0.0429,0.0276,0.0281
2025,Azerbaijan,HARD,GAS,1,14,0.1465,0.0749,0.0429,0.0716,0.0320
2025,Azerbaijan,MEDIUM,HAD,1,16,-0.0030,-0.0607,0.0328,0.0578,0.0936
2025,Azerbaijan,HARD,HAD,2,21,-0.0401,0.0033,0.0429,0.0435,0.0396
2025,Azerbaijan,HARD,HAM,1,18,0.0455,0.1402,0.0429,0.0946,0.0973
2025,Azerbaijan,HARD,LAW,2,27,-0.0113,0.0441,0.0429,0.0555,0.0012
2025,Azerbaijan,HARD,OCO,3,18,0.0278,0.0697,0.0429,0.0419,0.0268
2025,Azerbaijan,HARD,RUS,1,20,0.0344,0.0515,0.0429,0.0171,0.0086
2025,Azerbaijan,MEDIUM,SAI,1,15,0.1071,0.0510,0.0328,0.0561,0.0181
2025,Azerbaijan,HARD,SAI,2,21,-0.1073,0.1790,0.0429,0.2864,0.1361
2025,Azerbaijan,MEDIUM,STR,1,18,0.0451,0.0886,0.0328,0.0436,0.0558
2025,Azerbaijan,HARD,TSU,1,24,0.0758,-0.0076,0.0429,0.0834,0.0505
2025,Azerbaijan,HARD,VER,1,32,0.0611,0.0859,0.0429,0.0248,0.0430
2025,Bahrain,HARD,GAS,3,14,0.0795,-0.0844,0.0429,0.1639,0.1273
2025,Bahrain,MEDIUM,HAD,2,15,0.0651,-0.2001,0.0328,0.2652,0.2330
2025,Bahrain,HARD,HAD,3,15,0.0206,-0.0727,0.0429,0.0933,0.1156
2025,Bahrain,HARD,HAM,3,17,0.1868,-0.0378,0.0429,0.2245,0.0807
2025,Bahrain,MEDIUM,HUL,2,15,-0.0780,-0.0109,0.0328,0.0671,0.0437
2025,Bahrain,HARD,OCO,3,20,0.1366,0.1047,0.0429,0.0320,0.0618
2025,Bahrain,MEDIUM,PIA,2,14,0.0689,0.0231,0.0328,0.0459,0.0098
2025,Bahrain,MEDIUM,PIA,3,22,-0.2033,0.0157,0.0328,0.2190,0.0172
2025,Bahrain,MEDIUM,RUS,2,16,0.0961,0.0240,0.0328,0.0720,0.0088
2025,Bahrain,SOFT,RUS,3,16,0.0739,0.0695,0.0794,0.0044,0.0099
2025,Bahrain,HARD,STR,3,14,0.6235,0.1233,0.0429,0.5001,0.0804
2025,Belgian,MEDIUM,ALB,2,23,-0.0169,0.1092,0.0328,0.1260,0.0763
2025,Belgian,MEDIUM,BOR,2,15,0.1106,0.0618,0.0328,0.0488,0.0290
2025,Belgian,MEDIUM,GAS,2,29,0.0341,0.1057,0.0328,0.0717,0.0729
2025,Belgian,HARD,HAD,3,20,0.4604,-0.4507,0.0429,0.9111,0.4936
2025,Belgian,MEDIUM,LAW,2,30,0.0676,0.1456,0.0328,0.0780,0.1127
2025,Belgian,MEDIUM,LEC,2,30,-0.0945,0.2866,0.0328,0.3811,0.2538
2025,Belgian,HARD,NOR,2,29,-0.0416,0.2910,0.0429,0.3327,0.2481
2025,Belgian,MEDIUM,OCO,2,29,-0.0368,0.0010,0.0328,0.0378,0.0319
2025,Belgian,MEDIUM,PIA,2,30,0.0670,0.3044,0.0328,0.2373,0.2715
2025,Belgian,MEDIUM,RUS,2,25,-0.0579,0.0422,0.0328,0.1001,0.0093
2025,Belgian,MEDIUM,STR,2,22,0.1131,0.0836,0.0328,0.0295,0.0507
2025,Belgian,MEDIUM,VER,2,16,0.0224,0.0591,0.0328,0.0367,0.0262
2025,Canadian,HARD,ALO,2,15,-0.1129,0.2800,0.0429,0.3929,0.2371
2025,Canadian,HARD,ANT,2,20,0.0269,0.0989,0.0429,0.0720,0.0560
2025,Canadian,HARD,BEA,2,15,-0.2744,-0.1766,0.0429,0.0978,0.2195
2025,Canadian,HARD,BOR,1,22,-0.0252,-0.0800,0.0429,0.0548,0.1229
2025,Canadian,HARD,COL,2,16,-0.1765,-0.0409,0.0429,0.1356,0.0838
2025,Canadian,HARD,HAM,2,25,0.0810,0.2262,0.0429,0.1452,0.1833
2025,Canadian,HARD,HAM,3,17,0.1167,-0.1176,0.0429,0.2343,0.1605
2025,Canadian,HARD,HUL,2,19,-0.0143,-0.1085,0.0429,0.0943,0.1514
2025,Canadian,HARD,LEC,1,21,0.0188,0.0072,0.0429,0.0116,0.0357
2025,Canadian,HARD,LEC,2,20,0.2006,-0.0174,0.0429,0.2179,0.0603
2025,Canadian,HARD,NOR,1,16,0.0904,0.0718,0.0429,0.0186,0.0289
2025,Canadian,MEDIUM,NOR,2,15,-0.0243,0.1548,0.0328,0.1791,0.1220
2025,Canadian,HARD,OCO,1,32,-0.0073,0.0623,0.0429,0.0695,0.0194
2025,Canadian,HARD,PIA,2,26,0.0556,0.0584,0.0429,0.0028,0.0155
2025,Canadian,HARD,RUS,2,21,0.0655,0.0321,0.0429,0.0334,0.0108
2025,Canadian,HARD,RUS,3,17,-0.1091,0.1281,0.0429,0.2372,0.0852
2025,Canadian,HARD,SAI,1,24,0.0231,0.1275,0.0429,0.1044,0.0846
2025,Canadian,HARD,TSU,1,32,0.0817,-0.0259,0.0429,0.1076,0.0688
2025,Canadian,HARD,VER,2,13,0.2288,0.0689,0.0429,0.1599,0.0260
2025,Canadian,HARD,VER,3,21,-0.0313,0.0854,0.0429,0.1167,0.0425
2025,Chinese,HARD,ALB,2,33,0.0027,0.0812,0.0429,0.0785,0.0383
2025,Chinese,HARD,ANT,2,36,-0.0293,-0.0265,0.0429,0.0028,0.0694
2025,Chinese,MEDIUM,BEA,2,19,0.0373,0.1002,0.0328,0.0629,0.0674
2025,Chinese,HARD,BOR,2,21,0.1891,-0.0231,0.0429,0.2123,0.0660
2025,Chinese,HARD,BOR,3,24,0.3171,-0.1177,0.0429,0.4348,0.1606
2025,Chinese,HARD,DOO,2,21,0.0769,0.2424,0.0429,0.1655,0.1995
2025,Chinese,HARD,GAS,2,33,0.0675,0.0870,0.0429,0.0195,0.0441
2025,Chinese,HARD,HAM,2,16,0.0599,0.0109,0.0429,0.0489,0.0320
2025,Chinese,HARD,HAM,3,17,-0.0980,0.0834,0.0429,0.1813,0.0405
2025,Chinese,HARD,HUL,2,30,-0.1152,0.3645,0.0429,0.4797,0.3216
2025,Chinese,HARD,LAW,3,20,0.0662,0.0310,0.0429,0.0352,0.0119
2025,Chinese,HARD,LEC,2,25,0.0414,0.2050,0.0429,0.1636,0.1621
