stagione,era,gara,tipo_pista,pilota,team,mescola_rel,mescola_reale,eta_inizio,giri_validi,scartati,track_temp,passo_base,degrado
2023,storico,Yas Island,permanente,ALB,Williams,MEDIUM,,4.0,12,0,33.0,91.422,0.084
2023,storico,Yas Island,permanente,ALB,Williams,HARD,,2.0,23,0,31.9,89.987,0.046
2023,storico,Yas Island,permanente,ALB,Williams,HARD,,2.0,14,0,31.0,87.845,0.076
2023,storico,Yas Island,permanente,ALO,Aston Martin,MEDIUM,,2.0,10,0,33.1,90.66,0.065
2023,storico,Yas Island,permanente,ALO,Aston Martin,HARD,,3.0,21,0,32.1,89.807,0.037
2023,storico,Yas Island,permanente,ALO,Aston Martin,HARD,,3.0,21,0,31.1,88.256,0.062
2023,storico,Yas Island,permanente,BOT,Alfa Romeo,HARD,,2.0,27,0,32.6,91.122,0.1
2023,storico,Yas Island,permanente,BOT,Alfa Romeo,MEDIUM,,2.0,27,0,31.2,89.863,0.074
2023,storico,Yas Island,permanente,GAS,Alpine,MEDIUM,,2.0,15,0,32.9,90.758,0.14
2023,storico,Yas Island,permanente,GAS,Alpine,HARD,,2.0,13,0,32.1,90.0,0.063
2023,storico,Yas Island,permanente,GAS,Alpine,HARD,,2.0,23,0,31.1,89.016,0.05
2023,storico,Yas Island,permanente,HAM,Mercedes,MEDIUM,,2.0,12,0,33.0,90.634,0.088
2023,storico,Yas Island,permanente,HAM,Mercedes,HARD,,2.0,18,0,32.1,89.37,0.035
2023,storico,Yas Island,permanente,HAM,Mercedes,HARD,,2.0,22,0,31.1,88.372,0.052
2023,storico,Yas Island,permanente,HUL,Haas F1 Team,MEDIUM,,2.0,10,0,33.1,91.101,0.025
2023,storico,Yas Island,permanente,HUL,Haas F1 Team,HARD,,2.0,18,0,32.1,90.133,0.104
2023,storico,Yas Island,permanente,HUL,Haas F1 Team,HARD,,2.0,24,0,31.1,89.217,0.047
2023,storico,Yas Island,permanente,LEC,Ferrari,MEDIUM,,2.0,14,0,33.0,90.373,0.051
2023,storico,Yas Island,permanente,LEC,Ferrari,HARD,,2.0,14,0,32.0,89.21,0.034
2023,storico,Yas Island,permanente,LEC,Ferrari,HARD,,2.0,22,0,31.1,88.199,0.093
2023,storico,Yas Island,permanente,MAG,Haas F1 Team,HARD,,2.0,15,0,32.6,90.312,0.196
2023,storico,Yas Island,permanente,MAG,Haas F1 Team,HARD,,2.0,34,0,31.3,89.934,0.055
2023,storico,Yas Island,permanente,NOR,McLaren,MEDIUM,,2.0,11,0,33.1,90.188,0.094
2023,storico,Yas Island,permanente,NOR,McLaren,HARD,,2.0,16,0,32.1,89.308,0.025
2023,storico,Yas Island,permanente,NOR,McLaren,HARD,,2.0,23,0,31.1,88.164,0.024
2023,storico,Yas Island,permanente,OCO,Alpine,MEDIUM,,2.0,13,0,33.0,90.689,0.098
2023,storico,Yas Island,permanente,OCO,Alpine,HARD,,2.0,42,0,31.4,90.033,0.056
2023,storico,Yas Island,permanente,PER,Red Bull Racing,MEDIUM,,2.0,15,0,32.9,90.469,0.089
2023,storico,Yas Island,permanente,PER,Red Bull Racing,HARD,,2.0,22,0,31.9,88.909,0.033
2023,storico,Yas Island,permanente,PER,Red Bull Racing,HARD,,2.0,15,0,31.0,87.493,0.072
2023,storico,Yas Island,permanente,PIA,McLaren,MEDIUM,,2.0,11,0,33.1,90.419,0.126
2023,storico,Yas Island,permanente,PIA,McLaren,HARD,,3.0,19,0,32.1,89.602,0.041
2023,storico,Yas Island,permanente,PIA,McLaren,HARD,,2.0,21,0,31.1,88.138,0.063
2023,storico,Yas Island,permanente,RIC,AlphaTauri,HARD,,2.0,22,0,32.5,89.815,0.104
2023,storico,Yas Island,permanente,RIC,AlphaTauri,HARD,,2.0,26,0,31.1,88.571,-0.003
2023,storico,Yas Island,permanente,RUS,Mercedes,MEDIUM,,2.0,12,0,33.0,90.598,0.047
2023,storico,Yas Island,permanente,RUS,Mercedes,HARD,,2.0,18,0,32.1,89.355,0.035
2023,storico,Yas Island,permanente,RUS,Mercedes,HARD,,2.0,22,0,31.1,88.187,0.049
2023,storico,Yas Island,permanente,SAI,Ferrari,HARD,,2.0,20,0,32.7,90.933,0.073
2023,storico,Yas Island,permanente,SAI,Ferrari,HARD,,2.0,30,0,31.3,89.452,0.06
2023,storico,Yas Island,permanente,SAR,Williams,MEDIUM,,4.0,11,0,33.0,91.157,0.09
2023,storico,Yas Island,permanente,SAR,Williams,HARD,,2.0,24,0,31.9,90.281,0.1
2023,storico,Yas Island,permanente,SAR,Williams,HARD,,2.0,16,0,31.0,88.58,0.084
2023,storico,Yas Island,permanente,STR,Aston Martin,HARD,,3.0,19,0,32.8,90.5,0.045
2023,storico,Yas Island,permanente,STR,Aston Martin,HARD,,3.0,17,0,31.8,88.86,0.088
2023,storico,Yas Island,permanente,STR,Aston Martin,MEDIUM,,2.0,15,0,31.0,88.05,0.173
2023,storico,Yas Island,permanente,TSU,AlphaTauri,MEDIUM,,2.0,17,0,32.8,90.674,0.076
