gara,team,pace_rel,pace_std,rank,n_run,stability_media,fonti
Australia,Ferrari,0.594,0.62,1.0,9,0.877,FP+Race
Australia,Mercedes,1.187,1.026,2.0,11,0.88,FP+Race
Australia,McLaren,1.252,1.305,3.0,9,0.871,FP+Race
Australia,Red Bull Racing,1.532,1.063,4.0,10,0.797,FP+Race
Australia,Audi,2.233,1.294,5.0,6,0.804,FP+Race
Australia,Racing Bulls,2.631,1.401,6.0,12,0.822,FP+Race
Australia,Williams,2.684,1.209,7.0,11,0.809,FP+Race
Australia,Alpine,2.821,1.322,8.5,13,0.807,FP+Race
Australia,Haas F1 Team,2.821,1.35,8.5,12,0.874,FP+Race
Australia,Aston Martin,4.439,0.801,10.0,4,0.699,Race
Australia,Cadillac,4.884,0.784,11.0,7,0.673,FP+Race
Canada,Mercedes,0.399,0.381,1.0,9,0.758,FP+Race+Sprint
Canada,Ferrari,0.712,0.36,2.0,12,0.834,FP+Race+Sprint
Canada,Red Bull Racing,0.841,0.538,3.0,12,0.754,FP+Race+Sprint
Canada,Racing Bulls,1.323,1.137,4.0,6,0.742,FP+Race+Sprint
Canada,Alpine,1.384,0.893,5.0,11,0.755,FP+Race+Sprint
Canada,McLaren,1.539,1.058,6.0,12,0.718,FP+Race+Sprint
Canada,Williams,1.98,0.522,7.0,9,0.695,FP+Race+Sprint
Canada,Audi,2.353,0.475,8.0,13,0.801,FP+Race+Sprint
Canada,Cadillac,2.722,1.321,9.0,10,0.629,FP+Race+Sprint
Canada,Haas F1 Team,2.774,0.855,10.0,13,0.72,FP+Race+Sprint
Canada,Aston Martin,3.201,2.185,11.0,9,0.728,FP+Race+Sprint
Cina,Mercedes,0.304,0.405,1.0,8,0.71,FP+Race+Sprint
Cina,Ferrari,0.991,0.571,2.0,6,0.665,Race+Sprint
Cina,McLaren,1.028,0.41,3.0,4,0.801,FP+Sprint
Cina,Haas F1 Team,1.891,0.935,4.0,10,0.779,FP+Race+Sprint
Cina,Williams,2.066,1.133,5.0,5,0.818,FP+Race+Sprint
Cina,Racing Bulls,2.158,1.292,6.0,8,0.761,FP+Race+Sprint
Cina,Audi,2.189,0.759,7.0,6,0.677,FP+Race+Sprint
Cina,Alpine,2.216,0.546,8.0,9,0.819,FP+Race+Sprint
Cina,Red Bull Racing,2.515,1.212,9.0,8,0.712,FP+Race+Sprint
Cina,Aston Martin,3.184,1.864,10.0,5,0.629,Race+Sprint
Cina,Cadillac,3.952,0.714,11.0,7,0.665,FP+Race+Sprint
Giappone,Ferrari,1.506,1.457,1.0,9,0.741,FP+Race
Giappone,Mercedes,1.532,1.324,2.0,8,0.847,FP+Race
Giappone,McLaren,1.533,1.791,3.0,8,0.814,FP+Race
Giappone,Audi,1.986,1.255,4.0,9,0.776,FP+Race
Giappone,Red Bull Racing,2.302,1.375,5.0,8,0.734,FP+Race
Giappone,Alpine,2.562,1.907,6.0,11,0.851,FP+Race
Giappone,Haas F1 Team,2.693,1.252,7.0,9,0.832,FP+Race
Giappone,Racing Bulls,2.736,1.85,8.0,8,0.857,FP+Race
Giappone,Williams,2.828,1.164,9.0,10,0.851,FP+Race
Giappone,Aston Martin,3.52,0.815,10.0,4,0.87,FP+Race
Giappone,Cadillac,4.595,1.756,11.0,8,0.795,FP+Race
Miami,Mercedes,0.408,0.298,1.0,8,0.795,FP+Race+Sprint
Miami,McLaren,0.534,0.578,2.0,8,0.838,FP+Race+Sprint
Miami,Ferrari,0.721,0.231,3.0,9,0.729,FP+Race+Sprint
Miami,Red Bull Racing,0.814,0.54,4.0,5,0.759,FP+Race+Sprint
Miami,Aston Martin,1.335,1.611,5.0,9,0.778,FP+Race+Sprint
Miami,Alpine,1.411,0.228,6.0,6,0.822,FP+Race+Sprint
Miami,Audi,1.477,0.769,7.0,6,0.887,FP+Race+Sprint
Miami,Williams,1.808,0.721,8.0,10,0.789,FP+Race+Sprint
Miami,Haas F1 Team,2.243,0.352,9.0,8,0.842,FP+Race+Sprint
Miami,Racing Bulls,2.543,1.352,10.0,6,0.738,FP+Race+Sprint
Miami,Cadillac,2.688,1.469,11.0,9,0.797,FP+Race+Sprint
Monaco,Ferrari,0.906,0.878,1.0,10,0.764,FP+Race
Monaco,Mercedes,1.096,1.311,2.0,9,0.826,FP+Race
