team,rank_medio,rank_std,pace_rel_medio,pace_std_medio,n_gare,n_run_tot,stability_media,confidence
Mercedes,1.43,0.53,0.854,0.782,7,63,0.801,0.95
Ferrari,1.71,0.76,0.949,0.704,7,65,0.783,0.92
McLaren,3.86,1.57,1.373,1.058,7,59,0.806,0.84
Red Bull Racing,4.43,2.15,1.626,0.931,7,66,0.765,0.79
Audi,5.71,1.6,2.106,1.022,7,62,0.776,0.84
Alpine,6.36,1.38,2.232,0.946,7,72,0.804,0.86
Racing Bulls,6.86,1.86,2.466,1.214,7,57,0.775,0.81
Williams,7.71,1.5,2.573,1.058,7,65,0.793,0.85
Haas F1 Team,8.07,2.09,2.704,0.914,7,69,0.78,0.79
Aston Martin,9.57,2.07,3.599,1.3,7,40,0.691,0.79
Cadillac,10.29,1.25,3.668,1.288,7,60,0.716,0.88
