gara,team,drv,fonte,compound,life,lap_time,run_id,stability,information,outlier_giro
Australia,Williams,ALB,FP,HARD,2,85.119,Australia_ALB_FP_0,0.986,0.5,False
Australia,Williams,ALB,FP,HARD,3,84.454,Australia_ALB_FP_0,0.986,0.5,False
Australia,Williams,ALB,FP,MEDIUM,5,87.316,Australia_ALB_FP_0,0.755,0.591,True
Australia,Williams,ALB,FP,HARD,5,83.557,Australia_ALB_FP_0,0.986,0.5,False
Australia,Williams,ALB,FP,MEDIUM,7,84.436,Australia_ALB_FP_0,0.755,0.591,False
Australia,Williams,ALB,FP,HARD,8,82.86,Australia_ALB_FP_0,0.986,0.5,False
Australia,Williams,ALB,FP,MEDIUM,9,85.063,Australia_ALB_FP_0,0.755,0.591,False
Australia,Williams,ALB,FP,HARD,10,83.155,Australia_ALB_FP_0,0.986,0.5,False
Australia,Williams,ALB,FP,MEDIUM,11,84.243,Australia_ALB_FP_0,0.755,0.591,False
Australia,Williams,ALB,FP,MEDIUM,13,83.67,Australia_ALB_FP_0,0.755,0.591,False
Australia,Williams,ALB,FP,MEDIUM,15,83.144,Australia_ALB_FP_0,0.755,0.591,False
Australia,Williams,ALB,FP,MEDIUM,17,83.663,Australia_ALB_FP_0,0.755,0.591,False
Australia,Williams,ALB,Race,MEDIUM,2,87.78,Australia_ALB_Race_0,0.737,0.573,False
Australia,Williams,ALB,Race,MEDIUM,3,87.512,Australia_ALB_Race_0,0.737,0.573,False
Australia,Williams,ALB,Race,MEDIUM,4,87.911,Australia_ALB_Race_0,0.737,0.573,False
Australia,Williams,ALB,Race,MEDIUM,5,87.176,Australia_ALB_Race_0,0.737,0.573,False
Australia,Williams,ALB,Race,MEDIUM,6,86.436,Australia_ALB_Race_0,0.737,0.573,False
Australia,Williams,ALB,Race,MEDIUM,7,85.688,Australia_ALB_Race_0,0.737,0.573,False
Australia,Williams,ALB,Race,MEDIUM,8,85.558,Australia_ALB_Race_0,0.737,0.573,False
Australia,Williams,ALB,Race,MEDIUM,9,85.728,Australia_ALB_Race_0,0.737,0.573,False
Australia,Williams,ALB,Race,MEDIUM,10,86.03,Australia_ALB_Race_0,0.737,0.573,False
Australia,Williams,ALB,Race,HARD,8,85.041,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,9,85.065,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,10,85.297,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,11,85.258,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,12,85.334,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,13,85.569,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,14,85.782,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,15,85.734,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,16,86.642,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,17,86.614,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,18,86.472,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,19,86.523,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,HARD,20,86.459,Australia_ALB_Race_1,1.0,0.64,False
Australia,Williams,ALB,Race,SOFT,2,84.446,Australia_ALB_Race_2,0.72,1.0,True
Australia,Williams,ALB,Race,SOFT,3,84.375,Australia_ALB_Race_2,0.72,1.0,True
Australia,Williams,ALB,Race,SOFT,4,85.052,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,5,86.338,Australia_ALB_Race_2,0.72,1.0,True
Australia,Williams,ALB,Race,SOFT,6,84.858,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,7,86.672,Australia_ALB_Race_2,0.72,1.0,True
Australia,Williams,ALB,Race,SOFT,8,84.876,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,9,84.858,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,10,84.956,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,11,84.841,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,12,84.702,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,13,84.777,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,14,84.815,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,15,84.773,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,16,84.785,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,17,84.856,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,18,84.749,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,19,84.764,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,20,85.019,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,21,84.861,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,22,84.995,Australia_ALB_Race_2,0.72,1.0,False
Australia,Williams,ALB,Race,SOFT,23,86.387,Australia_ALB_Race_2,0.72,1.0,True
Australia,Williams,ALB,Race,SOFT,24,86.268,Australia_ALB_Race_2,0.72,1.0,True
Australia,Aston Martin,ALO,Race,SOFT,2,87.598,Australia_ALO_Race_0,0.974,0.573,False
Australia,Aston Martin,ALO,Race,SOFT,3,88.035,Australia_ALO_Race_0,0.974,0.573,False
Australia,Aston Martin,ALO,Race,SOFT,4,87.424,Australia_ALO_Race_0,0.974,0.573,False
Australia,Aston Martin,ALO,Race,SOFT,5,88.835,Australia_ALO_Race_0,0.974,0.573,False
Australia,Aston Martin,ALO,Race,SOFT,6,88.763,Australia_ALO_Race_0,0.974,0.573,False
Australia,Aston Martin,ALO,Race,SOFT,7,87.876,Australia_ALO_Race_0,0.974,0.573,False
Australia,Aston Martin,ALO,Race,SOFT,8,86.792,Australia_ALO_Race_0,0.974,0.573,False
Australia,Aston Martin,ALO,Race,SOFT,9,87.04,Australia_ALO_Race_0,0.974,0.573,False
Australia,Aston Martin,ALO,Race,SOFT,10,87.475,Australia_ALO_Race_0,0.974,0.573,False
Australia,Aston Martin,ALO,Race,SOFT,4,85.713,Australia_ALO_Race_1,0.51,0.509,False
Australia,Aston Martin,ALO,Race,SOFT,5,86.131,Australia_ALO_Race_1,0.51,0.509,False
Australia,Aston Martin,ALO,Race,SOFT,6,86.376,Australia_ALO_Race_1,0.51,0.509,False
Australia,Aston Martin,ALO,Race,SOFT,7,85.908,Australia_ALO_Race_1,0.51,0.509,False
Australia,Aston Martin,ALO,Race,SOFT,8,88.14,Australia_ALO_Race_1,0.51,0.509,False
Australia,Aston Martin,ALO,Race,SOFT,9,86.641,Australia_ALO_Race_1,0.51,0.509,False
Australia,Aston Martin,ALO,Race,SOFT,10,88.082,Australia_ALO_Race_1,0.51,0.509,False
Australia,Mercedes,ANT,FP,HARD,9,84.65,Australia_ANT_FP_0,0.766,0.7,False
Australia,Mercedes,ANT,FP,SOFT,9,81.911,Australia_ANT_FP_0,1.0,0.395,False
Australia,Mercedes,ANT,FP,HARD,10,84.194,Australia_ANT_FP_0,0.766,0.7,False
Australia,Mercedes,ANT,FP,SOFT,10,82.126,Australia_ANT_FP_0,1.0,0.395,False
Australia,Mercedes,ANT,FP,HARD,11,84.089,Australia_ANT_FP_0,0.766,0.7,False
Australia,Mercedes,ANT,FP,SOFT,11,81.732,Australia_ANT_FP_0,1.0,0.395,False
Australia,Mercedes,ANT,FP,HARD,12,84.045,Australia_ANT_FP_0,0.766,0.7,False
Australia,Mercedes,ANT,FP,SOFT,12,81.268,Australia_ANT_FP_0,1.0,0.395,False
Australia,Mercedes,ANT,FP,HARD,13,84.053,Australia_ANT_FP_0,0.766,0.7,False
Australia,Mercedes,ANT,FP,SOFT,13,81.13,Australia_ANT_FP_0,1.0,0.395,False
Australia,Mercedes,ANT,FP,HARD,14,84.024,Australia_ANT_FP_0,0.766,0.7,False
Australia,Mercedes,ANT,FP,SOFT,14,81.17,Australia_ANT_FP_0,1.0,0.395,False
Australia,Mercedes,ANT,FP,HARD,15,83.756,Australia_ANT_FP_0,0.766,0.7,False
Australia,Mercedes,ANT,FP,SOFT,15,80.884,Australia_ANT_FP_0,1.0,0.395,True
Australia,Mercedes,ANT,FP,HARD,16,83.712,Australia_ANT_FP_0,0.766,0.7,False
Australia,Mercedes,ANT,FP,HARD,17,83.689,Australia_ANT_FP_0,0.766,0.7,False
Australia,Mercedes,ANT,FP,HARD,18,84.61,Australia_ANT_FP_0,0.766,0.7,False
